"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:1902600","proton transmembrane transport",192,36,9.58,"5.0e-12"
"2","GO:0015672","monovalent inorganic cation transport",307,46,15.31,"2.2e-11"
"3","GO:0044281","small molecule metabolic process",1596,136,79.6,"2.5e-10"
"4","GO:0034220","ion transmembrane transport",350,47,17.46,"5.9e-10"
"5","GO:0098655","cation transmembrane transport",323,44,16.11,"1.3e-09"
"6","GO:0098662","inorganic cation transmembrane transport",303,42,15.11,"1.9e-09"
"7","GO:0098660","inorganic ion transmembrane transport",305,42,15.21,"2.3e-09"
"8","GO:0016053","organic acid biosynthetic process",525,59,26.18,"4.4e-09"
"9","GO:0046394","carboxylic acid biosynthetic process",525,59,26.18,"4.4e-09"
"10","GO:0044283","small molecule biosynthetic process",664,69,33.11,"5.7e-09"
"11","GO:1901135","carbohydrate derivative metabolic proces...",650,67,32.42,"1.3e-08"
"12","GO:0055086","nucleobase-containing small molecule met...",516,57,25.73,"1.5e-08"
"13","GO:0006812","cation transport",668,65,33.31,"1.9e-07"
"14","GO:0006810","transport",2804,195,139.84,"3.9e-07"
"15","GO:0051234","establishment of localization",2812,195,140.24,"4.8e-07"
"16","GO:0006629","lipid metabolic process",895,79,44.64,"5.2e-07"
"17","GO:0051179","localization",2838,195,141.54,"9.2e-07"
"18","GO:0008652","cellular amino acid biosynthetic process",244,31,12.17,"1.7e-06"
"19","GO:0019752","carboxylic acid metabolic process",981,82,48.92,"2.8e-06"
"20","GO:0043436","oxoacid metabolic process",986,82,49.17,"3.3e-06"
"21","GO:0006811","ion transport",894,76,44.59,"3.5e-06"
"22","GO:0006082","organic acid metabolic process",988,82,49.27,"3.6e-06"
"23","GO:1901565","organonitrogen compound catabolic proces...",358,39,17.85,"4.0e-06"
"24","GO:0006790","sulfur compound metabolic process",195,26,9.73,"4.7e-06"
"25","GO:0072522","purine-containing compound biosynthetic ...",285,33,14.21,"6.1e-06"
"26","GO:0030163","protein catabolic process",260,31,12.97,"6.4e-06"
"27","GO:0046034","ATP metabolic process",236,29,11.77,"7.0e-06"
"28","GO:1901137","carbohydrate derivative biosynthetic pro...",454,45,22.64,"9.2e-06"
"29","GO:0009225","nucleotide-sugar metabolic process",23,8,1.15,"9.3e-06"
"30","GO:0055085","transmembrane transport",1722,125,85.88,"1.0e-05"
"31","GO:0008610","lipid biosynthetic process",420,42,20.95,"1.5e-05"
"32","GO:0019693","ribose phosphate metabolic process",356,37,17.75,"2.0e-05"
"33","GO:0072521","purine-containing compound metabolic pro...",356,37,17.75,"2.0e-05"
"34","GO:0006754","ATP biosynthetic process",200,25,9.97,"2.2e-05"
"35","GO:0009144","purine nucleoside triphosphate metabolic...",254,29,12.67,"2.9e-05"
"36","GO:0009205","purine ribonucleoside triphosphate metab...",254,29,12.67,"2.9e-05"
"37","GO:0009228","thiamine biosynthetic process",9,5,0.45,"3.3e-05"
"38","GO:0042724","thiamine-containing compound biosyntheti...",9,5,0.45,"3.3e-05"
"39","GO:0009126","purine nucleoside monophosphate metaboli...",259,29,12.92,"4.1e-05"
"40","GO:0009167","purine ribonucleoside monophosphate meta...",259,29,12.92,"4.1e-05"
