"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:1901566","organonitrogen compound biosynthetic pro...",1926,187,76,"< 1e-30"
"2","GO:0044281","small molecule metabolic process",1596,165,62.98,"< 1e-30"
"3","GO:0044283","small molecule biosynthetic process",664,87,26.2,"2.2e-23"
"4","GO:0006082","organic acid metabolic process",988,108,38.99,"1.7e-22"
"5","GO:0019752","carboxylic acid metabolic process",981,107,38.71,"3.3e-22"
"6","GO:0043436","oxoacid metabolic process",986,107,38.91,"4.9e-22"
"7","GO:0016053","organic acid biosynthetic process",525,67,20.72,"1.4e-17"
"8","GO:0046394","carboxylic acid biosynthetic process",525,67,20.72,"1.4e-17"
"9","GO:0009058","biosynthetic process",4652,285,183.57,"2.0e-17"
"10","GO:0044249","cellular biosynthetic process",4379,268,172.8,"4.6e-16"
"11","GO:0006412","translation",997,94,39.34,"2.2e-15"
"12","GO:1901576","organic substance biosynthetic process",4464,269,176.16,"3.0e-15"
"13","GO:0043043","peptide biosynthetic process",1004,94,39.62,"3.3e-15"
"14","GO:0006518","peptide metabolic process",1028,95,40.57,"5.3e-15"
"15","GO:0043604","amide biosynthetic process",1047,95,41.32,"1.6e-14"
"16","GO:0043603","cellular amide metabolic process",1111,96,43.84,"2.3e-13"
"17","GO:0006520","cellular amino acid metabolic process",548,59,21.62,"2.4e-12"
"18","GO:0006633","fatty acid biosynthetic process",133,26,5.25,"1.1e-11"
"19","GO:0072330","monocarboxylic acid biosynthetic process",272,36,10.73,"1.9e-10"
"20","GO:0006631","fatty acid metabolic process",159,26,6.27,"7.0e-10"
"21","GO:1901564","organonitrogen compound metabolic proces...",5964,309,235.35,"3.3e-09"
"22","GO:1901605","alpha-amino acid metabolic process",289,35,11.4,"3.8e-09"
"23","GO:0008610","lipid biosynthetic process",420,44,16.57,"3.8e-09"
"24","GO:0044255","cellular lipid metabolic process",522,50,20.6,"6.8e-09"
"25","GO:0032787","monocarboxylic acid metabolic process",326,37,12.86,"8.1e-09"
"26","GO:0008652","cellular amino acid biosynthetic process",244,31,9.63,"9.6e-09"
"27","GO:0045333","cellular respiration",84,17,3.31,"2.4e-08"
"28","GO:0006091","generation of precursor metabolites and ...",299,34,11.8,"3.1e-08"
"29","GO:0015980","energy derivation by oxidation of organi...",98,18,3.87,"4.6e-08"
"30","GO:0033014","tetrapyrrole biosynthetic process",60,14,2.37,"6.3e-08"
"31","GO:0044237","cellular metabolic process",9563,446,377.37,"1.0e-07"
"32","GO:0009987","cellular process",11364,514,448.44,"1.2e-07"
"33","GO:0051188","cofactor biosynthetic process",289,32,11.4,"1.5e-07"
"34","GO:0033013","tetrapyrrole metabolic process",66,14,2.6,"2.3e-07"
"35","GO:0044271","cellular nitrogen compound biosynthetic ...",3403,188,134.29,"3.1e-07"
"36","GO:0072521","purine-containing compound metabolic pro...",356,35,14.05,"7.0e-07"
"37","GO:0009144","purine nucleoside triphosphate metabolic...",254,28,10.02,"9.7e-07"
"38","GO:0009205","purine ribonucleoside triphosphate metab...",254,28,10.02,"9.7e-07"
"39","GO:0009117","nucleotide metabolic process",426,39,16.81,"1.0e-06"
"40","GO:0006163","purine nucleotide metabolic process",331,33,13.06,"1.1e-06"
