"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006351","transcription, DNA-templated",1823,25,2.78,"1.8e-22"
"2","GO:0097659","nucleic acid-templated transcription",1823,25,2.78,"1.8e-22"
"3","GO:0032774","RNA biosynthetic process",1827,25,2.79,"1.9e-22"
"4","GO:0006355","regulation of transcription, DNA-templat...",1590,24,2.43,"4.0e-22"
"5","GO:1903506","regulation of nucleic acid-templated tra...",1590,24,2.43,"4.0e-22"
"6","GO:2001141","regulation of RNA biosynthetic process",1590,24,2.43,"4.0e-22"
"7","GO:0051252","regulation of RNA metabolic process",1595,24,2.43,"4.3e-22"
"8","GO:0019219","regulation of nucleobase-containing comp...",1608,24,2.45,"5.2e-22"
"9","GO:0009889","regulation of biosynthetic process",1611,24,2.46,"5.5e-22"
"10","GO:0010556","regulation of macromolecule biosynthetic...",1611,24,2.46,"5.5e-22"
"11","GO:0031326","regulation of cellular biosynthetic proc...",1611,24,2.46,"5.5e-22"
"12","GO:2000112","regulation of cellular macromolecule bio...",1611,24,2.46,"5.5e-22"
"13","GO:0051171","regulation of nitrogen compound metaboli...",1661,24,2.53,"1.1e-21"
"14","GO:0080090","regulation of primary metabolic process",1661,24,2.53,"1.1e-21"
"15","GO:0031323","regulation of cellular metabolic process",1663,24,2.54,"1.2e-21"
"16","GO:0010468","regulation of gene expression",1665,24,2.54,"1.2e-21"
"17","GO:0060255","regulation of macromolecule metabolic pr...",1717,24,2.62,"2.5e-21"
"18","GO:0019222","regulation of metabolic process",1728,24,2.64,"2.9e-21"
"19","GO:0034654","nucleobase-containing compound biosynthe...",2195,25,3.35,"1.8e-20"
"20","GO:0019438","aromatic compound biosynthetic process",2373,25,3.62,"1.2e-19"
"21","GO:0018130","heterocycle biosynthetic process",2398,25,3.66,"1.6e-19"
"22","GO:1901362","organic cyclic compound biosynthetic pro...",2466,25,3.76,"3.2e-19"
"23","GO:0016070","RNA metabolic process",2570,25,3.92,"8.8e-19"
"24","GO:0050794","regulation of cellular process",2378,24,3.63,"5.5e-18"
"25","GO:0050789","regulation of biological process",2453,24,3.74,"1.1e-17"
"26","GO:0065007","biological regulation",2628,24,4.01,"5.8e-17"
"27","GO:0090304","nucleic acid metabolic process",3078,25,4.7,"7.4e-17"
"28","GO:0009059","macromolecule biosynthetic process",3189,25,4.87,"1.8e-16"
"29","GO:0034645","cellular macromolecule biosynthetic proc...",3189,25,4.87,"1.8e-16"
"30","GO:0044271","cellular nitrogen compound biosynthetic ...",3403,25,5.19,"8.7e-16"
"31","GO:0010467","gene expression",3456,25,5.27,"1.3e-15"
"32","GO:0006139","nucleobase-containing compound metabolic...",3641,25,5.56,"4.5e-15"
"33","GO:0046483","heterocycle metabolic process",3889,25,5.94,"2.2e-14"
"34","GO:0006725","cellular aromatic compound metabolic pro...",3944,25,6.02,"3.2e-14"
"35","GO:1901360","organic cyclic compound metabolic proces...",4015,25,6.13,"4.9e-14"
"36","GO:0044249","cellular biosynthetic process",4379,25,6.68,"4.0e-13"
"37","GO:1901576","organic substance biosynthetic process",4464,25,6.81,"6.3e-13"
"38","GO:0009058","biosynthetic process",4652,25,7.1,"1.7e-12"
"39","GO:0034641","cellular nitrogen compound metabolic pro...",4809,25,7.34,"3.8e-12"
"40","GO:0044260","cellular macromolecule metabolic process",6499,27,9.92,"1.2e-11"
