"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0015693","magnesium ion transport",23,1,0.01,"0.0087"
"2","GO:0070838","divalent metal ion transport",69,1,0.03,"0.0260"
"3","GO:0072511","divalent inorganic cation transport",69,1,0.03,"0.0260"
"4","GO:0006397","mRNA processing",156,1,0.06,"0.0580"
"5","GO:0016070","RNA metabolic process",2570,3,0.98,"0.0620"
"6","GO:0016071","mRNA metabolic process",184,1,0.07,"0.0681"
"7","GO:0009719","response to endogenous stimulus",235,1,0.09,"0.0863"
"8","GO:0009725","response to hormone",235,1,0.09,"0.0863"
"9","GO:0010033","response to organic substance",238,1,0.09,"0.0874"
"10","GO:0090304","nucleic acid metabolic process",3078,3,1.17,"0.0973"
"11","GO:0042221","response to chemical",270,1,0.1,"0.0986"
"12","GO:0006355","regulation of transcription, DNA-templat...",1590,2,0.61,"0.1177"
"13","GO:1903506","regulation of nucleic acid-templated tra...",1590,2,0.61,"0.1177"
"14","GO:2001141","regulation of RNA biosynthetic process",1590,2,0.61,"0.1177"
"15","GO:0051252","regulation of RNA metabolic process",1595,2,0.61,"0.1183"
"16","GO:0019219","regulation of nucleobase-containing comp...",1608,2,0.61,"0.1199"
"17","GO:0009889","regulation of biosynthetic process",1611,2,0.61,"0.1203"
"18","GO:0010556","regulation of macromolecule biosynthetic...",1611,2,0.61,"0.1203"
"19","GO:0031326","regulation of cellular biosynthetic proc...",1611,2,0.61,"0.1203"
"20","GO:2000112","regulation of cellular macromolecule bio...",1611,2,0.61,"0.1203"
"21","GO:0051171","regulation of nitrogen compound metaboli...",1661,2,0.63,"0.1267"
"22","GO:0080090","regulation of primary metabolic process",1661,2,0.63,"0.1267"
"23","GO:0031323","regulation of cellular metabolic process",1663,2,0.63,"0.1270"
"24","GO:0010468","regulation of gene expression",1665,2,0.64,"0.1272"
"25","GO:0010467","gene expression",3456,3,1.32,"0.1286"
"26","GO:0030001","metal ion transport",364,1,0.14,"0.1309"
"27","GO:0060255","regulation of macromolecule metabolic pr...",1717,2,0.66,"0.1340"
"28","GO:0019222","regulation of metabolic process",1728,2,0.66,"0.1354"
"29","GO:0006139","nucleobase-containing compound metabolic...",3641,3,1.39,"0.1453"
"30","GO:0006351","transcription, DNA-templated",1823,2,0.7,"0.1481"
"31","GO:0097659","nucleic acid-templated transcription",1823,2,0.7,"0.1481"
"32","GO:0032774","RNA biosynthetic process",1827,2,0.7,"0.1486"
"33","GO:0046483","heterocycle metabolic process",3889,3,1.48,"0.1692"
"34","GO:0006725","cellular aromatic compound metabolic pro...",3944,3,1.5,"0.1747"
"35","GO:1901360","organic cyclic compound metabolic proces...",4015,3,1.53,"0.1819"
"36","GO:0006396","RNA processing",530,1,0.2,"0.1855"
"37","GO:0034654","nucleobase-containing compound biosynthe...",2195,2,0.84,"0.2002"
"38","GO:0019438","aromatic compound biosynthetic process",2373,2,0.91,"0.2263"
"39","GO:0050794","regulation of cellular process",2378,2,0.91,"0.2271"
"40","GO:0006812","cation transport",668,1,0.25,"0.2287"
