"","total","S subgenome","T subgenome","ambiguous"
"1",277,105,136,36
"2",5630,2590,2456,584
"3",3970,1748,1852,370
"4",3119,1418,1456,245
"5",3093,1406,1361,326
"6",2753,1198,1263,292
"7",2746,1123,1118,505
"8",2470,1080,1142,248
"9",2375,1088,1059,228
"10",2181,982,1049,150
"11",1761,815,801,145
"12",1583,732,671,180
"13",1546,691,714,141
"14",805,368,360,77
"15",804,356,371,77
"16",622,263,308,51
"17",331,141,154,36
"18",284,120,116,48
"19",282,124,132,26
"20",260,116,125,19
"21",253,111,127,15
"22",245,105,115,25
"23",195,82,100,13
"24",180,78,88,14
"25",159,78,72,9
"26",140,36,91,13
"27",116,55,56,5
"28",114,14,85,15
"29",102,43,50,9
"30",67,22,28,17
"31",58,27,29,2
"32",55,24,26,5
"33",51,24,24,3
"34",44,14,17,13
"35",43,16,24,3
"36",36,18,16,2
"37",33,19,13,1
"38",32,14,13,5
"39",28,11,15,2
"40",21,8,10,3
