"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006468","protein phosphorylation",2846,354,194.14,"1.2e-29"
"2","GO:0016310","phosphorylation",4106,459,280.1,"5.8e-28"
"3","GO:0006796","phosphate-containing compound metabolic ...",5965,610,406.91,"2.9e-27"
"4","GO:0006793","phosphorus metabolic process",5992,611,408.75,"5.5e-27"
"5","GO:0006464","cellular protein modification process",5778,554,394.15,"2.8e-18"
"6","GO:0036211","protein modification process",5778,554,394.15,"2.8e-18"
"7","GO:0043412","macromolecule modification",6140,563,418.85,"1.0e-14"
"8","GO:0006952","defense response",550,82,37.52,"2.2e-11"
"9","GO:0008219","cell death",109,30,7.44,"2.6e-11"
"10","GO:0051234","establishment of localization",4656,426,317.62,"6.1e-11"
"11","GO:0051179","localization",4726,431,322.39,"7.2e-11"
"12","GO:1901564","organonitrogen compound metabolic proces...",11095,901,756.86,"1.2e-10"
"13","GO:0006810","transport",4569,416,311.68,"2.1e-10"
"14","GO:0012501","programmed cell death",84,24,5.73,"1.1e-09"
"15","GO:0044267","cellular protein metabolic process",7729,646,527.24,"2.6e-09"
"16","GO:0045087","innate immune response",132,30,9,"4.1e-09"
"17","GO:0002376","immune system process",140,31,9.55,"4.4e-09"
"18","GO:0006955","immune response",134,30,9.14,"5.9e-09"
"19","GO:0006820","anion transport",372,57,25.38,"8.7e-09"
"20","GO:0007154","cell communication",1865,188,127.22,"4.2e-08"
"21","GO:0050789","regulation of biological process",6129,517,418.1,"5.7e-08"
"22","GO:0050794","regulation of cellular process",5500,466,375.19,"1.9e-07"
"23","GO:0065007","biological regulation",7018,578,478.74,"2.0e-07"
"24","GO:0009814","defense response, incompatible interacti...",52,16,3.55,"2.1e-07"
"25","GO:0009607","response to biotic stimulus",348,51,23.74,"2.2e-07"
"26","GO:0010941","regulation of cell death",66,18,4.5,"2.8e-07"
"27","GO:0009605","response to external stimulus",557,71,38,"3.1e-07"
"28","GO:0033865","nucleoside bisphosphate metabolic proces...",96,22,6.55,"3.9e-07"
"29","GO:0033875","ribonucleoside bisphosphate metabolic pr...",96,22,6.55,"3.9e-07"
"30","GO:0034032","purine nucleoside bisphosphate metabolic...",96,22,6.55,"3.9e-07"
"31","GO:0042742","defense response to bacterium",89,21,6.07,"4.3e-07"
"32","GO:0098542","defense response to other organism",215,36,14.67,"5.3e-07"
"33","GO:0051704","multi-organism process",702,83,47.89,"7.8e-07"
"34","GO:0015698","inorganic anion transport",169,30,11.53,"1.3e-06"
"35","GO:0032509","endosome transport via multivesicular bo...",19,9,1.3,"1.6e-06"
"36","GO:0019538","protein metabolic process",9267,732,632.16,"1.8e-06"
"37","GO:0009626","plant-type hypersensitive response",35,12,2.39,"1.9e-06"
"38","GO:0034050","host programmed cell death induced by sy...",35,12,2.39,"1.9e-06"
"39","GO:0043207","response to external biotic stimulus",284,42,19.37,"1.9e-06"
"40","GO:0051707","response to other organism",284,42,19.37,"1.9e-06"
