"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0050794","regulation of cellular process",5500,128,74.32,"2.4e-10"
"2","GO:0050789","regulation of biological process",6129,137,82.82,"6.8e-10"
"3","GO:0065007","biological regulation",7018,147,94.83,"1.1e-08"
"4","GO:0023052","signaling",1621,48,21.9,"3.9e-07"
"5","GO:0051252","regulation of RNA metabolic process",2961,73,40.01,"4.6e-07"
"6","GO:1903506","regulation of nucleic acid-templated tra...",2930,72,39.59,"6.3e-07"
"7","GO:2001141","regulation of RNA biosynthetic process",2930,72,39.59,"6.3e-07"
"8","GO:0006355","regulation of transcription, DNA-templat...",2885,71,38.98,"7.2e-07"
"9","GO:0031326","regulation of cellular biosynthetic proc...",3117,75,42.12,"7.9e-07"
"10","GO:0010556","regulation of macromolecule biosynthetic...",3063,74,41.39,"8.2e-07"
"11","GO:2000112","regulation of cellular macromolecule bio...",3018,73,40.78,"9.4e-07"
"12","GO:0009889","regulation of biosynthetic process",3134,75,42.35,"9.7e-07"
"13","GO:0010468","regulation of gene expression",3306,78,44.67,"9.8e-07"
"14","GO:0031323","regulation of cellular metabolic process",3670,84,49.59,"1.2e-06"
"15","GO:0019219","regulation of nucleobase-containing comp...",3043,73,41.12,"1.3e-06"
"16","GO:0007165","signal transduction",1598,46,21.59,"1.5e-06"
"17","GO:0080090","regulation of primary metabolic process",3633,83,49.09,"1.5e-06"
"18","GO:0006464","cellular protein modification process",5778,117,78.07,"3.3e-06"
"19","GO:0036211","protein modification process",5778,117,78.07,"3.3e-06"
"20","GO:0007154","cell communication",1865,50,25.2,"3.8e-06"
"21","GO:0051171","regulation of nitrogen compound metaboli...",3572,80,48.27,"5.1e-06"
"22","GO:0016567","protein ubiquitination",799,28,10.8,"5.6e-06"
"23","GO:0019222","regulation of metabolic process",4004,87,54.1,"6.0e-06"
"24","GO:0006351","transcription, DNA-templated",3199,73,43.23,"7.4e-06"
"25","GO:0060255","regulation of macromolecule metabolic pr...",3847,84,51.98,"7.5e-06"
"26","GO:0070647","protein modification by small protein co...",963,31,13.01,"9.7e-06"
"27","GO:0032446","protein modification by small protein co...",829,28,11.2,"1.1e-05"
"28","GO:0032774","RNA biosynthetic process",3368,75,45.51,"1.3e-05"
"29","GO:0097659","nucleic acid-templated transcription",3270,73,44.18,"1.6e-05"
"30","GO:0043412","macromolecule modification",6140,118,82.96,"3.4e-05"
"31","GO:0006468","protein phosphorylation",2846,64,38.46,"4.5e-05"
"32","GO:0050896","response to stimulus",4804,96,64.91,"5.3e-05"
"33","GO:1901701","cellular response to oxygen-containing c...",393,16,5.31,"0.00011"
"34","GO:1901700","response to oxygen-containing compound",903,27,12.2,"0.00012"
"35","GO:0071310","cellular response to organic substance",666,22,9,"0.00013"
"36","GO:0010541","acropetal auxin transport",2,2,0.03,"0.00018"
"37","GO:0042439","ethanolamine-containing compound metabol...",2,2,0.03,"0.00018"
"38","GO:0010033","response to organic substance",1234,33,16.67,"0.00018"
"39","GO:0031146","SCF-dependent proteasomal ubiquitin-depe...",89,7,1.2,"0.00021"
"40","GO:0009719","response to endogenous stimulus",1087,30,14.69,"0.00021"
