"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0009108","coenzyme biosynthetic process",376,10,1.18,"3.4e-07"
"2","GO:0006732","coenzyme metabolic process",483,11,1.52,"4.1e-07"
"3","GO:0051188","cofactor biosynthetic process",468,10,1.47,"2.5e-06"
"4","GO:0006982","response to lipid hydroperoxide",2,2,0.01,"9.8e-06"
"5","GO:0010335","response to non-ionic osmotic stress",2,2,0.01,"9.8e-06"
"6","GO:0031099","regeneration",2,2,0.01,"9.8e-06"
"7","GO:0033194","response to hydroperoxide",2,2,0.01,"9.8e-06"
"8","GO:0042060","wound healing",2,2,0.01,"9.8e-06"
"9","GO:0042246","tissue regeneration",2,2,0.01,"9.8e-06"
"10","GO:0051186","cofactor metabolic process",885,12,2.79,"2.4e-05"
"11","GO:0035998","7,8-dihydroneopterin 3'-triphosphate bio...",3,2,0.01,"2.9e-05"
"12","GO:0051066","dihydrobiopterin metabolic process",3,2,0.01,"2.9e-05"
"13","GO:0044283","small molecule biosynthetic process",1101,13,3.47,"4.6e-05"
"14","GO:0055114","oxidation-reduction process",4781,31,15.05,"5.8e-05"
"15","GO:1901615","organic hydroxy compound metabolic proce...",228,6,0.72,"8.9e-05"
"16","GO:0019419","sulfate reduction",5,2,0.02,"9.8e-05"
"17","GO:0003333","amino acid transmembrane transport",31,3,0.1,"0.00013"
"18","GO:0098656","anion transmembrane transport",159,5,0.5,"0.00015"
"19","GO:0006729","tetrahydrobiopterin biosynthetic process",7,2,0.02,"0.00020"
"20","GO:0034311","diol metabolic process",7,2,0.02,"0.00020"
"21","GO:0034312","diol biosynthetic process",7,2,0.02,"0.00020"
"22","GO:0046146","tetrahydrobiopterin metabolic process",7,2,0.02,"0.00020"
"23","GO:0072525","pyridine-containing compound biosyntheti...",185,5,0.58,"0.00031"
"24","GO:0046653","tetrahydrofolate metabolic process",43,3,0.14,"0.00034"
"25","GO:0006575","cellular modified amino acid metabolic p...",110,4,0.35,"0.00042"
"26","GO:0006865","amino acid transport",46,3,0.14,"0.00042"
"27","GO:0006066","alcohol metabolic process",115,4,0.36,"0.00049"
"28","GO:0042398","cellular modified amino acid biosyntheti...",49,3,0.15,"0.00050"
"29","GO:1903825","organic acid transmembrane transport",49,3,0.15,"0.00050"
"30","GO:1905039","carboxylic acid transmembrane transport",49,3,0.15,"0.00050"
"31","GO:0042816","vitamin B6 metabolic process",13,2,0.04,"0.00075"
"32","GO:0042819","vitamin B6 biosynthetic process",13,2,0.04,"0.00075"
"33","GO:0042822","pyridoxal phosphate metabolic process",13,2,0.04,"0.00075"
"34","GO:0042823","pyridoxal phosphate biosynthetic process",13,2,0.04,"0.00075"
"35","GO:0046184","aldehyde biosynthetic process",13,2,0.04,"0.00075"
"36","GO:0046654","tetrahydrofolate biosynthetic process",13,2,0.04,"0.00075"
"37","GO:0019751","polyol metabolic process",58,3,0.18,"0.00083"
"38","GO:0072524","pyridine-containing compound metabolic p...",230,5,0.72,"0.00083"
"39","GO:0006733","oxidoreduction coenzyme metabolic proces...",233,5,0.73,"0.00088"
"40","GO:0006760","folic acid-containing compound metabolic...",63,3,0.2,"0.00105"
