"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006882","cellular zinc ion homeostasis",1,1,0,"0.0015"
"2","GO:0055069","zinc ion homeostasis",1,1,0,"0.0015"
"3","GO:0006281","DNA repair",643,5,0.98,"0.0030"
"4","GO:0035335","peptidyl-tyrosine dephosphorylation",56,2,0.09,"0.0033"
"5","GO:0033554","cellular response to stress",969,6,1.47,"0.0035"
"6","GO:0006974","cellular response to DNA damage stimulus",686,5,1.04,"0.0039"
"7","GO:0006511","ubiquitin-dependent protein catabolic pr...",421,4,0.64,"0.0039"
"8","GO:0019941","modification-dependent protein catabolic...",429,4,0.65,"0.0042"
"9","GO:0043161","proteasome-mediated ubiquitin-dependent ...",214,3,0.33,"0.0043"
"10","GO:0043632","modification-dependent macromolecule cat...",437,4,0.67,"0.0044"
"11","GO:0010498","proteasomal protein catabolic process",226,3,0.34,"0.0050"
"12","GO:0044257","cellular protein catabolic process",477,4,0.73,"0.0060"
"13","GO:0051603","proteolysis involved in cellular protein...",477,4,0.73,"0.0060"
"14","GO:0006289","nucleotide-excision repair",80,2,0.12,"0.0067"
"15","GO:0030163","protein catabolic process",550,4,0.84,"0.0098"
"16","GO:0000056","ribosomal small subunit export from nucl...",7,1,0.01,"0.0106"
"17","GO:0006950","response to stress",2442,9,3.72,"0.0110"
"18","GO:0051131","chaperone-mediated protein complex assem...",8,1,0.01,"0.0121"
"19","GO:0051716","cellular response to stimulus",3004,10,4.57,"0.0145"
"20","GO:0044265","cellular macromolecule catabolic process",630,4,0.96,"0.0155"
"21","GO:0071103","DNA conformation change",367,3,0.56,"0.0185"
"22","GO:0000055","ribosomal large subunit export from nucl...",14,1,0.02,"0.0211"
"23","GO:0080037","negative regulation of cytokinin-activat...",14,1,0.02,"0.0211"
"24","GO:0000054","ribosomal subunit export from nucleus",16,1,0.02,"0.0241"
"25","GO:0006621","protein retention in ER lumen",16,1,0.02,"0.0241"
"26","GO:0033750","ribosome localization",16,1,0.02,"0.0241"
"27","GO:0071428","rRNA-containing ribonucleoprotein comple...",16,1,0.02,"0.0241"
"28","GO:0009057","macromolecule catabolic process",1083,5,1.65,"0.0243"
"29","GO:0048193","Golgi vesicle transport",162,2,0.25,"0.0254"
"30","GO:0080036","regulation of cytokinin-activated signal...",17,1,0.03,"0.0256"
"31","GO:1901565","organonitrogen compound catabolic proces...",745,4,1.13,"0.0268"
"32","GO:0009408","response to heat",169,2,0.26,"0.0275"
"33","GO:0005978","glycogen biosynthetic process",19,1,0.03,"0.0285"
"34","GO:0072503","cellular divalent inorganic cation homeo...",19,1,0.03,"0.0285"
"35","GO:0065008","regulation of biological quality",1142,5,1.74,"0.0297"
"36","GO:0035437","maintenance of protein localization in e...",20,1,0.03,"0.0300"
"37","GO:0072507","divalent inorganic cation homeostasis",20,1,0.03,"0.0300"
"38","GO:0072595","maintenance of protein localization in o...",20,1,0.03,"0.0300"
"39","GO:0000723","telomere maintenance",178,2,0.27,"0.0302"
"40","GO:0032200","telomere organization",178,2,0.27,"0.0302"
