"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006796","phosphate-containing compound metabolic ...",2965,392,245.97,"9.0e-24"
"2","GO:0006793","phosphorus metabolic process",2971,392,246.46,"1.3e-23"
"3","GO:0006468","protein phosphorylation",2146,306,178.02,"3.2e-23"
"4","GO:0016310","phosphorylation",2358,323,195.61,"1.1e-21"
"5","GO:0006464","cellular protein modification process",2750,354,228.13,"3.1e-19"
"6","GO:0036211","protein modification process",2750,354,228.13,"3.1e-19"
"7","GO:0043412","macromolecule modification",2890,360,239.74,"3.1e-17"
"8","GO:0033865","nucleoside bisphosphate metabolic proces...",41,16,3.4,"6.5e-08"
"9","GO:0033875","ribonucleoside bisphosphate metabolic pr...",41,16,3.4,"6.5e-08"
"10","GO:0034032","purine nucleoside bisphosphate metabolic...",41,16,3.4,"6.5e-08"
"11","GO:0007034","vacuolar transport",38,13,3.15,"6.3e-06"
"12","GO:0008037","cell recognition",122,25,10.12,"1.9e-05"
"13","GO:0009856","pollination",122,25,10.12,"1.9e-05"
"14","GO:0009875","pollen-pistil interaction",122,25,10.12,"1.9e-05"
"15","GO:0044706","multi-multicellular organism process",122,25,10.12,"1.9e-05"
"16","GO:0048544","recognition of pollen",122,25,10.12,"1.9e-05"
"17","GO:0044260","cellular macromolecule metabolic process",6499,611,539.13,"3.7e-05"
"18","GO:0044267","cellular protein metabolic process",3942,389,327.01,"4.1e-05"
"19","GO:0006355","regulation of transcription, DNA-templat...",1590,175,131.9,"4.7e-05"
"20","GO:1903506","regulation of nucleic acid-templated tra...",1590,175,131.9,"4.7e-05"
"21","GO:2001141","regulation of RNA biosynthetic process",1590,175,131.9,"4.7e-05"
"22","GO:0006021","inositol biosynthetic process",4,4,0.33,"4.7e-05"
"23","GO:0051252","regulation of RNA metabolic process",1595,175,132.32,"5.6e-05"
"24","GO:0019219","regulation of nucleobase-containing comp...",1608,176,133.39,"6.1e-05"
"25","GO:0009889","regulation of biosynthetic process",1611,176,133.64,"6.7e-05"
"26","GO:0010556","regulation of macromolecule biosynthetic...",1611,176,133.64,"6.7e-05"
"27","GO:0031326","regulation of cellular biosynthetic proc...",1611,176,133.64,"6.7e-05"
"28","GO:2000112","regulation of cellular macromolecule bio...",1611,176,133.64,"6.7e-05"
"29","GO:0051179","localization",2838,288,235.43,"8.3e-05"
"30","GO:0051171","regulation of nitrogen compound metaboli...",1661,180,137.79,"8.5e-05"
"31","GO:0080090","regulation of primary metabolic process",1661,180,137.79,"8.5e-05"
"32","GO:0031323","regulation of cellular metabolic process",1663,180,137.96,"9.1e-05"
"33","GO:0010468","regulation of gene expression",1665,180,138.12,"9.7e-05"
"34","GO:0051704","multi-organism process",151,27,12.53,"0.00011"
"35","GO:0060255","regulation of macromolecule metabolic pr...",1717,184,142.44,"0.00013"
"36","GO:0051234","establishment of localization",2812,284,233.27,"0.00013"
"37","GO:0015969","guanosine tetraphosphate metabolic proce...",8,5,0.66,"0.00018"
"38","GO:0034035","purine ribonucleoside bisphosphate metab...",8,5,0.66,"0.00018"
"39","GO:0019222","regulation of metabolic process",1728,184,143.35,"0.00018"
"40","GO:0006351","transcription, DNA-templated",1823,192,151.23,"0.00024"
