"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0005975","carbohydrate metabolic process",1299,137,81.14,"5.6e-10"
"2","GO:0046474","glycerophospholipid biosynthetic process",54,16,3.37,"1.1e-07"
"3","GO:0006629","lipid metabolic process",895,95,55.9,"2.2e-07"
"4","GO:0006468","protein phosphorylation",2146,190,134.04,"2.5e-07"
"5","GO:0006464","cellular protein modification process",2750,233,171.77,"2.9e-07"
"6","GO:0036211","protein modification process",2750,233,171.77,"2.9e-07"
"7","GO:0008610","lipid biosynthetic process",420,54,26.23,"3.5e-07"
"8","GO:0009733","response to auxin",157,28,9.81,"4.3e-07"
"9","GO:0045017","glycerolipid biosynthetic process",79,18,4.93,"1.3e-06"
"10","GO:0043412","macromolecule modification",2890,239,180.52,"1.4e-06"
"11","GO:0016310","phosphorylation",2358,199,147.29,"3.6e-06"
"12","GO:0006497","protein lipidation",40,12,2.5,"3.6e-06"
"13","GO:0042157","lipoprotein metabolic process",40,12,2.5,"3.6e-06"
"14","GO:0042158","lipoprotein biosynthetic process",40,12,2.5,"3.6e-06"
"15","GO:0006796","phosphate-containing compound metabolic ...",2965,241,185.2,"4.5e-06"
"16","GO:0006793","phosphorus metabolic process",2971,241,185.58,"5.2e-06"
"17","GO:0008654","phospholipid biosynthetic process",87,18,5.43,"5.8e-06"
"18","GO:0046467","membrane lipid biosynthetic process",56,14,3.5,"6.2e-06"
"19","GO:0006486","protein glycosylation",105,20,6.56,"6.7e-06"
"20","GO:0009100","glycoprotein metabolic process",105,20,6.56,"6.7e-06"
"21","GO:0009101","glycoprotein biosynthetic process",105,20,6.56,"6.7e-06"
"22","GO:0043413","macromolecule glycosylation",105,20,6.56,"6.7e-06"
"23","GO:0070085","glycosylation",114,21,7.12,"6.9e-06"
"24","GO:0006505","GPI anchor metabolic process",37,11,2.31,"1.0e-05"
"25","GO:0006506","GPI anchor biosynthetic process",37,11,2.31,"1.0e-05"
"26","GO:0006661","phosphatidylinositol biosynthetic proces...",37,11,2.31,"1.0e-05"
"27","GO:0009247","glycolipid biosynthetic process",52,13,3.25,"1.3e-05"
"28","GO:0007017","microtubule-based process",219,31,13.68,"1.7e-05"
"29","GO:0000079","regulation of cyclin-dependent protein s...",11,6,0.69,"2.1e-05"
"30","GO:0001932","regulation of protein phosphorylation",11,6,0.69,"2.1e-05"
"31","GO:0042325","regulation of phosphorylation",11,6,0.69,"2.1e-05"
"32","GO:0043549","regulation of kinase activity",11,6,0.69,"2.1e-05"
"33","GO:0045859","regulation of protein kinase activity",11,6,0.69,"2.1e-05"
"34","GO:0051338","regulation of transferase activity",11,6,0.69,"2.1e-05"
"35","GO:0071900","regulation of protein serine/threonine k...",11,6,0.69,"2.1e-05"
"36","GO:1904029","regulation of cyclin-dependent protein k...",11,6,0.69,"2.1e-05"
"37","GO:0006650","glycerophospholipid metabolic process",162,25,10.12,"2.5e-05"
"38","GO:0006664","glycolipid metabolic process",55,13,3.44,"2.5e-05"
"39","GO:1903509","liposaccharide metabolic process",55,13,3.44,"2.5e-05"
"40","GO:0046486","glycerolipid metabolic process",187,27,11.68,"4.0e-05"
