"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0050794","regulation of cellular process",2378,59,34.09,"1.4e-05"
"2","GO:0006796","phosphate-containing compound metabolic ...",2965,69,42.5,"1.9e-05"
"3","GO:0006793","phosphorus metabolic process",2971,69,42.59,"2.0e-05"
"4","GO:0050789","regulation of biological process",2453,59,35.16,"3.6e-05"
"5","GO:0065007","biological regulation",2628,62,37.67,"3.8e-05"
"6","GO:0006464","cellular protein modification process",2750,64,39.42,"4.2e-05"
"7","GO:0036211","protein modification process",2750,64,39.42,"4.2e-05"
"8","GO:0016310","phosphorylation",2358,55,33.8,"0.00016"
"9","GO:0043412","macromolecule modification",2890,64,41.43,"0.00018"
"10","GO:0006468","protein phosphorylation",2146,51,30.76,"0.00019"
"11","GO:0006083","acetate metabolic process",2,2,0.03,"0.00020"
"12","GO:0019427","acetyl-CoA biosynthetic process from ace...",2,2,0.03,"0.00020"
"13","GO:0007165","signal transduction",451,17,6.46,"0.00029"
"14","GO:0023052","signaling",451,17,6.46,"0.00029"
"15","GO:0006355","regulation of transcription, DNA-templat...",1590,40,22.79,"0.00033"
"16","GO:1903506","regulation of nucleic acid-templated tra...",1590,40,22.79,"0.00033"
"17","GO:2001141","regulation of RNA biosynthetic process",1590,40,22.79,"0.00033"
"18","GO:0051252","regulation of RNA metabolic process",1595,40,22.86,"0.00035"
"19","GO:0019219","regulation of nucleobase-containing comp...",1608,40,23.05,"0.00042"
"20","GO:0009889","regulation of biosynthetic process",1611,40,23.09,"0.00043"
"21","GO:0010556","regulation of macromolecule biosynthetic...",1611,40,23.09,"0.00043"
"22","GO:0031326","regulation of cellular biosynthetic proc...",1611,40,23.09,"0.00043"
"23","GO:2000112","regulation of cellular macromolecule bio...",1611,40,23.09,"0.00043"
"24","GO:0051171","regulation of nitrogen compound metaboli...",1661,40,23.81,"0.00079"
"25","GO:0080090","regulation of primary metabolic process",1661,40,23.81,"0.00079"
"26","GO:0031323","regulation of cellular metabolic process",1663,40,23.84,"0.00081"
"27","GO:0010468","regulation of gene expression",1665,40,23.87,"0.00082"
"28","GO:0043631","RNA polyadenylation",14,3,0.2,"0.00094"
"29","GO:0033866","nucleoside bisphosphate biosynthetic pro...",16,3,0.23,"0.00142"
"30","GO:0034030","ribonucleoside bisphosphate biosynthetic...",16,3,0.23,"0.00142"
"31","GO:0034033","purine nucleoside bisphosphate biosynthe...",16,3,0.23,"0.00142"
"32","GO:0060255","regulation of macromolecule metabolic pr...",1717,40,24.61,"0.00147"
"33","GO:0019222","regulation of metabolic process",1728,40,24.77,"0.00166"
"34","GO:0042256","mature ribosome assembly",5,2,0.07,"0.00199"
"35","GO:0006351","transcription, DNA-templated",1823,41,26.13,"0.00246"
"36","GO:0097659","nucleic acid-templated transcription",1823,41,26.13,"0.00246"
"37","GO:0032774","RNA biosynthetic process",1827,41,26.19,"0.00256"
"38","GO:0034654","nucleobase-containing compound biosynthe...",2195,47,31.46,"0.00311"
"39","GO:0007154","cell communication",573,17,8.21,"0.00387"
"40","GO:0051641","cellular localization",431,14,6.18,"0.00388"
