"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0005985","sucrose metabolic process",28,3,0.06,"3.0e-05"
"2","GO:0044262","cellular carbohydrate metabolic process",281,6,0.61,"3.0e-05"
"3","GO:0006421","asparaginyl-tRNA aminoacylation",5,2,0.01,"4.6e-05"
"4","GO:0050896","response to stimulus",1373,11,2.99,"0.00012"
"5","GO:0035556","intracellular signal transduction",179,4,0.39,"0.00061"
"6","GO:0005984","disaccharide metabolic process",80,3,0.17,"0.00070"
"7","GO:0009311","oligosaccharide metabolic process",91,3,0.2,"0.00102"
"8","GO:0005975","carbohydrate metabolic process",1299,9,2.83,"0.00160"
"9","GO:0006952","defense response",114,3,0.25,"0.00195"
"10","GO:0007165","signal transduction",451,5,0.98,"0.00284"
"11","GO:0023052","signaling",451,5,0.98,"0.00284"
"12","GO:0042545","cell wall modification",142,3,0.31,"0.00364"
"13","GO:0006950","response to stress",705,6,1.54,"0.00397"
"14","GO:0006073","cellular glucan metabolic process",166,3,0.36,"0.00562"
"15","GO:0044042","glucan metabolic process",166,3,0.36,"0.00562"
"16","GO:0044264","cellular polysaccharide metabolic proces...",174,3,0.38,"0.00640"
"17","GO:0007154","cell communication",573,5,1.25,"0.00779"
"18","GO:0005976","polysaccharide metabolic process",200,3,0.44,"0.00937"
"19","GO:0050794","regulation of cellular process",2378,11,5.18,"0.01079"
"20","GO:0050789","regulation of biological process",2453,11,5.35,"0.01350"
"21","GO:0045229","external encapsulating structure organiz...",234,3,0.51,"0.01430"
"22","GO:0071555","cell wall organization",234,3,0.51,"0.01430"
"23","GO:0051716","cellular response to stimulus",716,5,1.56,"0.01899"
"24","GO:0000160","phosphorelay signal transduction system",104,2,0.23,"0.02158"
"25","GO:0065007","biological regulation",2628,11,5.73,"0.02183"
"26","GO:0006979","response to oxidative stress",299,3,0.65,"0.02716"
"27","GO:0005977","glycogen metabolic process",14,1,0.03,"0.03010"
"28","GO:0005978","glycogen biosynthetic process",14,1,0.03,"0.03010"
"29","GO:0006112","energy reserve metabolic process",14,1,0.03,"0.03010"
"30","GO:0007205","protein kinase C-activating G protein-co...",15,1,0.03,"0.03222"
"31","GO:0006418","tRNA aminoacylation for protein translat...",132,2,0.29,"0.03353"
"32","GO:0043038","amino acid activation",138,2,0.3,"0.03637"
"33","GO:0043039","tRNA aminoacylation",138,2,0.3,"0.03637"
"34","GO:0071554","cell wall organization or biogenesis",347,3,0.76,"0.03960"
"35","GO:0007186","G protein-coupled receptor signaling pat...",32,1,0.07,"0.06751"
"36","GO:0006399","tRNA metabolic process",269,2,0.59,"0.11630"
"37","GO:0006355","regulation of transcription, DNA-templat...",1590,6,3.47,"0.12849"
"38","GO:1903506","regulation of nucleic acid-templated tra...",1590,6,3.47,"0.12849"
"39","GO:2001141","regulation of RNA biosynthetic process",1590,6,3.47,"0.12849"
"40","GO:0051252","regulation of RNA metabolic process",1595,6,3.48,"0.12990"
