"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006457","protein folding",210,4,0.11,"3.3e-06"
"2","GO:0006508","proteolysis",1038,2,0.57,"0.11"
"3","GO:0006355","regulation of transcription, DNA-templat...",1590,2,0.87,"0.21"
"4","GO:1903506","regulation of nucleic acid-templated tra...",1590,2,0.87,"0.21"
"5","GO:2001141","regulation of RNA biosynthetic process",1590,2,0.87,"0.21"
"6","GO:0051252","regulation of RNA metabolic process",1595,2,0.87,"0.21"
"7","GO:0019219","regulation of nucleobase-containing comp...",1608,2,0.88,"0.22"
"8","GO:0009889","regulation of biosynthetic process",1611,2,0.88,"0.22"
"9","GO:0010556","regulation of macromolecule biosynthetic...",1611,2,0.88,"0.22"
"10","GO:0031326","regulation of cellular biosynthetic proc...",1611,2,0.88,"0.22"
"11","GO:2000112","regulation of cellular macromolecule bio...",1611,2,0.88,"0.22"
"12","GO:0043170","macromolecule metabolic process",7921,6,4.32,"0.22"
"13","GO:0051171","regulation of nitrogen compound metaboli...",1661,2,0.91,"0.23"
"14","GO:0080090","regulation of primary metabolic process",1661,2,0.91,"0.23"
"15","GO:0031323","regulation of cellular metabolic process",1663,2,0.91,"0.23"
"16","GO:0010468","regulation of gene expression",1665,2,0.91,"0.23"
"17","GO:0060255","regulation of macromolecule metabolic pr...",1717,2,0.94,"0.24"
"18","GO:0019222","regulation of metabolic process",1728,2,0.94,"0.24"
"19","GO:0019538","protein metabolic process",4784,4,2.61,"0.25"
"20","GO:0006351","transcription, DNA-templated",1823,2,0.99,"0.26"
"21","GO:0097659","nucleic acid-templated transcription",1823,2,0.99,"0.26"
"22","GO:0032774","RNA biosynthetic process",1827,2,1,"0.26"
"23","GO:0034654","nucleobase-containing compound biosynthe...",2195,2,1.2,"0.34"
"24","GO:0006807","nitrogen compound metabolic process",8977,6,4.89,"0.35"
"25","GO:0019438","aromatic compound biosynthetic process",2373,2,1.29,"0.38"
"26","GO:0050794","regulation of cellular process",2378,2,1.3,"0.38"
"27","GO:0018130","heterocycle biosynthetic process",2398,2,1.31,"0.38"
"28","GO:0050789","regulation of biological process",2453,2,1.34,"0.39"
"29","GO:1901362","organic cyclic compound biosynthetic pro...",2466,2,1.34,"0.40"
"30","GO:1901564","organonitrogen compound metabolic proces...",5964,4,3.25,"0.42"
"31","GO:0016070","RNA metabolic process",2570,2,1.4,"0.42"
"32","GO:0065007","biological regulation",2628,2,1.43,"0.43"
"33","GO:0090304","nucleic acid metabolic process",3078,2,1.68,"0.52"
"34","GO:0009059","macromolecule biosynthetic process",3189,2,1.74,"0.54"
"35","GO:0034645","cellular macromolecule biosynthetic proc...",3189,2,1.74,"0.54"
"36","GO:0044238","primary metabolic process",10615,6,5.79,"0.58"
"37","GO:0044271","cellular nitrogen compound biosynthetic ...",3403,2,1.85,"0.58"
"38","GO:0010467","gene expression",3456,2,1.88,"0.59"
"39","GO:0006139","nucleobase-containing compound metabolic...",3641,2,1.98,"0.62"
"40","GO:0071704","organic substance metabolic process",11072,6,6.03,"0.64"
