"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006259","DNA metabolic process",522,4,0.37,"0.00038"
"2","GO:0006807","nitrogen compound metabolic process",8977,12,6.36,"0.00134"
"3","GO:0006425","glutaminyl-tRNA aminoacylation",2,1,0,"0.00142"
"4","GO:0009894","regulation of catabolic process",9,1,0.01,"0.00636"
"5","GO:0042176","regulation of protein catabolic process",9,1,0.01,"0.00636"
"6","GO:0034641","cellular nitrogen compound metabolic pro...",4809,8,3.41,"0.00768"
"7","GO:0006281","DNA repair",246,2,0.17,"0.01267"
"8","GO:0090304","nucleic acid metabolic process",3078,6,2.18,"0.01304"
"9","GO:0006974","cellular response to DNA damage stimulus",252,2,0.18,"0.01326"
"10","GO:0033554","cellular response to stress",262,2,0.19,"0.01428"
"11","GO:0043170","macromolecule metabolic process",7921,10,5.61,"0.01455"
"12","GO:0006265","DNA topological change",24,1,0.02,"0.01688"
"13","GO:0006298","mismatch repair",27,1,0.02,"0.01897"
"14","GO:0001510","RNA methylation",29,1,0.02,"0.02036"
"15","GO:0006139","nucleobase-containing compound metabolic...",3641,6,2.58,"0.02893"
"16","GO:0006412","translation",997,3,0.71,"0.03039"
"17","GO:0043043","peptide biosynthetic process",1004,3,0.71,"0.03094"
"18","GO:0006518","peptide metabolic process",1028,3,0.73,"0.03289"
"19","GO:0043604","amide biosynthetic process",1047,3,0.74,"0.03448"
"20","GO:0046483","heterocycle metabolic process",3889,6,2.76,"0.03908"
"21","GO:0051246","regulation of protein metabolic process",57,1,0.04,"0.03966"
"22","GO:0043603","cellular amide metabolic process",1111,3,0.79,"0.04012"
"23","GO:0006725","cellular aromatic compound metabolic pro...",3944,6,2.79,"0.04162"
"24","GO:1901360","organic cyclic compound metabolic proces...",4015,6,2.84,"0.04508"
"25","GO:0044260","cellular macromolecule metabolic process",6499,8,4.6,"0.04947"
"26","GO:0006413","translational initiation",75,1,0.05,"0.05187"
"27","GO:0071103","DNA conformation change",83,1,0.06,"0.05726"
"28","GO:0043414","macromolecule methylation",94,1,0.07,"0.06462"
"29","GO:0006260","DNA replication",116,1,0.08,"0.07917"
"30","GO:0032259","methylation",125,1,0.09,"0.08507"
"31","GO:0006950","response to stress",705,2,0.5,"0.08693"
"32","GO:0009451","RNA modification",131,1,0.09,"0.08898"
"33","GO:0051716","cellular response to stimulus",716,2,0.51,"0.08928"
"34","GO:0006418","tRNA aminoacylation for protein translat...",132,1,0.09,"0.08963"
"35","GO:0043038","amino acid activation",138,1,0.1,"0.09352"
"36","GO:0043039","tRNA aminoacylation",138,1,0.1,"0.09352"
"37","GO:0008152","metabolic process",13764,12,9.75,"0.12695"
"38","GO:0044238","primary metabolic process",10615,10,7.52,"0.13209"
"39","GO:0051276","chromosome organization",209,1,0.15,"0.13842"
"40","GO:0006457","protein folding",210,1,0.15,"0.13904"
