"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006139","nucleobase-containing compound metabolic...",3641,54,20.84,"4.8e-13"
"2","GO:0046483","heterocycle metabolic process",3889,55,22.26,"1.8e-12"
"3","GO:0006725","cellular aromatic compound metabolic pro...",3944,55,22.57,"3.3e-12"
"4","GO:1901360","organic cyclic compound metabolic proces...",4015,55,22.98,"7.0e-12"
"5","GO:0006259","DNA metabolic process",522,20,2.99,"1.4e-11"
"6","GO:0090304","nucleic acid metabolic process",3078,47,17.62,"1.7e-11"
"7","GO:0034641","cellular nitrogen compound metabolic pro...",4809,60,27.52,"1.9e-11"
"8","GO:0006260","DNA replication",116,11,0.66,"6.0e-11"
"9","GO:0006807","nitrogen compound metabolic process",8977,77,51.38,"2.9e-07"
"10","GO:0051276","chromosome organization",209,10,1.2,"3.3e-07"
"11","GO:0009987","cellular process",11364,88,65.04,"8.0e-07"
"12","GO:0034660","ncRNA metabolic process",366,12,2.09,"1.2e-06"
"13","GO:0006281","DNA repair",246,10,1.41,"1.5e-06"
"14","GO:0006974","cellular response to DNA damage stimulus",252,10,1.44,"1.8e-06"
"15","GO:0033554","cellular response to stress",262,10,1.5,"2.6e-06"
"16","GO:0006399","tRNA metabolic process",269,10,1.54,"3.3e-06"
"17","GO:0043170","macromolecule metabolic process",7921,68,45.33,"6.4e-06"
"18","GO:0009057","macromolecule catabolic process",367,11,2.1,"8.2e-06"
"19","GO:0000278","mitotic cell cycle",23,4,0.13,"8.2e-06"
"20","GO:0030163","protein catabolic process",260,9,1.49,"1.8e-05"
"21","GO:0006333","chromatin assembly or disassembly",59,5,0.34,"2.2e-05"
"22","GO:0044238","primary metabolic process",10615,81,60.75,"2.6e-05"
"23","GO:0034470","ncRNA processing",224,8,1.28,"4.4e-05"
"24","GO:0000070","mitotic sister chromatid segregation",13,3,0.07,"5.0e-05"
"25","GO:0000819","sister chromatid segregation",13,3,0.07,"5.0e-05"
"26","GO:0140014","mitotic nuclear division",13,3,0.07,"5.0e-05"
"27","GO:0006396","RNA processing",530,12,3.03,"5.1e-05"
"28","GO:0006996","organelle organization",378,10,2.16,"6.2e-05"
"29","GO:0006325","chromatin organization",123,6,0.7,"7.5e-05"
"30","GO:0071704","organic substance metabolic process",11072,82,63.37,"8.5e-05"
"31","GO:0044237","cellular metabolic process",9563,74,54.73,"9.4e-05"
"32","GO:0008033","tRNA processing",131,6,0.75,"0.00011"
"33","GO:0098813","nuclear chromosome segregation",17,3,0.1,"0.00012"
"34","GO:1903047","mitotic cell cycle process",17,3,0.1,"0.00012"
"35","GO:0006220","pyrimidine nucleotide metabolic process",46,4,0.26,"0.00014"
"36","GO:0006221","pyrimidine nucleotide biosynthetic proce...",46,4,0.26,"0.00014"
"37","GO:0007059","chromosome segregation",19,3,0.11,"0.00017"
"38","GO:0000280","nuclear division",20,3,0.11,"0.00019"
"39","GO:1901565","organonitrogen compound catabolic proces...",358,9,2.05,"0.00021"
"40","GO:0007062","sister chromatid cohesion",5,2,0.03,"0.00032"
