"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0007166","cell surface receptor signaling pathway",12,2,0.07,"0.0024"
"2","GO:0006468","protein phosphorylation",2146,24,13.22,"0.0026"
"3","GO:0016310","phosphorylation",2358,25,14.52,"0.0043"
"4","GO:0005975","carbohydrate metabolic process",1299,15,8,"0.0135"
"5","GO:0005996","monosaccharide metabolic process",84,3,0.52,"0.0151"
"6","GO:0006464","cellular protein modification process",2750,26,16.94,"0.0153"
"7","GO:0036211","protein modification process",2750,26,16.94,"0.0153"
"8","GO:0043412","macromolecule modification",2890,27,17.8,"0.0155"
"9","GO:0006429","leucyl-tRNA aminoacylation",4,1,0.02,"0.0244"
"10","GO:0044030","regulation of DNA methylation",4,1,0.02,"0.0244"
"11","GO:0000288","nuclear-transcribed mRNA catabolic proce...",5,1,0.03,"0.0304"
"12","GO:0000290","deadenylation-dependent decapping of nuc...",5,1,0.03,"0.0304"
"13","GO:0010109","regulation of photosynthesis",6,1,0.04,"0.0364"
"14","GO:0042548","regulation of photosynthesis, light reac...",6,1,0.04,"0.0364"
"15","GO:0042549","photosystem II stabilization",6,1,0.04,"0.0364"
"16","GO:0043467","regulation of generation of precursor me...",6,1,0.04,"0.0364"
"17","GO:0044238","primary metabolic process",10615,75,65.38,"0.0395"
"18","GO:0006549","isoleucine metabolic process",7,1,0.04,"0.0423"
"19","GO:0009097","isoleucine biosynthetic process",7,1,0.04,"0.0423"
"20","GO:0019566","arabinose metabolic process",7,1,0.04,"0.0423"
"21","GO:0046373","L-arabinose metabolic process",7,1,0.04,"0.0423"
"22","GO:0050789","regulation of biological process",2453,22,15.11,"0.0433"
"23","GO:0050794","regulation of cellular process",2378,21,14.65,"0.0551"
"24","GO:0006796","phosphate-containing compound metabolic ...",2965,25,18.26,"0.0591"
"25","GO:0010207","photosystem II assembly",10,1,0.06,"0.0599"
"26","GO:0006793","phosphorus metabolic process",2971,25,18.3,"0.0603"
"27","GO:0019222","regulation of metabolic process",1728,16,10.64,"0.0643"
"28","GO:0019538","protein metabolic process",4784,37,29.46,"0.0677"
"29","GO:0019318","hexose metabolic process",71,2,0.44,"0.0710"
"30","GO:0043085","positive regulation of catalytic activit...",12,1,0.07,"0.0715"
"31","GO:0044093","positive regulation of molecular functio...",12,1,0.07,"0.0715"
"32","GO:0006304","DNA modification",13,1,0.08,"0.0772"
"33","GO:0006305","DNA alkylation",13,1,0.08,"0.0772"
"34","GO:0006306","DNA methylation",13,1,0.08,"0.0772"
"35","GO:0019321","pentose metabolic process",13,1,0.08,"0.0772"
"36","GO:0044728","DNA methylation or demethylation",13,1,0.08,"0.0772"
"37","GO:0051052","regulation of DNA metabolic process",13,1,0.08,"0.0772"
"38","GO:0071704","organic substance metabolic process",11072,76,68.19,"0.0782"
"39","GO:0065007","biological regulation",2628,22,16.19,"0.0801"
"40","GO:0031323","regulation of cellular metabolic process",1663,15,10.24,"0.0859"
