"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006355","regulation of transcription, DNA-templat...",1590,107,65.08,"1.7e-07"
"2","GO:1903506","regulation of nucleic acid-templated tra...",1590,107,65.08,"1.7e-07"
"3","GO:2001141","regulation of RNA biosynthetic process",1590,107,65.08,"1.7e-07"
"4","GO:0051252","regulation of RNA metabolic process",1595,107,65.29,"2.0e-07"
"5","GO:0019219","regulation of nucleobase-containing comp...",1608,107,65.82,"3.0e-07"
"6","GO:0009889","regulation of biosynthetic process",1611,107,65.94,"3.2e-07"
"7","GO:0010556","regulation of macromolecule biosynthetic...",1611,107,65.94,"3.2e-07"
"8","GO:0031326","regulation of cellular biosynthetic proc...",1611,107,65.94,"3.2e-07"
"9","GO:2000112","regulation of cellular macromolecule bio...",1611,107,65.94,"3.2e-07"
"10","GO:0006351","transcription, DNA-templated",1823,116,74.62,"8.6e-07"
"11","GO:0097659","nucleic acid-templated transcription",1823,116,74.62,"8.6e-07"
"12","GO:0032774","RNA biosynthetic process",1827,116,74.78,"9.6e-07"
"13","GO:0051171","regulation of nitrogen compound metaboli...",1661,107,67.99,"1.4e-06"
"14","GO:0080090","regulation of primary metabolic process",1661,107,67.99,"1.4e-06"
"15","GO:0031323","regulation of cellular metabolic process",1663,107,68.07,"1.5e-06"
"16","GO:0010468","regulation of gene expression",1665,107,68.15,"1.6e-06"
"17","GO:0060255","regulation of macromolecule metabolic pr...",1717,107,70.28,"6.3e-06"
"18","GO:0050794","regulation of cellular process",2378,139,97.34,"6.6e-06"
"19","GO:0034654","nucleobase-containing compound biosynthe...",2195,130,89.85,"7.4e-06"
"20","GO:0019222","regulation of metabolic process",1728,107,70.73,"8.4e-06"
"21","GO:0019438","aromatic compound biosynthetic process",2373,137,97.13,"1.5e-05"
"22","GO:0006284","base-excision repair",49,10,2.01,"2.4e-05"
"23","GO:1901362","organic cyclic compound biosynthetic pro...",2466,140,100.94,"2.7e-05"
"24","GO:0050789","regulation of biological process",2453,139,100.41,"3.2e-05"
"25","GO:0018130","heterocycle biosynthetic process",2398,136,98.16,"3.8e-05"
"26","GO:0065007","biological regulation",2628,143,107.57,"0.00017"
"27","GO:0010383","cell wall polysaccharide metabolic proce...",68,10,2.78,"0.00042"
"28","GO:0010410","hemicellulose metabolic process",68,10,2.78,"0.00042"
"29","GO:0006857","oligopeptide transport",57,9,2.33,"0.00047"
"30","GO:0009081","branched-chain amino acid metabolic proc...",37,7,1.51,"0.00066"
"31","GO:0005975","carbohydrate metabolic process",1299,75,53.17,"0.00154"
"32","GO:0016070","RNA metabolic process",2570,134,105.2,"0.00158"
"33","GO:0009908","flower development",2,2,0.08,"0.00167"
"34","GO:0048367","shoot system development",2,2,0.08,"0.00167"
"35","GO:0090567","reproductive shoot system development",2,2,0.08,"0.00167"
"36","GO:0010411","xyloglucan metabolic process",60,8,2.46,"0.00296"
"37","GO:0042221","response to chemical",270,21,11.05,"0.00380"
"38","GO:0007275","multicellular organism development",63,8,2.58,"0.00402"
"39","GO:0006464","cellular protein modification process",2750,139,112.57,"0.00410"
"40","GO:0036211","protein modification process",2750,139,112.57,"0.00410"
