"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006457","protein folding",210,2,0.07,"0.0019"
"2","GO:0000387","spliceosomal snRNP assembly",21,1,0.01,"0.0068"
"3","GO:0006022","aminoglycan metabolic process",26,1,0.01,"0.0085"
"4","GO:0006026","aminoglycan catabolic process",26,1,0.01,"0.0085"
"5","GO:0006030","chitin metabolic process",26,1,0.01,"0.0085"
"6","GO:0006032","chitin catabolic process",26,1,0.01,"0.0085"
"7","GO:0016998","cell wall macromolecule catabolic proces...",26,1,0.01,"0.0085"
"8","GO:0046348","amino sugar catabolic process",26,1,0.01,"0.0085"
"9","GO:1901071","glucosamine-containing compound metaboli...",26,1,0.01,"0.0085"
"10","GO:1901072","glucosamine-containing compound cataboli...",26,1,0.01,"0.0085"
"11","GO:0006040","amino sugar metabolic process",27,1,0.01,"0.0088"
"12","GO:0022618","ribonucleoprotein complex assembly",40,1,0.01,"0.0130"
"13","GO:0071826","ribonucleoprotein complex subunit organi...",40,1,0.01,"0.0130"
"14","GO:1901136","carbohydrate derivative catabolic proces...",44,1,0.01,"0.0143"
"15","GO:0000375","RNA splicing, via transesterification re...",86,1,0.03,"0.0278"
"16","GO:0000377","RNA splicing, via transesterification re...",86,1,0.03,"0.0278"
"17","GO:0000398","mRNA splicing, via spliceosome",86,1,0.03,"0.0278"
"18","GO:0044036","cell wall macromolecule metabolic proces...",94,1,0.03,"0.0304"
"19","GO:0008380","RNA splicing",106,1,0.03,"0.0342"
"20","GO:0006397","mRNA processing",156,1,0.05,"0.0500"
"21","GO:0022613","ribonucleoprotein complex biogenesis",171,1,0.06,"0.0546"
"22","GO:0016071","mRNA metabolic process",184,1,0.06,"0.0587"
"23","GO:0034622","cellular protein-containing complex asse...",201,1,0.07,"0.0640"
"24","GO:0065003","protein-containing complex assembly",219,1,0.07,"0.0695"
"25","GO:0042737","drug catabolic process",231,1,0.08,"0.0732"
"26","GO:0043933","protein-containing complex subunit organ...",274,1,0.09,"0.0863"
"27","GO:0022607","cellular component assembly",297,1,0.1,"0.0933"
"28","GO:0071554","cell wall organization or biogenesis",347,1,0.11,"0.1083"
"29","GO:1901565","organonitrogen compound catabolic proces...",358,1,0.12,"0.1115"
"30","GO:0009057","macromolecule catabolic process",367,1,0.12,"0.1142"
"31","GO:0044085","cellular component biogenesis",501,1,0.16,"0.1531"
"32","GO:0006396","RNA processing",530,1,0.17,"0.1613"
"33","GO:0017144","drug metabolic process",646,1,0.21,"0.1935"
"34","GO:1901135","carbohydrate derivative metabolic proces...",650,1,0.21,"0.1946"
"35","GO:0016070","RNA metabolic process",2570,2,0.84,"0.2004"
"36","GO:1901575","organic substance catabolic process",672,1,0.22,"0.2006"
"37","GO:0043170","macromolecule metabolic process",7921,4,2.59,"0.2259"
"38","GO:0044248","cellular catabolic process",780,1,0.26,"0.2295"
"39","GO:0016043","cellular component organization",828,1,0.27,"0.2420"
"40","GO:0009056","catabolic process",869,1,0.28,"0.2526"
