"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0009733","response to auxin",157,2,0.05,"0.0011"
"2","GO:0009719","response to endogenous stimulus",235,2,0.08,"0.0024"
"3","GO:0009725","response to hormone",235,2,0.08,"0.0024"
"4","GO:0010033","response to organic substance",238,2,0.08,"0.0024"
"5","GO:0042221","response to chemical",270,2,0.09,"0.0031"
"6","GO:0050896","response to stimulus",1373,2,0.45,"0.0686"
"7","GO:0006355","regulation of transcription, DNA-templat...",1590,1,0.52,"0.4196"
"8","GO:1903506","regulation of nucleic acid-templated tra...",1590,1,0.52,"0.4196"
"9","GO:2001141","regulation of RNA biosynthetic process",1590,1,0.52,"0.4196"
"10","GO:0051252","regulation of RNA metabolic process",1595,1,0.52,"0.4206"
"11","GO:0019219","regulation of nucleobase-containing comp...",1608,1,0.53,"0.4233"
"12","GO:0009889","regulation of biosynthetic process",1611,1,0.53,"0.4239"
"13","GO:0010556","regulation of macromolecule biosynthetic...",1611,1,0.53,"0.4239"
"14","GO:0031326","regulation of cellular biosynthetic proc...",1611,1,0.53,"0.4239"
"15","GO:2000112","regulation of cellular macromolecule bio...",1611,1,0.53,"0.4239"
"16","GO:0051171","regulation of nitrogen compound metaboli...",1661,1,0.54,"0.4342"
"17","GO:0080090","regulation of primary metabolic process",1661,1,0.54,"0.4342"
"18","GO:0031323","regulation of cellular metabolic process",1663,1,0.54,"0.4346"
"19","GO:0010468","regulation of gene expression",1665,1,0.54,"0.4350"
"20","GO:0060255","regulation of macromolecule metabolic pr...",1717,1,0.56,"0.4455"
"21","GO:0055085","transmembrane transport",1722,1,0.56,"0.4465"
"22","GO:0019222","regulation of metabolic process",1728,1,0.57,"0.4477"
"23","GO:0006351","transcription, DNA-templated",1823,1,0.6,"0.4663"
"24","GO:0097659","nucleic acid-templated transcription",1823,1,0.6,"0.4663"
"25","GO:0032774","RNA biosynthetic process",1827,1,0.6,"0.4671"
"26","GO:0006468","protein phosphorylation",2146,1,0.7,"0.5260"
"27","GO:0034654","nucleobase-containing compound biosynthe...",2195,1,0.72,"0.5345"
"28","GO:0016310","phosphorylation",2358,1,0.77,"0.5620"
"29","GO:0019438","aromatic compound biosynthetic process",2373,1,0.78,"0.5644"
"30","GO:0050794","regulation of cellular process",2378,1,0.78,"0.5653"
"31","GO:0018130","heterocycle biosynthetic process",2398,1,0.78,"0.5685"
"32","GO:0050789","regulation of biological process",2453,1,0.8,"0.5774"
"33","GO:1901362","organic cyclic compound biosynthetic pro...",2466,1,0.81,"0.5794"
"34","GO:0016070","RNA metabolic process",2570,1,0.84,"0.5957"
"35","GO:0065007","biological regulation",2628,1,0.86,"0.6045"
"36","GO:0055114","oxidation-reduction process",2738,1,0.9,"0.6209"
"37","GO:0006464","cellular protein modification process",2750,1,0.9,"0.6226"
"38","GO:0036211","protein modification process",2750,1,0.9,"0.6226"
"39","GO:0006810","transport",2804,1,0.92,"0.6304"
"40","GO:0051234","establishment of localization",2812,1,0.92,"0.6315"
