"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006520","cellular amino acid metabolic process",548,8,0.78,"5.8e-07"
"2","GO:0006418","tRNA aminoacylation for protein translat...",132,5,0.19,"1.0e-06"
"3","GO:0043038","amino acid activation",138,5,0.2,"1.3e-06"
"4","GO:0043039","tRNA aminoacylation",138,5,0.2,"1.3e-06"
"5","GO:0006399","tRNA metabolic process",269,5,0.38,"3.3e-05"
"6","GO:0019752","carboxylic acid metabolic process",981,8,1.39,"4.3e-05"
"7","GO:0043436","oxoacid metabolic process",986,8,1.4,"4.4e-05"
"8","GO:0006082","organic acid metabolic process",988,8,1.4,"4.5e-05"
"9","GO:0006426","glycyl-tRNA aminoacylation",9,2,0.01,"6.9e-05"
"10","GO:0034660","ncRNA metabolic process",366,5,0.52,"0.00014"
"11","GO:0044281","small molecule metabolic process",1596,9,2.26,"0.00022"
"12","GO:0006265","DNA topological change",24,2,0.03,"0.00052"
"13","GO:1901566","organonitrogen compound biosynthetic pro...",1926,8,2.73,"0.00401"
"14","GO:0008652","cellular amino acid biosynthetic process",244,3,0.35,"0.00482"
"15","GO:0071103","DNA conformation change",83,2,0.12,"0.00612"
"16","GO:0090304","nucleic acid metabolic process",3078,10,4.36,"0.00685"
"17","GO:0006431","methionyl-tRNA aminoacylation",6,1,0.01,"0.00847"
"18","GO:0006432","phenylalanyl-tRNA aminoacylation",6,1,0.01,"0.00847"
"19","GO:0006551","leucine metabolic process",6,1,0.01,"0.00847"
"20","GO:0009098","leucine biosynthetic process",6,1,0.01,"0.00847"
"21","GO:0006412","translation",997,5,1.41,"0.01188"
"22","GO:0043043","peptide biosynthetic process",1004,5,1.42,"0.01223"
"23","GO:0046483","heterocycle metabolic process",3889,11,5.51,"0.01227"
"24","GO:0006518","peptide metabolic process",1028,5,1.46,"0.01345"
"25","GO:0006725","cellular aromatic compound metabolic pro...",3944,11,5.59,"0.01363"
"26","GO:0043604","amide biosynthetic process",1047,5,1.48,"0.01447"
"27","GO:1901360","organic cyclic compound metabolic proces...",4015,11,5.69,"0.01556"
"28","GO:0043603","cellular amide metabolic process",1111,5,1.57,"0.01830"
"29","GO:0006139","nucleobase-containing compound metabolic...",3641,10,5.16,"0.02198"
"30","GO:0000105","histidine biosynthetic process",19,1,0.03,"0.02660"
"31","GO:0006547","histidine metabolic process",19,1,0.03,"0.02660"
"32","GO:0042026","protein refolding",19,1,0.03,"0.02660"
"33","GO:0052803","imidazole-containing compound metabolic ...",19,1,0.03,"0.02660"
"34","GO:0006807","nitrogen compound metabolic process",8977,18,12.72,"0.02952"
"35","GO:1901607","alpha-amino acid biosynthetic process",203,2,0.29,"0.03327"
"36","GO:0009082","branched-chain amino acid biosynthetic p...",25,1,0.04,"0.03485"
"37","GO:0051276","chromosome organization",209,2,0.3,"0.03508"
"38","GO:0044238","primary metabolic process",10615,20,15.04,"0.03520"
"39","GO:0006457","protein folding",210,2,0.3,"0.03539"
"40","GO:0006259","DNA metabolic process",522,3,0.74,"0.03665"
