"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006810","transport",2804,7,1.99,"0.0014"
"2","GO:0051234","establishment of localization",2812,7,1.99,"0.0014"
"3","GO:0051179","localization",2838,7,2.01,"0.0015"
"4","GO:0055085","transmembrane transport",1722,5,1.22,"0.0049"
"5","GO:0000103","sulfate assimilation",13,1,0.01,"0.0092"
"6","GO:0030001","metal ion transport",364,2,0.26,"0.0265"
"7","GO:0008610","lipid biosynthetic process",420,2,0.3,"0.0345"
"8","GO:0008299","isoprenoid biosynthetic process",82,1,0.06,"0.0566"
"9","GO:0006720","isoprenoid metabolic process",86,1,0.06,"0.0593"
"10","GO:0006812","cation transport",668,2,0.47,"0.0792"
"11","GO:0006790","sulfur compound metabolic process",195,1,0.14,"0.1297"
"12","GO:0006811","ion transport",894,2,0.63,"0.1298"
"13","GO:0006629","lipid metabolic process",895,2,0.63,"0.1300"
"14","GO:0044255","cellular lipid metabolic process",522,1,0.37,"0.3130"
"15","GO:0006468","protein phosphorylation",2146,2,1.52,"0.4598"
"16","GO:0016310","phosphorylation",2358,2,1.67,"0.5122"
"17","GO:0006464","cellular protein modification process",2750,2,1.95,"0.6014"
"18","GO:0036211","protein modification process",2750,2,1.95,"0.6014"
"19","GO:0043412","macromolecule modification",2890,2,2.05,"0.6306"
"20","GO:0006796","phosphate-containing compound metabolic ...",2965,2,2.1,"0.6456"
"21","GO:0006793","phosphorus metabolic process",2971,2,2.11,"0.6468"
"22","GO:0044267","cellular protein metabolic process",3942,2,2.79,"0.8037"
"23","GO:1901576","organic substance biosynthetic process",4464,2,3.16,"0.8620"
"24","GO:0055114","oxidation-reduction process",2738,1,1.94,"0.8778"
"25","GO:0009058","biosynthetic process",4652,2,3.3,"0.8791"
"26","GO:0019538","protein metabolic process",4784,2,3.39,"0.8901"
"27","GO:1901564","organonitrogen compound metabolic proces...",5964,2,4.23,"0.9563"
"28","GO:0044237","cellular metabolic process",9563,4,6.78,"0.9669"
"29","GO:0044249","cellular biosynthetic process",4379,1,3.1,"0.9712"
"30","GO:0044260","cellular macromolecule metabolic process",6499,2,4.6,"0.9724"
"31","GO:0006807","nitrogen compound metabolic process",8977,3,6.36,"0.9864"
"32","GO:0044238","primary metabolic process",10615,4,7.52,"0.9880"
"33","GO:0071704","organic substance metabolic process",11072,4,7.85,"0.9928"
"34","GO:0043170","macromolecule metabolic process",7921,2,5.61,"0.9930"
"35","GO:0008152","metabolic process",13764,6,9.75,"0.9944"
"36","GO:0009987","cellular process",11364,4,8.05,"0.9949"
"37","GO:0008150","biological_process",18347,13,13,"1.0000"
"38","GO:0000003","reproduction",175,0,0.12,"1.0000"
"39","GO:0000018","regulation of DNA recombination",3,0,0,"1.0000"
"40","GO:0000027","ribosomal large subunit assembly",2,0,0,"1.0000"
