"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0016458","gene silencing",25,2,0.05,"0.0012"
"2","GO:0031047","gene silencing by RNA",25,2,0.05,"0.0012"
"3","GO:0010629","negative regulation of gene expression",62,2,0.13,"0.0069"
"4","GO:0006729","tetrahydrobiopterin biosynthetic process",4,1,0.01,"0.0080"
"5","GO:0034311","diol metabolic process",4,1,0.01,"0.0080"
"6","GO:0034312","diol biosynthetic process",4,1,0.01,"0.0080"
"7","GO:0046146","tetrahydrobiopterin metabolic process",4,1,0.01,"0.0080"
"8","GO:0009892","negative regulation of metabolic process",68,2,0.14,"0.0083"
"9","GO:0010605","negative regulation of macromolecule met...",68,2,0.14,"0.0083"
"10","GO:0048519","negative regulation of biological proces...",92,2,0.19,"0.0148"
"11","GO:0019464","glycine decarboxylation via glycine clea...",8,1,0.02,"0.0160"
"12","GO:0009298","GDP-mannose biosynthetic process",9,1,0.02,"0.0180"
"13","GO:0030259","lipid glycosylation",9,1,0.02,"0.0180"
"14","GO:0019673","GDP-mannose metabolic process",11,1,0.02,"0.0220"
"15","GO:0006546","glycine catabolic process",12,1,0.02,"0.0239"
"16","GO:0009071","serine family amino acid catabolic proce...",12,1,0.02,"0.0239"
"17","GO:0009226","nucleotide-sugar biosynthetic process",12,1,0.02,"0.0239"
"18","GO:0043248","proteasome assembly",12,1,0.02,"0.0239"
"19","GO:0046173","polyol biosynthetic process",12,1,0.02,"0.0239"
"20","GO:0042135","neurotransmitter catabolic process",14,1,0.03,"0.0279"
"21","GO:0006536","glutamate metabolic process",15,1,0.03,"0.0298"
"22","GO:0006002","fructose 6-phosphate metabolic process",17,1,0.03,"0.0338"
"23","GO:0006012","galactose metabolic process",17,1,0.03,"0.0338"
"24","GO:0042559","pteridine-containing compound biosynthet...",20,1,0.04,"0.0396"
"25","GO:0005975","carbohydrate metabolic process",1299,6,2.62,"0.0438"
"26","GO:0009225","nucleotide-sugar metabolic process",23,1,0.05,"0.0454"
"27","GO:0046165","alcohol biosynthetic process",26,1,0.05,"0.0512"
"28","GO:0006544","glycine metabolic process",30,1,0.06,"0.0588"
"29","GO:0001505","regulation of neurotransmitter levels",34,1,0.07,"0.0664"
"30","GO:0042133","neurotransmitter metabolic process",34,1,0.07,"0.0664"
"31","GO:0065003","protein-containing complex assembly",219,2,0.44,"0.0719"
"32","GO:1901617","organic hydroxy compound biosynthetic pr...",37,1,0.07,"0.0720"
"33","GO:1901606","alpha-amino acid catabolic process",39,1,0.08,"0.0758"
"34","GO:0019751","polyol metabolic process",40,1,0.08,"0.0777"
"35","GO:0042558","pteridine-containing compound metabolic ...",41,1,0.08,"0.0795"
"36","GO:0009108","coenzyme biosynthetic process",239,2,0.48,"0.0836"
"37","GO:0009063","cellular amino acid catabolic process",45,1,0.09,"0.0869"
"38","GO:0055114","oxidation-reduction process",2738,9,5.52,"0.0899"
"39","GO:0019438","aromatic compound biosynthetic process",2373,8,4.79,"0.0969"
"40","GO:0044281","small molecule metabolic process",1596,6,3.22,"0.0978"
