"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006412","translation",1578,522,50.63,"< 1e-30"
"2","GO:0006518","peptide metabolic process",1636,523,52.5,"< 1e-30"
"3","GO:0043043","peptide biosynthetic process",1585,523,50.86,"< 1e-30"
"4","GO:0043603","cellular amide metabolic process",1803,524,57.85,"< 1e-30"
"5","GO:0043604","amide biosynthetic process",1687,524,54.13,"< 1e-30"
"6","GO:0010467","gene expression",6173,747,198.08,"< 1e-30"
"7","GO:1901566","organonitrogen compound biosynthetic pro...",3117,552,100.02,"< 1e-30"
"8","GO:0034645","cellular macromolecule biosynthetic proc...",5739,616,184.15,"< 1e-30"
"9","GO:0009059","macromolecule biosynthetic process",5951,619,190.96,"< 1e-30"
"10","GO:0044271","cellular nitrogen compound biosynthetic ...",6040,616,193.81,"< 1e-30"
"11","GO:0034641","cellular nitrogen compound metabolic pro...",11920,814,382.49,"< 1e-30"
"12","GO:0044249","cellular biosynthetic process",7955,648,255.26,"< 1e-30"
"13","GO:1901576","organic substance biosynthetic process",8134,650,261,"< 1e-30"
"14","GO:0009058","biosynthetic process",8350,650,267.93,"< 1e-30"
"15","GO:0044267","cellular protein metabolic process",7729,610,248.01,"< 1e-30"
"16","GO:0022613","ribonucleoprotein complex biogenesis",518,162,16.62,"< 1e-30"
"17","GO:0019538","protein metabolic process",9267,635,297.36,"< 1e-30"
"18","GO:0042254","ribosome biogenesis",366,120,11.74,"< 1e-30"
"19","GO:1901564","organonitrogen compound metabolic proces...",11095,672,356.02,"< 1e-30"
"20","GO:0044085","cellular component biogenesis",1383,194,44.38,"< 1e-30"
"21","GO:0043170","macromolecule metabolic process",18767,893,602.19,"< 1e-30"
"22","GO:0006807","nitrogen compound metabolic process",19831,920,636.34,"< 1e-30"
"23","GO:0022618","ribonucleoprotein complex assembly",217,74,6.96,"< 1e-30"
"24","GO:0071826","ribonucleoprotein complex subunit organi...",218,74,7,"< 1e-30"
"25","GO:0006396","RNA processing",1149,151,36.87,"< 1e-30"
"26","GO:0006364","rRNA processing",237,70,7.6,"< 1e-30"
"27","GO:0016072","rRNA metabolic process",239,70,7.67,"< 1e-30"
"28","GO:0042273","ribosomal large subunit biogenesis",86,46,2.76,"< 1e-30"
"29","GO:0034660","ncRNA metabolic process",636,105,20.41,"< 1e-30"
"30","GO:0034470","ncRNA processing",451,89,14.47,"< 1e-30"
"31","GO:0044260","cellular macromolecule metabolic process",15485,729,496.88,"< 1e-30"
"32","GO:0009987","cellular process",26204,1042,840.83,"< 1e-30"
"33","GO:0034622","cellular protein-containing complex asse...",615,98,19.73,"< 1e-30"
"34","GO:0044238","primary metabolic process",22349,925,717.13,"< 1e-30"
"35","GO:0044237","cellular metabolic process",22093,916,708.92,"< 1e-30"
"36","GO:0065003","protein-containing complex assembly",711,100,22.81,"< 1e-30"
"37","GO:0043933","protein-containing complex subunit organ...",836,107,26.83,"< 1e-30"
"38","GO:0071704","organic substance metabolic process",23218,941,745.02,"< 1e-30"
"39","GO:0071840","cellular component organization or bioge...",3994,265,128.16,"< 1e-30"
"40","GO:0022607","cellular component assembly",924,104,29.65,"8.4e-29"
