"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0015979","photosynthesis",420,248,63.23,"< 1e-30"
"2","GO:0019684","photosynthesis, light reaction",218,123,32.82,"< 1e-30"
"3","GO:0009765","photosynthesis, light harvesting",97,77,14.6,"< 1e-30"
"4","GO:0033013","tetrapyrrole metabolic process",121,79,18.22,"< 1e-30"
"5","GO:0009657","plastid organization",223,113,33.57,"< 1e-30"
"6","GO:0033014","tetrapyrrole biosynthetic process",95,65,14.3,"< 1e-30"
"7","GO:0006778","porphyrin-containing compound metabolic ...",107,66,16.11,"3.9e-28"
"8","GO:0042440","pigment metabolic process",169,84,25.44,"3.1e-26"
"9","GO:0044281","small molecule metabolic process",2614,589,393.53,"5.1e-26"
"10","GO:0009658","chloroplast organization",184,88,27.7,"7.0e-26"
"11","GO:0006399","tRNA metabolic process",390,142,58.71,"1.6e-25"
"12","GO:1901566","organonitrogen compound biosynthetic pro...",3117,670,469.26,"7.4e-24"
"13","GO:0006520","cellular amino acid metabolic process",787,227,118.48,"1.5e-23"
"14","GO:0044283","small molecule biosynthetic process",1101,289,165.75,"1.2e-22"
"15","GO:0006779","porphyrin-containing compound biosynthet...",79,50,11.89,"2.2e-22"
"16","GO:0009058","biosynthetic process",8350,1538,1257.08,"8.5e-22"
"17","GO:0034660","ncRNA metabolic process",636,189,95.75,"2.2e-21"
"18","GO:0051188","cofactor biosynthetic process",468,149,70.46,"3.6e-20"
"19","GO:0046148","pigment biosynthetic process",137,66,20.63,"5.4e-20"
"20","GO:0019752","carboxylic acid metabolic process",1516,357,228.23,"4.4e-19"
"21","GO:0009451","RNA modification",320,112,48.18,"6.3e-19"
"22","GO:0006082","organic acid metabolic process",1564,364,235.46,"1.4e-18"
"23","GO:1901576","organic substance biosynthetic process",8134,1478,1224.56,"2.0e-18"
"24","GO:0044249","cellular biosynthetic process",7955,1449,1197.61,"2.0e-18"
"25","GO:0043436","oxoacid metabolic process",1560,362,234.86,"2.9e-18"
"26","GO:0015994","chlorophyll metabolic process",67,40,10.09,"6.6e-17"
"27","GO:0030091","protein repair",28,24,4.22,"1.9e-16"
"28","GO:0018298","protein-chromophore linkage",156,66,23.49,"2.2e-16"
"29","GO:0032259","methylation",1054,257,158.68,"6.3e-16"
"30","GO:0006091","generation of precursor metabolites and ...",922,228,138.81,"5.6e-15"
"31","GO:0010206","photosystem II repair",19,18,2.86,"2.5e-14"
"32","GO:0015995","chlorophyll biosynthetic process",43,28,6.47,"1.3e-13"
"33","GO:0008033","tRNA processing",212,75,31.92,"1.9e-13"
"34","GO:0043038","amino acid activation",167,63,25.14,"5.9e-13"
"35","GO:0043039","tRNA aminoacylation",167,63,25.14,"5.9e-13"
"36","GO:0016053","organic acid biosynthetic process",838,204,126.16,"7.6e-13"
"37","GO:0046394","carboxylic acid biosynthetic process",838,204,126.16,"7.6e-13"
"38","GO:0051186","cofactor metabolic process",885,213,133.24,"7.7e-13"
"39","GO:0008610","lipid biosynthetic process",763,189,114.87,"1.0e-12"
"40","GO:0071482","cellular response to light stimulus",73,37,10.99,"1.0e-12"
