"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:1902600","proton transmembrane transport",354,10,0.54,"1.5e-10"
"2","GO:0098662","inorganic cation transmembrane transport",638,11,0.97,"3.0e-09"
"3","GO:0015672","monovalent inorganic cation transport",487,10,0.74,"3.2e-09"
"4","GO:0098660","inorganic ion transmembrane transport",709,11,1.08,"8.8e-09"
"5","GO:0098655","cation transmembrane transport",745,11,1.13,"1.5e-08"
"6","GO:0034220","ion transmembrane transport",965,12,1.47,"2.0e-08"
"7","GO:0006812","cation transport",939,11,1.43,"1.5e-07"
"8","GO:0046112","nucleobase biosynthetic process",41,4,0.06,"4.7e-07"
"9","GO:0006811","ion transport",1388,12,2.11,"9.8e-07"
"10","GO:0009112","nucleobase metabolic process",51,4,0.08,"1.1e-06"
"11","GO:0006810","transport",4569,21,6.95,"1.7e-06"
"12","GO:0051234","establishment of localization",4656,21,7.09,"2.3e-06"
"13","GO:0051179","localization",4726,21,7.19,"2.9e-06"
"14","GO:0019419","sulfate reduction",5,2,0.01,"2.3e-05"
"15","GO:0006364","rRNA processing",237,5,0.36,"3.1e-05"
"16","GO:0016072","rRNA metabolic process",239,5,0.36,"3.2e-05"
"17","GO:0006168","adenine salvage",6,2,0.01,"3.4e-05"
"18","GO:0043096","purine nucleobase salvage",6,2,0.01,"3.4e-05"
"19","GO:0046083","adenine metabolic process",6,2,0.01,"3.4e-05"
"20","GO:0046084","adenine biosynthetic process",6,2,0.01,"3.4e-05"
"21","GO:0055086","nucleobase-containing small molecule met...",840,8,1.28,"3.9e-05"
"22","GO:0034470","ncRNA processing",451,6,0.69,"6.4e-05"
"23","GO:0055085","transmembrane transport",2476,13,3.77,"7.1e-05"
"24","GO:0022613","ribonucleoprotein complex biogenesis",518,6,0.79,"0.00014"
"25","GO:0042254","ribosome biogenesis",366,5,0.56,"0.00024"
"26","GO:0043101","purine-containing compound salvage",16,2,0.02,"0.00027"
"27","GO:0009113","purine nucleobase biosynthetic process",18,2,0.03,"0.00034"
"28","GO:0006221","pyrimidine nucleotide biosynthetic proce...",94,3,0.14,"0.00041"
"29","GO:0034660","ncRNA metabolic process",636,6,0.97,"0.00041"
"30","GO:0006207","'de novo' pyrimidine nucleobase biosynth...",20,2,0.03,"0.00042"
"31","GO:0044281","small molecule metabolic process",2614,12,3.98,"0.00049"
"32","GO:0016192","vesicle-mediated transport",661,6,1.01,"0.00050"
"33","GO:0006220","pyrimidine nucleotide metabolic process",102,3,0.16,"0.00052"
"34","GO:0019856","pyrimidine nucleobase biosynthetic proce...",23,2,0.04,"0.00056"
"35","GO:0006144","purine nucleobase metabolic process",24,2,0.04,"0.00061"
"36","GO:0006206","pyrimidine nucleobase metabolic process",27,2,0.04,"0.00078"
"37","GO:0072528","pyrimidine-containing compound biosynthe...",121,3,0.18,"0.00085"
"38","GO:0072527","pyrimidine-containing compound metabolic...",133,3,0.2,"0.00111"
"39","GO:0009116","nucleoside metabolic process",142,3,0.22,"0.00134"
"40","GO:1901657","glycosyl compound metabolic process",153,3,0.23,"0.00166"
