"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0000302","response to reactive oxygen species",125,12,1.3,"8.2e-09"
"2","GO:0042542","response to hydrogen peroxide",45,8,0.47,"1.9e-08"
"3","GO:0046677","response to antibiotic",125,9,1.3,"6.8e-06"
"4","GO:0042493","response to drug",216,11,2.24,"1.8e-05"
"5","GO:0065007","biological regulation",7018,105,72.92,"4.1e-05"
"6","GO:0009266","response to temperature stimulus",286,12,2.97,"5.2e-05"
"7","GO:0009408","response to heat",169,9,1.76,"7.5e-05"
"8","GO:0051259","protein complex oligomerization",69,6,0.72,"8.4e-05"
"9","GO:1901700","response to oxygen-containing compound",903,23,9.38,"8.7e-05"
"10","GO:0010035","response to inorganic substance",450,15,4.68,"8.7e-05"
"11","GO:0009739","response to gibberellin",55,5,0.57,"0.00027"
"12","GO:0050896","response to stimulus",4804,74,49.91,"0.00033"
"13","GO:0009628","response to abiotic stimulus",1163,25,12.08,"0.00057"
"14","GO:0030002","cellular anion homeostasis",4,2,0.04,"0.00064"
"15","GO:0030320","cellular monovalent inorganic anion home...",4,2,0.04,"0.00064"
"16","GO:0030643","cellular phosphate ion homeostasis",4,2,0.04,"0.00064"
"17","GO:0072501","cellular divalent inorganic anion homeos...",4,2,0.04,"0.00064"
"18","GO:0072502","cellular trivalent inorganic anion homeo...",4,2,0.04,"0.00064"
"19","GO:0050794","regulation of cellular process",5500,81,57.14,"0.00066"
"20","GO:0009651","response to salt stress",276,10,2.87,"0.00068"
"21","GO:0050789","regulation of biological process",6129,87,63.68,"0.00125"
"22","GO:0098771","inorganic ion homeostasis",115,6,1.19,"0.00132"
"23","GO:0006970","response to osmotic stress",311,10,3.23,"0.00167"
"24","GO:0006950","response to stress",2442,41,25.37,"0.00177"
"25","GO:0006979","response to oxidative stress",488,13,5.07,"0.00198"
"26","GO:0051171","regulation of nitrogen compound metaboli...",3572,55,37.11,"0.00212"
"27","GO:1902584","positive regulation of response to water...",7,2,0.07,"0.00218"
"28","GO:0032781","positive regulation of ATPase activity",27,3,0.28,"0.00271"
"29","GO:0043462","regulation of ATPase activity",28,3,0.29,"0.00301"
"30","GO:0080090","regulation of primary metabolic process",3633,55,37.75,"0.00304"
"31","GO:0019751","polyol metabolic process",58,4,0.6,"0.00313"
"32","GO:0042221","response to chemical",2060,35,21.4,"0.00315"
"33","GO:0050801","ion homeostasis",138,6,1.43,"0.00330"
"34","GO:0005977","glycogen metabolic process",29,3,0.3,"0.00333"
"35","GO:0006112","energy reserve metabolic process",29,3,0.3,"0.00333"
"36","GO:0016575","histone deacetylation",29,3,0.3,"0.00333"
"37","GO:2000112","regulation of cellular macromolecule bio...",3018,47,31.36,"0.00363"
"38","GO:0006873","cellular ion homeostasis",98,5,1.02,"0.00364"
"39","GO:0055062","phosphate ion homeostasis",9,2,0.09,"0.00369"
"40","GO:0072505","divalent inorganic anion homeostasis",9,2,0.09,"0.00369"
