"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0046034","ATP metabolic process",332,20,1.56,"1.6e-16"
"2","GO:0009205","purine ribonucleoside triphosphate metab...",360,20,1.69,"7.5e-16"
"3","GO:0009144","purine nucleoside triphosphate metabolic...",361,20,1.7,"7.9e-16"
"4","GO:0009199","ribonucleoside triphosphate metabolic pr...",377,20,1.77,"1.8e-15"
"5","GO:0009126","purine nucleoside monophosphate metaboli...",386,20,1.81,"2.8e-15"
"6","GO:0009167","purine ribonucleoside monophosphate meta...",386,20,1.81,"2.8e-15"
"7","GO:0022900","electron transport chain",506,22,2.38,"4.0e-15"
"8","GO:0009141","nucleoside triphosphate metabolic proces...",397,20,1.86,"4.8e-15"
"9","GO:0009161","ribonucleoside monophosphate metabolic p...",411,20,1.93,"9.3e-15"
"10","GO:0009123","nucleoside monophosphate metabolic proce...",475,21,2.23,"1.3e-14"
"11","GO:0042775","mitochondrial ATP synthesis coupled elec...",32,9,0.15,"2.3e-14"
"12","GO:0009150","purine ribonucleotide metabolic process",513,20,2.41,"5.7e-13"
"13","GO:0006163","purine nucleotide metabolic process",518,20,2.43,"6.8e-13"
"14","GO:0006120","mitochondrial electron transport, NADH t...",9,6,0.04,"8.2e-13"
"15","GO:1902600","proton transmembrane transport",354,17,1.66,"1.3e-12"
"16","GO:0009259","ribonucleotide metabolic process",541,20,2.54,"1.5e-12"
"17","GO:0072521","purine-containing compound metabolic pro...",566,20,2.66,"3.4e-12"
"18","GO:0015985","energy coupled proton transport, down el...",110,11,0.52,"5.1e-12"
"19","GO:0015986","ATP synthesis coupled proton transport",110,11,0.52,"5.1e-12"
"20","GO:0019693","ribose phosphate metabolic process",587,20,2.76,"6.6e-12"
"21","GO:0006091","generation of precursor metabolites and ...",922,24,4.33,"1.3e-11"
"22","GO:0022904","respiratory electron transport chain",91,10,0.43,"1.9e-11"
"23","GO:0009117","nucleotide metabolic process",725,21,3.4,"3.9e-11"
"24","GO:0006753","nucleoside phosphate metabolic process",736,21,3.46,"5.1e-11"
"25","GO:0042773","ATP synthesis coupled electron transport",71,9,0.33,"5.3e-11"
"26","GO:0006119","oxidative phosphorylation",74,9,0.35,"7.7e-11"
"27","GO:0015672","monovalent inorganic cation transport",487,17,2.29,"1.9e-10"
"28","GO:1901135","carbohydrate derivative metabolic proces...",1146,25,5.38,"2.0e-10"
"29","GO:0055086","nucleobase-containing small molecule met...",840,21,3.95,"5.6e-10"
"30","GO:0045333","cellular respiration",203,11,0.95,"3.8e-09"
"31","GO:0098662","inorganic cation transmembrane transport",638,17,3,"1.1e-08"
"32","GO:0015980","energy derivation by oxidation of organi...",232,11,1.09,"1.5e-08"
"33","GO:0006754","ATP biosynthetic process",246,11,1.16,"2.8e-08"
"34","GO:0098660","inorganic ion transmembrane transport",709,17,3.33,"4.9e-08"
"35","GO:0019637","organophosphate metabolic process",1195,22,5.61,"5.4e-08"
"36","GO:0055114","oxidation-reduction process",4781,49,22.45,"7.4e-08"
"37","GO:0009145","purine nucleoside triphosphate biosynthe...",272,11,1.28,"7.7e-08"
"38","GO:0009206","purine ribonucleoside triphosphate biosy...",272,11,1.28,"7.7e-08"
"39","GO:0098655","cation transmembrane transport",745,17,3.5,"1.0e-07"
"40","GO:0009201","ribonucleoside triphosphate biosynthetic...",289,11,1.36,"1.4e-07"
