"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:2000028","regulation of photoperiodism, flowering",57,4,0.26,"0.00014"
"2","GO:0006434","seryl-tRNA aminoacylation",7,2,0.03,"0.00044"
"3","GO:0048573","photoperiodism, flowering",81,4,0.37,"0.00055"
"4","GO:0009648","photoperiodism",87,4,0.4,"0.00073"
"5","GO:2000241","regulation of reproductive process",163,5,0.75,"0.00099"
"6","GO:0009423","chorismate biosynthetic process",13,2,0.06,"0.00160"
"7","GO:0010228","vegetative to reproductive phase transit...",116,4,0.54,"0.00210"
"8","GO:0031929","TOR signaling",15,2,0.07,"0.00214"
"9","GO:0019538","protein metabolic process",9267,60,42.79,"0.00220"
"10","GO:0006743","ubiquinone metabolic process",16,2,0.07,"0.00244"
"11","GO:0006744","ubiquinone biosynthetic process",16,2,0.07,"0.00244"
"12","GO:1901564","organonitrogen compound metabolic proces...",11095,69,51.23,"0.00253"
"13","GO:0048580","regulation of post-embryonic development",204,5,0.94,"0.00265"
"14","GO:0046417","chorismate metabolic process",17,2,0.08,"0.00276"
"15","GO:0044267","cellular protein metabolic process",7729,51,35.69,"0.00368"
"16","GO:1902275","regulation of chromatin organization",70,3,0.32,"0.00422"
"17","GO:0045814","negative regulation of gene expression, ...",72,3,0.33,"0.00457"
"18","GO:0000390","spliceosomal complex disassembly",1,1,0,"0.00462"
"19","GO:0032988","ribonucleoprotein complex disassembly",1,1,0,"0.00462"
"20","GO:1905269","positive regulation of chromatin organiz...",23,2,0.11,"0.00503"
"21","GO:2001252","positive regulation of chromosome organi...",27,2,0.12,"0.00690"
"22","GO:0031935","regulation of chromatin silencing",29,2,0.13,"0.00793"
"23","GO:0043414","macromolecule methylation",381,6,1.76,"0.00879"
"24","GO:2000026","regulation of multicellular organismal d...",274,5,1.27,"0.00910"
"25","GO:0042181","ketone biosynthetic process",34,2,0.16,"0.01080"
"26","GO:1901661","quinone metabolic process",34,2,0.16,"0.01080"
"27","GO:1901663","quinone biosynthetic process",34,2,0.16,"0.01080"
"28","GO:0046777","protein autophosphorylation",104,3,0.48,"0.01254"
"29","GO:0043650","dicarboxylic acid biosynthetic process",37,2,0.17,"0.01270"
"30","GO:0051239","regulation of multicellular organismal p...",300,5,1.39,"0.01306"
"31","GO:0006414","translational elongation",196,4,0.91,"0.01320"
"32","GO:0043412","macromolecule modification",6140,40,28.35,"0.01358"
"33","GO:0033044","regulation of chromosome organization",109,3,0.5,"0.01421"
"34","GO:0042180","cellular ketone metabolic process",109,3,0.5,"0.01421"
"35","GO:0060968","regulation of gene silencing",42,2,0.19,"0.01617"
"36","GO:0015822","ornithine transport",4,1,0.02,"0.01834"
"37","GO:1902475","L-alpha-amino acid transmembrane transpo...",4,1,0.02,"0.01834"
"38","GO:1903352","L-ornithine transmembrane transport",4,1,0.02,"0.01834"
"39","GO:1990575","mitochondrial L-ornithine transmembrane ...",4,1,0.02,"0.01834"
"40","GO:0009072","aromatic amino acid family metabolic pro...",121,3,0.56,"0.01874"
