"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0044283","small molecule biosynthetic process",1101,35,4.97,"7.4e-20"
"2","GO:0044281","small molecule metabolic process",2614,50,11.8,"7.1e-19"
"3","GO:0019752","carboxylic acid metabolic process",1516,36,6.84,"2.1e-16"
"4","GO:0043436","oxoacid metabolic process",1560,36,7.04,"5.2e-16"
"5","GO:0006082","organic acid metabolic process",1564,36,7.06,"5.6e-16"
"6","GO:0016053","organic acid biosynthetic process",838,27,3.78,"1.4e-15"
"7","GO:0046394","carboxylic acid biosynthetic process",838,27,3.78,"1.4e-15"
"8","GO:0072330","monocarboxylic acid biosynthetic process",444,18,2,"2.3e-12"
"9","GO:1901566","organonitrogen compound biosynthetic pro...",3117,43,14.07,"2.4e-11"
"10","GO:0032787","monocarboxylic acid metabolic process",599,18,2.7,"3.1e-10"
"11","GO:0051188","cofactor biosynthetic process",468,16,2.11,"4.9e-10"
"12","GO:0009108","coenzyme biosynthetic process",376,14,1.7,"2.1e-09"
"13","GO:0051186","cofactor metabolic process",885,20,3.99,"4.1e-09"
"14","GO:0006732","coenzyme metabolic process",483,15,2.18,"6.4e-09"
"15","GO:0006633","fatty acid biosynthetic process",227,11,1.02,"8.0e-09"
"16","GO:0006164","purine nucleotide biosynthetic process",386,13,1.74,"2.6e-08"
"17","GO:0009058","biosynthetic process",8350,69,37.68,"5.4e-08"
"18","GO:0006631","fatty acid metabolic process",275,11,1.24,"5.7e-08"
"19","GO:0072522","purine-containing compound biosynthetic ...",416,13,1.88,"6.3e-08"
"20","GO:0090407","organophosphate biosynthetic process",761,17,3.43,"7.5e-08"
"21","GO:1901576","organic substance biosynthetic process",8134,67,36.71,"1.1e-07"
"22","GO:0006163","purine nucleotide metabolic process",518,14,2.34,"1.1e-07"
"23","GO:0044249","cellular biosynthetic process",7955,65,35.9,"2.7e-07"
"24","GO:0072521","purine-containing compound metabolic pro...",566,14,2.55,"3.3e-07"
"25","GO:0019637","organophosphate metabolic process",1195,20,5.39,"5.3e-07"
"26","GO:0009165","nucleotide biosynthetic process",536,13,2.42,"1.1e-06"
"27","GO:1901293","nucleoside phosphate biosynthetic proces...",545,13,2.46,"1.3e-06"
"28","GO:1901605","alpha-amino acid metabolic process",463,12,2.09,"1.5e-06"
"29","GO:0009152","purine ribonucleotide biosynthetic proce...",382,11,1.72,"1.5e-06"
"30","GO:0055086","nucleobase-containing small molecule met...",840,16,3.79,"1.5e-06"
"31","GO:0009260","ribonucleotide biosynthetic process",410,11,1.85,"2.9e-06"
"32","GO:0046390","ribose phosphate biosynthetic process",412,11,1.86,"3.1e-06"
"33","GO:0006520","cellular amino acid metabolic process",787,15,3.55,"3.2e-06"
"34","GO:0009150","purine ribonucleotide metabolic process",513,12,2.32,"4.2e-06"
"35","GO:0009117","nucleotide metabolic process",725,14,3.27,"6.0e-06"
"36","GO:0017144","drug metabolic process",1283,19,5.79,"6.1e-06"
"37","GO:0006753","nucleoside phosphate metabolic process",736,14,3.32,"7.1e-06"
"38","GO:0009259","ribonucleotide metabolic process",541,12,2.44,"7.2e-06"
"39","GO:0044255","cellular lipid metabolic process",971,16,4.38,"9.4e-06"
"40","GO:0008610","lipid biosynthetic process",763,14,3.44,"1.1e-05"
