"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0007017","microtubule-based process",557,100,10.98,"< 1e-30"
"2","GO:0007049","cell cycle",563,99,11.09,"< 1e-30"
"3","GO:0006260","DNA replication",307,77,6.05,"< 1e-30"
"4","GO:0006996","organelle organization",2183,174,43.01,"< 1e-30"
"5","GO:0022402","cell cycle process",419,83,8.26,"< 1e-30"
"6","GO:0000278","mitotic cell cycle",242,64,4.77,"< 1e-30"
"7","GO:0051276","chromosome organization",931,108,18.34,"< 1e-30"
"8","GO:0007018","microtubule-based movement",169,54,3.33,"< 1e-30"
"9","GO:0006928","movement of cell or subcellular componen...",177,54,3.49,"< 1e-30"
"10","GO:1903047","mitotic cell cycle process",211,54,4.16,"< 1e-30"
"11","GO:0000280","nuclear division",201,51,3.96,"< 1e-30"
"12","GO:0006261","DNA-dependent DNA replication",137,44,2.7,"< 1e-30"
"13","GO:0051726","regulation of cell cycle",202,48,3.98,"< 1e-30"
"14","GO:0048285","organelle fission",238,51,4.69,"< 1e-30"
"15","GO:0016043","cellular component organization",3671,192,72.33,"< 1e-30"
"16","GO:0007059","chromosome segregation",169,42,3.33,"< 1e-30"
"17","GO:0071840","cellular component organization or bioge...",3994,193,78.7,"< 1e-30"
"18","GO:0006270","DNA replication initiation",45,24,0.89,"2.1e-29"
"19","GO:0010564","regulation of cell cycle process",98,31,1.93,"6.7e-29"
"20","GO:0007346","regulation of mitotic cell cycle",74,28,1.46,"9.0e-29"
"21","GO:0051301","cell division",257,44,5.06,"4.3e-28"
"22","GO:0071103","DNA conformation change",367,50,7.23,"5.4e-27"
"23","GO:0000075","cell cycle checkpoint",43,22,0.85,"1.6e-26"
"24","GO:0000819","sister chromatid segregation",107,30,2.11,"3.0e-26"
"25","GO:0098813","nuclear chromosome segregation",151,33,2.98,"6.3e-25"
"26","GO:0140014","mitotic nuclear division",98,28,1.93,"7.6e-25"
"27","GO:0033043","regulation of organelle organization",238,38,4.69,"2.6e-23"
"28","GO:0000226","microtubule cytoskeleton organization",327,43,6.44,"9.3e-23"
"29","GO:0045786","negative regulation of cell cycle",63,22,1.24,"5.5e-22"
"30","GO:0000070","mitotic sister chromatid segregation",81,24,1.6,"6.5e-22"
"31","GO:0051783","regulation of nuclear division",41,18,0.81,"2.2e-20"
"32","GO:0006323","DNA packaging",94,24,1.85,"3.3e-20"
"33","GO:0051128","regulation of cellular component organiz...",318,38,6.27,"8.3e-19"
"34","GO:0007010","cytoskeleton organization",522,48,10.29,"1.3e-18"
"35","GO:0006974","cellular response to DNA damage stimulus",686,55,13.52,"1.9e-18"
"36","GO:2001251","negative regulation of chromosome organi...",33,15,0.65,"1.7e-17"
"37","GO:1901987","regulation of cell cycle phase transitio...",28,14,0.55,"3.7e-17"
"38","GO:1901990","regulation of mitotic cell cycle phase t...",28,14,0.55,"3.7e-17"
"39","GO:0044770","cell cycle phase transition",43,16,0.85,"7.1e-17"
"40","GO:0044772","mitotic cell cycle phase transition",43,16,0.85,"7.1e-17"
