"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0051716","cellular response to stimulus",3004,35,16.95,"3.3e-05"
"2","GO:0007165","signal transduction",1598,23,9.01,"4.0e-05"
"3","GO:0023052","signaling",1621,23,9.14,"5.0e-05"
"4","GO:0006497","protein lipidation",71,5,0.4,"5.2e-05"
"5","GO:0042157","lipoprotein metabolic process",71,5,0.4,"5.2e-05"
"6","GO:0042158","lipoprotein biosynthetic process",71,5,0.4,"5.2e-05"
"7","GO:0006289","nucleotide-excision repair",80,5,0.45,"9.3e-05"
"8","GO:0006281","DNA repair",643,12,3.63,"0.00032"
"9","GO:0090481","pyrimidine nucleotide-sugar transmembran...",25,3,0.14,"0.00037"
"10","GO:0006505","GPI anchor metabolic process",60,4,0.34,"0.00037"
"11","GO:0006506","GPI anchor biosynthetic process",60,4,0.34,"0.00037"
"12","GO:0007154","cell communication",1865,23,10.52,"0.00038"
"13","GO:0015780","nucleotide-sugar transmembrane transport",27,3,0.15,"0.00047"
"14","GO:0006974","cellular response to DNA damage stimulus",686,12,3.87,"0.00057"
"15","GO:0006661","phosphatidylinositol biosynthetic proces...",73,4,0.41,"0.00079"
"16","GO:0009247","glycolipid biosynthetic process",82,4,0.46,"0.00122"
"17","GO:0006664","glycolipid metabolic process",91,4,0.51,"0.00179"
"18","GO:1903509","liposaccharide metabolic process",91,4,0.51,"0.00179"
"19","GO:0046467","membrane lipid biosynthetic process",101,4,0.57,"0.00262"
"20","GO:0008283","cell proliferation",56,3,0.32,"0.00394"
"21","GO:0010225","response to UV-C",17,2,0.1,"0.00407"
"22","GO:0050896","response to stimulus",4804,41,27.1,"0.00434"
"23","GO:0046474","glycerophospholipid biosynthetic process",119,4,0.67,"0.00472"
"24","GO:0070291","N-acylethanolamine metabolic process",1,1,0.01,"0.00564"
"25","GO:0071494","cellular response to UV-C",1,1,0.01,"0.00564"
"26","GO:0080163","regulation of protein serine/threonine p...",21,2,0.12,"0.00620"
"27","GO:0006643","membrane lipid metabolic process",131,4,0.74,"0.00661"
"28","GO:0032875","regulation of DNA endoreduplication",22,2,0.12,"0.00679"
"29","GO:0009411","response to UV",72,3,0.41,"0.00793"
"30","GO:0009787","regulation of abscisic acid-activated si...",74,3,0.42,"0.00855"
"31","GO:1901419","regulation of response to alcohol",74,3,0.42,"0.00855"
"32","GO:1905957","regulation of cellular response to alcoh...",74,3,0.42,"0.00855"
"33","GO:0033554","cellular response to stress",969,12,5.47,"0.00936"
"34","GO:0042023","DNA endoreduplication",26,2,0.15,"0.00942"
"35","GO:0050794","regulation of cellular process",5500,44,31.03,"0.00979"
"36","GO:0006511","ubiquitin-dependent protein catabolic pr...",421,7,2.37,"0.01031"
"37","GO:0097502","mannosylation",28,2,0.16,"0.01087"
"38","GO:0034497","protein localization to phagophore assem...",2,1,0.01,"0.01125"
"39","GO:0042439","ethanolamine-containing compound metabol...",2,1,0.01,"0.01125"
"40","GO:0019941","modification-dependent protein catabolic...",429,7,2.42,"0.01134"
