"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0016070","RNA metabolic process",5068,128,64.49,"8.4e-15"
"2","GO:0010467","gene expression",6173,141,78.55,"6.4e-13"
"3","GO:0010629","negative regulation of gene expression",435,28,5.54,"3.4e-12"
"4","GO:0016071","mRNA metabolic process",542,31,6.9,"5.0e-12"
"5","GO:0006396","RNA processing",1149,45,14.62,"3.6e-11"
"6","GO:0006397","mRNA processing",437,25,5.56,"5.9e-10"
"7","GO:0009892","negative regulation of metabolic process",658,31,8.37,"6.1e-10"
"8","GO:0010605","negative regulation of macromolecule met...",612,29,7.79,"1.9e-09"
"9","GO:0019222","regulation of metabolic process",4004,93,50.95,"7.7e-09"
"10","GO:0048519","negative regulation of biological proces...",873,34,11.11,"1.1e-08"
"11","GO:1902679","negative regulation of RNA biosynthetic ...",165,14,2.1,"3.0e-08"
"12","GO:1903507","negative regulation of nucleic acid-temp...",165,14,2.1,"3.0e-08"
"13","GO:0010558","negative regulation of macromolecule bio...",196,15,2.49,"3.9e-08"
"14","GO:0010468","regulation of gene expression",3306,79,42.07,"4.0e-08"
"15","GO:0051253","negative regulation of RNA metabolic pro...",169,14,2.15,"4.1e-08"
"16","GO:0045892","negative regulation of transcription, DN...",145,13,1.85,"4.9e-08"
"17","GO:2000113","negative regulation of cellular macromol...",176,14,2.24,"6.9e-08"
"18","GO:0006325","chromatin organization",487,23,6.2,"9.9e-08"
"19","GO:0031327","negative regulation of cellular biosynth...",215,15,2.74,"1.3e-07"
"20","GO:0045934","negative regulation of nucleobase-contai...",186,14,2.37,"1.4e-07"
"21","GO:0009890","negative regulation of biosynthetic proc...",220,15,2.8,"1.8e-07"
"22","GO:0060255","regulation of macromolecule metabolic pr...",3847,85,48.95,"3.4e-07"
"23","GO:0050789","regulation of biological process",6129,119,77.99,"9.3e-07"
"24","GO:0000398","mRNA splicing, via spliceosome",218,14,2.77,"9.4e-07"
"25","GO:0044265","cellular macromolecule catabolic process",630,24,8.02,"2.4e-06"
"26","GO:0000375","RNA splicing, via transesterification re...",240,14,3.05,"2.9e-06"
"27","GO:0000377","RNA splicing, via transesterification re...",240,14,3.05,"2.9e-06"
"28","GO:0065007","biological regulation",7018,130,89.3,"3.0e-06"
"29","GO:0031323","regulation of cellular metabolic process",3670,78,46.7,"4.8e-06"
"30","GO:0008380","RNA splicing",325,16,4.14,"5.2e-06"
"31","GO:0016236","macroautophagy",38,6,0.48,"8.0e-06"
"32","GO:0006351","transcription, DNA-templated",3199,69,40.71,"1.1e-05"
"33","GO:0097659","nucleic acid-templated transcription",3270,70,41.61,"1.3e-05"
"34","GO:1905037","autophagosome organization",25,5,0.32,"1.4e-05"
"35","GO:0010286","heat acclimation",13,4,0.17,"1.7e-05"
"36","GO:0032774","RNA biosynthetic process",3368,71,42.86,"1.8e-05"
"37","GO:0010556","regulation of macromolecule biosynthetic...",3063,66,38.98,"1.9e-05"
"38","GO:0009628","response to abiotic stimulus",1163,33,14.8,"1.9e-05"
"39","GO:2000112","regulation of cellular macromolecule bio...",3018,65,38.4,"2.2e-05"
"40","GO:0016458","gene silencing",218,12,2.77,"2.6e-05"
