"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0006396","RNA processing",1149,129,34.4,"< 1e-30"
"2","GO:0016070","RNA metabolic process",5068,299,151.72,"< 1e-30"
"3","GO:0010467","gene expression",6173,334,184.8,"2.1e-29"
"4","GO:0016071","mRNA metabolic process",542,74,16.23,"1.0e-27"
"5","GO:0006397","mRNA processing",437,62,13.08,"2.7e-24"
"6","GO:0006352","DNA-templated transcription, initiation",125,23,3.74,"3.0e-12"
"7","GO:0006281","DNA repair",643,55,19.25,"4.6e-12"
"8","GO:0090304","nucleic acid metabolic process",9322,379,279.07,"8.5e-12"
"9","GO:0006974","cellular response to DNA damage stimulus",686,56,20.54,"1.8e-11"
"10","GO:0008380","RNA splicing",325,36,9.73,"2.0e-11"
"11","GO:0033554","cellular response to stress",969,69,29.01,"4.1e-11"
"12","GO:0006401","RNA catabolic process",136,22,4.07,"1.2e-10"
"13","GO:0051276","chromosome organization",931,66,27.87,"1.3e-10"
"14","GO:0006139","nucleobase-containing compound metabolic...",10147,399,303.77,"1.8e-10"
"15","GO:0046483","heterocycle metabolic process",10552,411,315.89,"2.9e-10"
"16","GO:1901360","organic cyclic compound metabolic proces...",10778,417,322.66,"4.8e-10"
"17","GO:0032259","methylation",1054,70,31.55,"6.1e-10"
"18","GO:0018205","peptidyl-lysine modification",279,30,8.35,"1.9e-09"
"19","GO:0043170","macromolecule metabolic process",18767,660,561.82,"2.0e-09"
"20","GO:0006725","cellular aromatic compound metabolic pro...",10679,409,319.69,"3.2e-09"
"21","GO:0006807","nitrogen compound metabolic process",19831,690,593.67,"3.5e-09"
"22","GO:0006325","chromatin organization",487,41,14.58,"3.8e-09"
"23","GO:0034641","cellular nitrogen compound metabolic pro...",11920,448,356.84,"4.0e-09"
"24","GO:0044265","cellular macromolecule catabolic process",630,48,18.86,"4.8e-09"
"25","GO:0006406","mRNA export from nucleus",36,11,1.08,"5.0e-09"
"26","GO:0071427","mRNA-containing ribonucleoprotein comple...",36,11,1.08,"5.0e-09"
"27","GO:0010629","negative regulation of gene expression",435,38,13.02,"5.2e-09"
"28","GO:0043414","macromolecule methylation",381,35,11.41,"5.8e-09"
"29","GO:0018193","peptidyl-amino acid modification",649,48,19.43,"1.2e-08"
"30","GO:0010605","negative regulation of macromolecule met...",612,46,18.32,"1.5e-08"
"31","GO:0006479","protein methylation",207,24,6.2,"1.8e-08"
"32","GO:0008213","protein alkylation",207,24,6.2,"1.8e-08"
"33","GO:0060255","regulation of macromolecule metabolic pr...",3847,173,115.17,"3.5e-08"
"34","GO:0090305","nucleic acid phosphodiester bond hydroly...",547,42,16.38,"3.5e-08"
"35","GO:0051028","mRNA transport",63,13,1.89,"3.8e-08"
"36","GO:0006366","transcription by RNA polymerase II",432,36,12.93,"4.4e-08"
"37","GO:0010468","regulation of gene expression",3306,152,98.97,"7.0e-08"
"38","GO:0019222","regulation of metabolic process",4004,177,119.87,"7.6e-08"
"39","GO:0051168","nuclear export",67,13,2.01,"8.2e-08"
"40","GO:0034660","ncRNA metabolic process",636,45,19.04,"1.2e-07"
