"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0010467","gene expression",6173,113,41.79,"8.8e-26"
"2","GO:0006396","RNA processing",1149,45,7.78,"1.6e-21"
"3","GO:0016070","RNA metabolic process",5068,93,34.31,"1.6e-20"
"4","GO:0022613","ribonucleoprotein complex biogenesis",518,30,3.51,"3.6e-19"
"5","GO:0016071","mRNA metabolic process",542,28,3.67,"1.1e-16"
"6","GO:0006397","mRNA processing",437,24,2.96,"4.9e-15"
"7","GO:0000375","RNA splicing, via transesterification re...",240,18,1.62,"7.3e-14"
"8","GO:0000377","RNA splicing, via transesterification re...",240,18,1.62,"7.3e-14"
"9","GO:0034641","cellular nitrogen compound metabolic pro...",11920,138,80.69,"1.0e-13"
"10","GO:0000398","mRNA splicing, via spliceosome",218,17,1.48,"1.9e-13"
"11","GO:0044085","cellular component biogenesis",1383,37,9.36,"1.1e-12"
"12","GO:0008380","RNA splicing",325,19,2.2,"1.3e-12"
"13","GO:0042254","ribosome biogenesis",366,19,2.48,"1.0e-11"
"14","GO:0006364","rRNA processing",237,14,1.6,"1.1e-09"
"15","GO:0016072","rRNA metabolic process",239,14,1.62,"1.2e-09"
"16","GO:0090304","nucleic acid metabolic process",9322,106,63.1,"2.8e-09"
"17","GO:0022618","ribonucleoprotein complex assembly",217,13,1.47,"3.6e-09"
"18","GO:0071826","ribonucleoprotein complex subunit organi...",218,13,1.48,"3.8e-09"
"19","GO:0006139","nucleobase-containing compound metabolic...",10147,112,68.69,"4.0e-09"
"20","GO:0071840","cellular component organization or bioge...",3994,59,27.04,"6.3e-09"
"21","GO:0034470","ncRNA processing",451,17,3.05,"1.6e-08"
"22","GO:0046483","heterocycle metabolic process",10552,113,71.43,"2.0e-08"
"23","GO:0006725","cellular aromatic compound metabolic pro...",10679,113,72.29,"4.0e-08"
"24","GO:1901360","organic cyclic compound metabolic proces...",10778,113,72.96,"6.8e-08"
"25","GO:0044271","cellular nitrogen compound biosynthetic ...",6040,74,40.89,"1.3e-07"
"26","GO:0043170","macromolecule metabolic process",18767,168,127.04,"1.8e-07"
"27","GO:0034622","cellular protein-containing complex asse...",615,18,4.16,"2.6e-07"
"28","GO:0006325","chromatin organization",487,16,3.3,"2.7e-07"
"29","GO:0006413","translational initiation",342,13,2.32,"7.2e-07"
"30","GO:0009059","macromolecule biosynthetic process",5951,70,40.28,"1.5e-06"
"31","GO:0034660","ncRNA metabolic process",636,17,4.31,"1.9e-06"
"32","GO:0065003","protein-containing complex assembly",711,18,4.81,"2.1e-06"
"33","GO:0006807","nitrogen compound metabolic process",19831,171,134.24,"2.3e-06"
"34","GO:0001732","formation of cytoplasmic translation ini...",61,6,0.41,"3.7e-06"
"35","GO:0002183","cytoplasmic translational initiation",64,6,0.43,"4.9e-06"
"36","GO:0002181","cytoplasmic translation",100,7,0.68,"5.6e-06"
"37","GO:0051276","chromosome organization",931,20,6.3,"6.6e-06"
"38","GO:0034645","cellular macromolecule biosynthetic proc...",5739,66,38.85,"7.2e-06"
"39","GO:0006518","peptide metabolic process",1636,28,11.07,"7.3e-06"
"40","GO:0006412","translation",1578,27,10.68,"1.1e-05"
