"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0042542","response to hydrogen peroxide",45,10,0.04,"1.6e-22"
"2","GO:0051259","protein complex oligomerization",69,10,0.06,"1.7e-20"
"3","GO:0006457","protein folding",358,13,0.31,"1.7e-18"
"4","GO:0000302","response to reactive oxygen species",125,10,0.11,"8.7e-18"
"5","GO:0046677","response to antibiotic",125,10,0.11,"8.7e-18"
"6","GO:0009408","response to heat",169,10,0.15,"1.9e-16"
"7","GO:0042493","response to drug",216,10,0.19,"2.3e-15"
"8","GO:0009651","response to salt stress",276,10,0.24,"2.7e-14"
"9","GO:0009266","response to temperature stimulus",286,10,0.25,"3.8e-14"
"10","GO:0006970","response to osmotic stress",311,10,0.27,"8.9e-14"
"11","GO:0009644","response to high light intensity",31,6,0.03,"1.9e-13"
"12","GO:0010035","response to inorganic substance",450,10,0.39,"3.5e-12"
"13","GO:0006979","response to oxidative stress",488,10,0.42,"7.7e-12"
"14","GO:0009636","response to toxic substance",489,10,0.42,"7.8e-12"
"15","GO:0065003","protein-containing complex assembly",711,11,0.62,"1.2e-11"
"16","GO:0009642","response to light intensity",65,6,0.06,"2.1e-11"
"17","GO:0043933","protein-containing complex subunit organ...",836,11,0.72,"6.6e-11"
"18","GO:0022607","cellular component assembly",924,11,0.8,"1.9e-10"
"19","GO:1901700","response to oxygen-containing compound",903,10,0.78,"3.0e-09"
"20","GO:0044085","cellular component biogenesis",1383,11,1.2,"1.3e-08"
"21","GO:0009628","response to abiotic stimulus",1163,10,1.01,"3.3e-08"
"22","GO:0009416","response to light stimulus",431,6,0.37,"1.7e-06"
"23","GO:0009314","response to radiation",448,6,0.39,"2.2e-06"
"24","GO:0006950","response to stress",2442,11,2.11,"3.8e-06"
"25","GO:0042221","response to chemical",2060,10,1.78,"6.1e-06"
"26","GO:0016043","cellular component organization",3671,11,3.18,"0.00017"
"27","GO:0071840","cellular component organization or bioge...",3994,11,3.46,"0.00036"
"28","GO:0050896","response to stimulus",4804,11,4.16,"0.00170"
"29","GO:0001731","formation of translation preinitiation c...",3,1,0,"0.00260"
"30","GO:0019538","protein metabolic process",9267,14,8.02,"0.01678"
"31","GO:0002183","cytoplasmic translational initiation",64,1,0.06,"0.05397"
"32","GO:1901564","organonitrogen compound metabolic proces...",11095,14,9.61,"0.07107"
"33","GO:0002181","cytoplasmic translation",100,1,0.09,"0.08308"
"34","GO:0006468","protein phosphorylation",2846,5,2.46,"0.09606"
"35","GO:0006508","proteolysis",2119,4,1.83,"0.10867"
"36","GO:0022618","ribonucleoprotein complex assembly",217,1,0.19,"0.17180"
"37","GO:0000398","mRNA splicing, via spliceosome",218,1,0.19,"0.17252"
"38","GO:0071826","ribonucleoprotein complex subunit organi...",218,1,0.19,"0.17252"
"39","GO:0000375","RNA splicing, via transesterification re...",240,1,0.21,"0.18823"
"40","GO:0000377","RNA splicing, via transesterification re...",240,1,0.21,"0.18823"
