"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0007165","signal transduction",1598,7,1.26,"0.00020"
"2","GO:0023052","signaling",1621,7,1.28,"0.00021"
"3","GO:0007154","cell communication",1865,7,1.47,"0.00050"
"4","GO:0009663","plasmodesma organization",1,1,0,"0.00079"
"5","GO:0048700","acquisition of desiccation tolerance in ...",1,1,0,"0.00079"
"6","GO:0071156","regulation of cell cycle arrest",1,1,0,"0.00079"
"7","GO:0071158","positive regulation of cell cycle arrest",1,1,0,"0.00079"
"8","GO:0072718","response to cisplatin",1,1,0,"0.00079"
"9","GO:0097439","acquisition of desiccation tolerance",1,1,0,"0.00079"
"10","GO:0097327","response to antineoplastic agent",2,1,0,"0.00157"
"11","GO:0051716","cellular response to stimulus",3004,8,2.36,"0.00179"
"12","GO:0010044","response to aluminum ion",3,1,0,"0.00236"
"13","GO:0034330","cell junction organization",3,1,0,"0.00236"
"14","GO:0045216","cell-cell junction organization",3,1,0,"0.00236"
"15","GO:0006428","isoleucyl-tRNA aminoacylation",5,1,0,"0.00393"
"16","GO:0065007","biological regulation",7018,12,5.52,"0.00478"
"17","GO:0010497","plasmodesmata-mediated intercellular tra...",7,1,0.01,"0.00550"
"18","GO:0006102","isocitrate metabolic process",8,1,0.01,"0.00628"
"19","GO:0050794","regulation of cellular process",5500,10,4.33,"0.00734"
"20","GO:0032968","positive regulation of transcription elo...",10,1,0.01,"0.00784"
"21","GO:0007050","cell cycle arrest",11,1,0.01,"0.00863"
"22","GO:0010496","intercellular transport",11,1,0.01,"0.00863"
"23","GO:0034067","protein localization to Golgi apparatus",11,1,0.01,"0.00863"
"24","GO:0045053","protein retention in Golgi apparatus",11,1,0.01,"0.00863"
"25","GO:0006097","glyoxylate cycle",12,1,0.01,"0.00941"
"26","GO:0035670","plant-type ovary development",12,1,0.01,"0.00941"
"27","GO:0046487","glyoxylate metabolic process",12,1,0.01,"0.00941"
"28","GO:0048481","plant ovule development",12,1,0.01,"0.00941"
"29","GO:0048440","carpel development",13,1,0.01,"0.01019"
"30","GO:0090068","positive regulation of cell cycle proces...",13,1,0.01,"0.01019"
"31","GO:0034243","regulation of transcription elongation f...",14,1,0.01,"0.01097"
"32","GO:0006282","regulation of DNA repair",17,1,0.01,"0.01330"
"33","GO:0032786","positive regulation of DNA-templated tra...",18,1,0.01,"0.01408"
"34","GO:0048467","gynoecium development",18,1,0.01,"0.01408"
"35","GO:0050789","regulation of biological process",6129,10,4.82,"0.01550"
"36","GO:0006003","fructose 2,6-bisphosphate metabolic proc...",21,1,0.02,"0.01640"
"37","GO:2001020","regulation of response to DNA damage sti...",21,1,0.02,"0.01640"
"38","GO:0010162","seed dormancy process",23,1,0.02,"0.01795"
"39","GO:0022611","dormancy process",23,1,0.02,"0.01795"
"40","GO:0031570","DNA integrity checkpoint",25,1,0.02,"0.01950"
