"","GO.ID","Term","Annotated","Significant","Expected","classic"
"1","GO:0000056","ribosomal small subunit export from nucl...",7,1,0,"0.0042"
"2","GO:0000055","ribosomal large subunit export from nucl...",14,1,0.01,"0.0084"
"3","GO:0006886","intracellular protein transport",722,3,0.44,"0.0090"
"4","GO:0000054","ribosomal subunit export from nucleus",16,1,0.01,"0.0096"
"5","GO:0033750","ribosome localization",16,1,0.01,"0.0096"
"6","GO:0071428","rRNA-containing ribonucleoprotein comple...",16,1,0.01,"0.0096"
"7","GO:0071555","cell wall organization",778,3,0.47,"0.0111"
"8","GO:0045229","external encapsulating structure organiz...",786,3,0.47,"0.0114"
"9","GO:0034613","cellular protein localization",815,3,0.49,"0.0125"
"10","GO:0070727","cellular macromolecule localization",815,3,0.49,"0.0125"
"11","GO:0046907","intracellular transport",923,3,0.56,"0.0175"
"12","GO:0071554","cell wall organization or biogenesis",965,3,0.58,"0.0196"
"13","GO:0051649","establishment of localization in cell",984,3,0.59,"0.0207"
"14","GO:0006623","protein targeting to vacuole",39,1,0.02,"0.0233"
"15","GO:0072665","protein localization to vacuole",41,1,0.02,"0.0245"
"16","GO:0072666","establishment of protein localization to...",41,1,0.02,"0.0245"
"17","GO:0015031","protein transport",1076,3,0.65,"0.0261"
"18","GO:0071840","cellular component organization or bioge...",3994,6,2.41,"0.0278"
"19","GO:0051641","cellular localization",1103,3,0.67,"0.0278"
"20","GO:0045184","establishment of protein localization",1109,3,0.67,"0.0282"
"21","GO:0015833","peptide transport",1134,3,0.68,"0.0299"
"22","GO:0042886","amide transport",1145,3,0.69,"0.0306"
"23","GO:0071166","ribonucleoprotein complex localization",54,1,0.03,"0.0321"
"24","GO:0071426","ribonucleoprotein complex export from nu...",54,1,0.03,"0.0321"
"25","GO:0008104","protein localization",1172,3,0.71,"0.0325"
"26","GO:0006611","protein export from nucleus",57,1,0.03,"0.0338"
"27","GO:0006405","RNA export from nucleus",59,1,0.04,"0.0350"
"28","GO:0006888","ER to Golgi vesicle-mediated transport",63,1,0.04,"0.0373"
"29","GO:0051168","nuclear export",67,1,0.04,"0.0397"
"30","GO:0031503","protein-containing complex localization",68,1,0.04,"0.0403"
"31","GO:0046271","phenylpropanoid catabolic process",69,1,0.04,"0.0408"
"32","GO:0046274","lignin catabolic process",69,1,0.04,"0.0408"
"33","GO:0071705","nitrogen compound transport",1367,3,0.82,"0.0478"
"34","GO:0009808","lignin metabolic process",86,1,0.05,"0.0506"
"35","GO:0006403","RNA localization",89,1,0.05,"0.0524"
"36","GO:0050657","nucleic acid transport",89,1,0.05,"0.0524"
"37","GO:0050658","RNA transport",89,1,0.05,"0.0524"
"38","GO:0051236","establishment of RNA localization",89,1,0.05,"0.0524"
"39","GO:0033036","macromolecule localization",1430,3,0.86,"0.0534"
"40","GO:0051656","establishment of organelle localization",96,1,0.06,"0.0564"
