"","total","S subgenome","T subgenome","ambiguous"
"1",636,285,284,67
"2",12959,5789,6035,1135
"3",9087,4037,4092,958
"4",3402,1569,1564,269
"5",2344,1069,1058,217
"6",2217,900,929,388
"7",1948,896,825,227
"8",1755,754,838,163
"9",1273,597,555,121
"10",1139,491,531,117
"11",789,347,357,85
"12",694,303,325,66
"13",483,250,180,53
"14",460,192,217,51
"15",423,173,154,96
"16",358,183,140,35
"17",290,135,116,39
"18",272,115,131,26
"19",260,128,116,16
"20",236,102,111,23
"21",219,78,95,46
"22",154,69,70,15
"23",128,55,58,15
"24",104,44,54,6
"25",85,38,47,0
"26",57,19,34,4
"27",53,4,42,7
"28",50,24,24,2
"29",50,17,30,3
"30",48,19,24,5
"31",43,11,26,6
