,HTH_psq(3),IBD(1),RHD_DNA_bind(1),MBD(31),NAM(205),LAG1-DNAbind(2),TCR(14),zf-CCCH(145),GTF2I(1),MH1(2),CSD(15),HSF_DNA-bind(52),zf-C2H2(152),RWP-RK(36),CG-1(15),CENP-B_N(9),CBFB_NFYA(27),Sigma70_r2(20),PLATZ(31),zf-C4(1),PAX(1),HMG_box(52),P53(1),GAGA_bind(16),MATalpha_HMGbox(1),Forkhead(2),MADF_DNA_bdg(66),bZIP_1(218),zf-BED(282),AT_hook(46),SAND(8),SRF-TF(102),zf-Dof(69),mTERF(76),FLYWCH(30),TBP(3),EIN3(14),C_LFY_FLO(4),ARID(19),AP2(286),zf-NF-X1(4),FAR1(118),Whirly(9),GCM(2),WRKY(160),BES1_N(22),Myb_DNA-binding(619),B3(174),zf-CXXC(1),SBP(47),RRM_1(532),S1FA(8),IRF(3),Vhr1(2),Homeodomain(193),GCR1_C(6),AFT(2),TF_AP-2(3),TCP(51),GRAS(82),DUF573(44),TEA(36),Runt(2),HPD(1),BAF1_ABF1(2),zf-C2HC(1),LOB(75),Zn_clus(7),Ets(2),Pou(15),WRC(33),GATA(62),SART-1(4),HLH(304),E2F_TDP(20),KilA-N(3),DM(7),Copper-fist(5),NDT80_PhoG(1)
1,0,0,0,0,1,0,0,5,0,1,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,1,4,3,0,0,2,1,0,1,0,0,0,0,6,0,7,0,0,3,0,10,5,0,1,10,0,0,0,9,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,1,2,0,5,1,0,0,0,0
2,2,1,0,7,68,0,4,32,0,0,1,18,41,9,5,2,9,1,6,0,1,6,0,4,0,0,23,64,6,13,3,10,24,3,8,0,5,1,2,92,1,8,0,0,57,4,175,24,0,3,58,2,1,1,45,0,0,0,2,28,12,4,0,0,0,0,22,1,0,3,2,9,0,88,5,0,0,0,0
3,0,0,0,5,10,0,1,18,0,0,2,3,28,4,0,3,2,16,4,0,0,14,0,1,0,0,6,14,13,9,0,8,12,34,2,2,1,0,5,20,0,9,2,0,5,3,98,31,1,18,88,0,0,0,45,1,0,0,18,4,6,9,1,0,2,0,0,1,0,1,7,11,0,50,5,2,0,1,0
4,0,0,0,4,3,0,3,18,0,0,0,2,11,1,0,0,0,0,1,0,0,2,0,4,0,0,4,14,6,3,0,4,8,24,0,0,0,0,1,17,0,4,1,0,5,2,31,15,0,9,33,4,0,0,11,3,0,0,9,5,2,7,0,0,0,0,2,0,0,2,7,16,0,34,0,0,0,0,0
5,0,0,0,1,0,0,2,7,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,1,0,0,0,0,0,0,0,2,1,1,7,0,0,1,0,20,5,0,2,20,0,0,0,5,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,4,2,0,0,1,0,0,0,0
6,0,0,0,1,13,0,1,8,1,1,0,4,5,7,2,2,4,0,5,0,0,1,0,1,0,0,3,18,2,1,0,4,1,1,4,0,2,0,0,4,0,5,0,0,33,0,22,8,0,3,17,0,0,0,10,0,0,2,1,6,0,2,0,0,0,0,2,1,0,0,0,6,0,8,0,0,0,0,0
7,0,0,0,1,2,0,2,4,0,0,0,1,3,0,0,0,0,0,0,0,0,6,0,0,0,0,3,11,3,12,0,0,3,3,0,0,0,1,0,9,0,2,0,0,2,4,7,7,0,1,10,0,0,0,4,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,2,1,0,5,2,0,2,0,0
8,0,0,0,1,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,41,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0
9,0,0,0,0,8,0,0,2,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0,0,2,1,10,1,0,0,6,0,1,0,3,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,1,0,3,1,0,0,0,0
10,0,0,0,0,1,0,0,7,0,0,3,2,2,1,0,0,3,0,0,0,0,4,0,0,0,0,1,13,5,0,0,4,3,1,1,0,0,0,1,3,1,3,0,0,1,0,19,6,0,0,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,0,0,0,0,0
11,0,0,0,0,6,0,0,4,0,0,0,1,14,0,0,0,0,0,1,0,0,2,0,1,0,0,4,9,5,0,0,1,0,0,4,0,1,0,1,55,0,1,1,0,8,1,24,5,0,0,16,1,0,1,1,0,0,0,2,8,4,2,0,0,0,0,1,0,0,1,1,4,1,6,1,0,0,0,0
12,0,0,0,1,1,0,0,5,0,0,3,2,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1,10,7,0,0,3,2,2,0,0,2,0,0,0,1,1,0,0,2,0,7,4,0,0,40,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
13,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,4,3,2,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,11,2,0,0,24,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
14,0,0,0,1,1,0,0,7,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,0,2,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,7,2,0,0,58,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,5,1,0,0,0,0
15,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
17,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
19,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,1,1,0,0,2,1,0,0,3,0,1,0,12,0,0,0,20,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
23,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
