augustus-Nitab20-processed-gene-16.2	maker-Nitab13-augustus-gene-241.15
maker-Nitab20-augustus-gene-16.1	maker-Nitab13-augustus-gene-1326.19
maker-Nitab20-augustus-gene-215.7	maker-Nitab12-augustus-gene-648.2
augustus-Nitab20-processed-gene-220.2	maker-Nitab04-augustus-gene-243.12
augustus-Nitab20-processed-gene-224.2	maker-Nitab22-pred_gff_Mikado_loci-gene-780.2
maker-Nitab20-augustus-gene-358.9	maker-Nitab24-pred_gff_Mikado_loci-gene-439.25
maker-Nitab20-augustus-gene-453.3	maker-Nitab02-augustus-gene-1218.37
maker-Nitab20-augustus-gene-742.8	maker-Nitab15-pred_gff_Mikado_loci-gene-1081.10
maker-Nitab20-augustus-gene-745.9	maker-Nitab15-augustus-gene-1086.3
maker-Nitab20-augustus-gene-789.12	maker-Nitab13-pred_gff_Mikado_loci-gene-112.3
maker-Nitab20-pred_gff_Mikado_loci-gene-913.0	maker-Nitab23-pred_gff_Mikado_loci-gene-727.8
maker-Nitab20-augustus-gene-938.6	augustus-Nitab12-processed-gene-990.18
maker-Nitab20-augustus-gene-1009.0	maker-Nitab15-pred_gff_Mikado_loci-gene-294.0
maker-Nitab20-augustus-gene-1028.1	maker-Nitab15-pred_gff_Mikado_loci-gene-292.3
maker-Nitab20-pred_gff_Mikado_loci-gene-1153.7	maker-Nitab23-augustus-gene-74.14
maker-Nitab20-augustus-gene-1204.2	maker-Nitab15-augustus-gene-195.6
maker-Nitab20-augustus-gene-1205.8	maker-Nitab04-pred_gff_Mikado_loci-gene-20.26
maker-Nitab20-augustus-gene-1297.0	maker-Nitab15-pred_gff_Mikado_loci-gene-127.14
maker-Nitab20-augustus-gene-1294.0	maker-Nitab22-pred_gff_Mikado_loci-gene-156.0
augustus-Nitab20-processed-gene-1335.6	maker-Nitab15-augustus-gene-110.8
maker-Nitab20-augustus-gene-1374.2	maker-Nitab15-pred_gff_Mikado_loci-gene-77.0
maker-Nitab20-augustus-gene-1408.6	maker-Nitab13-augustus-gene-56.18
maker-Nitab20-augustus-gene-1426.5	maker-Nitab13-pred_gff_Mikado_loci-gene-803.8
maker-Nitab20-pred_gff_Mikado_loci-gene-1413.15	maker-Nitab15-pred_gff_Mikado_loci-gene-49.22
maker-Nitab20-pred_gff_Mikado_loci-gene-1434.29	maker-Nitab14-pred_gff_Mikado_loci-gene-236.33
maker-Nitab20-pred_gff_Mikado_loci-gene-1473.5	maker-Nitab09-augustus-gene-1119.16
maker-Nitab20-augustus-gene-1475.33	maker-Nitab14-augustus-gene-276.11
maker-Nitab20-pred_gff_Mikado_loci-gene-1466.40	maker-Nitab09-augustus-gene-1120.32
maker-Nitab08-augustus-gene-24.32	maker-Nitab04-pred_gff_Mikado_loci-gene-42.26
maker-Nitab08-pred_gff_Mikado_loci-gene-78.6	maker-Nitab22-augustus-gene-152.8
maker-Nitab08-pred_gff_Mikado_loci-gene-225.20	maker-Nitab19-pred_gff_Mikado_loci-gene-563.5
maker-Nitab08-augustus-gene-253.4	maker-Nitab19-augustus-gene-637.2
maker-Nitab08-augustus-gene-277.0	maker-Nitab22-augustus-gene-279.0
maker-Nitab08-augustus-gene-286.8	maker-Nitab12-augustus-gene-575.2
maker-Nitab08-pred_gff_Mikado_loci-gene-329.1	maker-Nitab23-pred_gff_Mikado_loci-gene-428.7
maker-Nitab08-pred_gff_Mikado_loci-gene-427.0	maker-Nitab22-pred_gff_Mikado_loci-gene-194.2
maker-Nitab08-augustus-gene-535.1	maker-Nitab22-pred_gff_Mikado_loci-gene-502.0
maker-Nitab08-augustus-gene-548.2	maker-Nitab22-pred_gff_Mikado_loci-gene-492.0
maker-Nitab08-augustus-gene-580.17	maker-Nitab24-pred_gff_Mikado_loci-gene-603.14
maker-Nitab08-pred_gff_Mikado_loci-gene-699.5	maker-Nitab22-pred_gff_Mikado_loci-gene-674.1
maker-Nitab08-pred_gff_Mikado_loci-gene-730.0	maker-Nitab17-pred_gff_Mikado_loci-gene-276.0
maker-Nitab08-augustus-gene-754.1	maker-Nitab04-pred_gff_Mikado_loci-gene-913.0
maker-Nitab08-pred_gff_Mikado_loci-gene-787.0	maker-Nitab09-pred_gff_Mikado_loci-gene-1018.11
maker-Nitab08-pred_gff_Mikado_loci-gene-831.0	maker-Nitab13-augustus-gene-997.18
maker-Nitab08-augustus-gene-928.9	augustus-Nitab02-processed-gene-173.4
maker-Nitab08-augustus-gene-969.11	maker-Nitab22-augustus-gene-602.5
maker-Nitab08-pred_gff_Mikado_loci-gene-1028.5	maker-Nitab22-pred_gff_Mikado_loci-gene-516.9
augustus-Nitab08-processed-gene-1042.15	maker-Nitab22-pred_gff_Mikado_loci-gene-537.13
maker-Nitab08-augustus-gene-1074.4	maker-Nitab22-pred_gff_Mikado_loci-gene-761.0
maker-Nitab08-pred_gff_Mikado_loci-gene-1103.5	maker-Nitab24-augustus-gene-851.1
maker-Nitab08-pred_gff_Mikado_loci-gene-1115.0	maker-Nitab22-pred_gff_Mikado_loci-gene-797.2
augustus-Nitab08-processed-gene-1178.3	maker-Nitab04-pred_gff_Mikado_loci-gene-501.11
maker-Nitab08-augustus-gene-1180.2	augustus-Nitab15-processed-gene-502.10
maker-Nitab08-pred_gff_Mikado_loci-gene-1218.13	maker-Nitab04-augustus-gene-507.11
maker-Nitab08-augustus-gene-1251.1	maker-Nitab21-augustus-gene-542.1
augustus-Nitab08-processed-gene-1341.5	maker-Nitab15-augustus-gene-781.3
maker-Nitab08-pred_gff_Mikado_loci-gene-1364.5	maker-Nitab21-pred_gff_Mikado_loci-gene-602.7
maker-Nitab08-augustus-gene-1385.1	maker-Nitab21-pred_gff_Mikado_loci-gene-800.4
maker-Nitab08-augustus-gene-1397.10	maker-Nitab21-pred_gff_Mikado_loci-gene-640.0
maker-Nitab08-pred_gff_Mikado_loci-gene-1417.0	maker-Nitab02-augustus-gene-865.10
maker-Nitab08-augustus-gene-1443.0	augustus-Nitab21-processed-gene-790.1
maker-Nitab08-pred_gff_Mikado_loci-gene-1436.12	maker-Nitab21-pred_gff_Mikado_loci-gene-783.11
maker-Nitab08-augustus-gene-1474.8	maker-Nitab02-pred_gff_Mikado_loci-gene-829.18
maker-Nitab08-pred_gff_Mikado_loci-gene-1521.6	maker-Nitab12-pred_gff_Mikado_loci-gene-911.2
maker-Nitab08-augustus-gene-1656.2	maker-Nitab02-pred_gff_Mikado_loci-gene-1159.210
maker-Nitab08-augustus-gene-1743.4	maker-Nitab18-pred_gff_Mikado_loci-gene-1432.10
maker-Nitab08-augustus-gene-1749.5	maker-Nitab18-augustus-gene-1374.1
maker-Nitab08-augustus-gene-1756.4	maker-Nitab18-augustus-gene-1484.7
maker-Nitab09-augustus-gene-2.5	maker-Nitab02-pred_gff_Mikado_loci-gene-3.9
augustus-Nitab09-processed-gene-98.12	maker-Nitab18-pred_gff_Mikado_loci-gene-1394.6
maker-Nitab09-augustus-gene-99.3	maker-Nitab09-pred_gff_Mikado_loci-gene-142.20
maker-Nitab09-augustus-gene-951.4	maker-Nitab09-augustus-gene-961.13
maker-Nitab12-augustus-gene-1202.1	maker-Nitab21-augustus-gene-827.5
maker-Nitab06-augustus-gene-0.9	maker-Nitab19-augustus-gene-1332.17
maker-Nitab06-augustus-gene-72.13	maker-Nitab04-augustus-gene-1296.0
maker-Nitab06-augustus-gene-85.9	maker-Nitab13-augustus-gene-252.5
augustus-Nitab06-processed-gene-258.18	augustus-Nitab04-processed-gene-920.14
maker-Nitab06-augustus-gene-304.7	maker-Nitab04-pred_gff_Mikado_loci-gene-857.0
maker-Nitab06-augustus-gene-356.11	maker-Nitab06-pred_gff_Mikado_loci-gene-356.5
augustus-Nitab06-processed-gene-384.0	maker-Nitab04-augustus-gene-1054.3
maker-Nitab06-augustus-gene-433.17	maker-Nitab04-pred_gff_Mikado_loci-gene-15.41
augustus-Nitab06-processed-gene-533.5	augustus-Nitab15-processed-gene-809.2
maker-Nitab06-augustus-gene-564.0	maker-Nitab24-augustus-gene-63.7
maker-Nitab06-augustus-gene-585.1	maker-Nitab04-augustus-gene-832.12
augustus-Nitab06-processed-gene-641.28	maker-Nitab04-augustus-gene-1157.13
maker-Nitab06-pred_gff_Mikado_loci-gene-779.6	maker-Nitab02-pred_gff_Mikado_loci-gene-245.5
maker-Nitab06-augustus-gene-905.1	maker-Nitab22-augustus-gene-364.3
maker-Nitab06-pred_gff_Mikado_loci-gene-1075.0	maker-Nitab13-augustus-gene-719.7
maker-Nitab06-augustus-gene-1109.9	maker-Nitab19-augustus-gene-1060.10
maker-Nitab06-augustus-gene-1145.9	maker-Nitab04-pred_gff_Mikado_loci-gene-599.39
maker-Nitab06-augustus-gene-1186.8	maker-Nitab04-pred_gff_Mikado_loci-gene-591.13
maker-Nitab06-augustus-gene-1234.0	maker-Nitab19-pred_gff_Mikado_loci-gene-1220.0
maker-Nitab06-augustus-gene-1280.24	maker-Nitab17-pred_gff_Mikado_loci-gene-110.32
augustus-Nitab06-processed-gene-1318.6	maker-Nitab04-pred_gff_Mikado_loci-gene-498.9
maker-Nitab06-pred_gff_Mikado_loci-gene-1319.0	maker-Nitab23-pred_gff_Mikado_loci-gene-850.6
augustus-Nitab06-processed-gene-1365.2	maker-Nitab21-pred_gff_Mikado_loci-gene-428.1
maker-Nitab06-augustus-gene-1380.8	maker-Nitab04-pred_gff_Mikado_loci-gene-437.13
maker-Nitab06-augustus-gene-1392.8	maker-Nitab04-pred_gff_Mikado_loci-gene-406.22
maker-Nitab06-augustus-gene-1393.4	maker-Nitab04-pred_gff_Mikado_loci-gene-406.23
maker-Nitab06-augustus-gene-1441.4	maker-Nitab04-augustus-gene-472.4
maker-Nitab06-pred_gff_Mikado_loci-gene-1444.0	maker-Nitab04-pred_gff_Mikado_loci-gene-385.3
maker-Nitab06-augustus-gene-1502.3	maker-Nitab12-augustus-gene-1056.9
maker-Nitab06-pred_gff_Mikado_loci-gene-1519.6	maker-Nitab04-augustus-gene-337.4
maker-Nitab06-augustus-gene-1623.0	augustus-Nitab04-processed-gene-23.4
maker-Nitab06-augustus-gene-1629.0	maker-Nitab04-pred_gff_Mikado_loci-gene-27.11
maker-Nitab06-augustus-gene-1648.14	maker-Nitab04-augustus-gene-733.2
maker-Nitab06-augustus-gene-1653.2	maker-Nitab04-augustus-gene-43.27
maker-Nitab06-augustus-gene-1662.7	maker-Nitab23-pred_gff_Mikado_loci-gene-524.0
maker-Nitab06-pred_gff_Mikado_loci-gene-1690.2	maker-Nitab14-pred_gff_Mikado_loci-gene-764.0
maker-Nitab06-augustus-gene-1686.11	maker-Nitab15-augustus-gene-170.2
maker-Nitab06-augustus-gene-1697.12	maker-Nitab15-augustus-gene-156.0
maker-Nitab06-augustus-gene-1713.0	maker-Nitab04-augustus-gene-93.31
maker-Nitab06-augustus-gene-1725.6	maker-Nitab15-augustus-gene-152.2
maker-Nitab06-augustus-gene-1717.26	maker-Nitab22-augustus-gene-402.2
maker-Nitab06-augustus-gene-1737.4	maker-Nitab21-augustus-gene-954.7
augustus-Nitab06-processed-gene-1744.7	maker-Nitab04-pred_gff_Mikado_loci-gene-114.5
augustus-Nitab06-processed-gene-1769.1	maker-Nitab04-augustus-gene-140.9
maker-Nitab06-augustus-gene-1756.36	maker-Nitab04-augustus-gene-122.34
maker-Nitab06-augustus-gene-1807.11	maker-Nitab17-pred_gff_Mikado_loci-gene-94.8
maker-Nitab06-pred_gff_Mikado_loci-gene-1866.0	maker-Nitab04-pred_gff_Mikado_loci-gene-228.14
maker-Nitab13-pred_gff_Mikado_loci-gene-787.9	maker-Nitab13-pred_gff_Mikado_loci-gene-778.11
maker-Nitab13-pred_gff_Mikado_loci-gene-893.7	maker-Nitab02-pred_gff_Mikado_loci-gene-1224.1
maker-Nitab13-augustus-gene-933.0	maker-Nitab21-pred_gff_Mikado_loci-gene-939.9
maker-Nitab13-augustus-gene-1396.30	augustus-Nitab11-processed-gene-88.14
augustus-Nitab13-processed-gene-1425.6	maker-Nitab02-pred_gff_Mikado_loci-gene-401.1
augustus-Nitab03-processed-gene-3.5	augustus-Nitab17-processed-gene-86.7
maker-Nitab03-augustus-gene-34.0	maker-Nitab17-augustus-gene-280.6
augustus-Nitab03-processed-gene-145.4	maker-Nitab01-augustus-gene-1900.12
