Nsyl,Ntom,HEB,p_value,q_value
Nitab20g015260.1,Nitab15g021480.1,-5.404575524961199,0.0,0.0
Nitab20g017570.1,Nitab12g019850.1,-4.814507901554937,0.0,0.0
Nitab20g020350.1,Nitab04g008180.1,-5.636172109817719,0.0,0.0
Nitab20g021410.1,Nitab22g009040.1,-5.063028303462178,0.0,0.0
Nitab20g023410.1,Nitab13g006560.1,-6.482326566379451,0.0,0.0
Nitab20g023810.1,Nitab14g009960.1,-5.824164837944087,0.0,0.0
Nitab20g025100.1,Nitab09g021590.1,-5.7230240733986,0.0,0.0
Nitab08g007640.1,Nitab22g008960.1,-8.22265077818536,0.0,0.0
Nitab08g011450.1,Nitab12g012730.1,-5.625258095097001,0.0,0.0
Nitab08g018480.1,Nitab19g019430.1,-5.232048404837939,0.0,0.0
Nitab08g018760.1,Nitab02g009030.1,-8.971925775604616,0.0,0.0
Nitab08g026710.1,Nitab23g007470.1,-5.117309264829695,0.0,0.0
Nitab08g027170.1,Nitab02g025910.1,-4.787662689446202,0.0,0.0
Nitab08g028400.1,Nitab21g020100.1,-8.632685714192338,0.0,0.0
Nitab09g007610.1,Nitab09g008340.1,-6.446532672764355,0.0,0.0
Nitab06g005000.1,Nitab19g033700.1,-5.489317070176759,0.0,0.0
Nitab06g006810.1,Nitab04g031330.1,-6.186685112566905,0.0,0.0
Nitab06g012530.1,Nitab02g010470.1,-5.804433147955443,0.0,0.0
Nitab06g018250.1,Nitab19g030750.1,-7.409559978851688,0.0,0.0
Nitab06g021660.1,Nitab04g016600.1,-5.2468631128479295,0.0,0.0
Nitab06g022750.1,Nitab04g018130.1,-4.482801225203895,0.0,0.0
Nitab06g028090.1,Nitab23g016070.1,-6.660173472199417,0.0,0.0
Nitab06g028820.1,Nitab14g015560.1,-5.603707070260482,0.0,0.0
Nitab06g028710.1,Nitab15g010020.1,-7.777391603302103,0.0,0.0
Nitab06g029530.1,Nitab22g014250.1,-5.675928175854751,0.0,0.0
Nitab03g008880.1,Nitab17g014690.1,-4.966362502992105,0.0,0.0
Nitab03g011380.1,Nitab02g011030.1,-6.3025311699279385,0.0,0.0
Nitab03g012390.1,Nitab17g020420.1,-7.722710335519709,0.0,0.0
Nitab03g012870.1,Nitab14g019110.1,-6.333506956403831,0.0,0.0
Nitab03g014810.1,Nitab24g025100.1,-6.933737653601626,0.0,0.0
Nitab03g021480.1,Nitab17g017190.1,-6.741133544871423,0.0,0.0
Nitab11g017510.1,Nitab04g025340.1,-5.084854679008456,0.0,0.0
Nitab11g021170.1,Nitab11g008550.1,-4.7960204229379,0.0,0.0
Nitab11g024110.1,Nitab13g020400.1,-7.818086841895439,0.0,0.0
Nitab11g026960.1,Nitab13g005030.1,-6.118052661878533,0.0,0.0
Nitab24g020840.1,Nitab12g015010.1,-5.922724652140218,0.0,0.0
Nitab10g006990.1,Nitab24g009420.1,-5.000478992894282,0.0,0.0
Nitab10g011680.1,Nitab02g013290.1,-5.314458466715425,0.0,0.0
Nitab10g017190.1,Nitab02g017420.1,-5.616605123751612,0.0,0.0
Nitab10g018680.1,Nitab02g018950.1,-5.0589253946804105,0.0,0.0
Nitab10g020130.1,Nitab02g019740.1,-6.502569543307801,0.0,0.0
Nitab10g022940.1,Nitab02g024620.1,-5.509488375873936,0.0,0.0
Nitab10g024070.1,Nitab02g025860.1,-4.709792329558343,0.0,0.0
Nitab10g025990.1,Nitab02g027870.1,-5.897225246027388,0.0,0.0
Nitab01g005030.1,Nitab23g005590.1,-5.679957600933846,0.0,0.0
Nitab01g006640.1,Nitab17g010400.1,-7.658783201496935,0.0,0.0
Nitab01g006890.1,Nitab04g020650.1,-8.111851038226607,0.0,0.0
Nitab01g011180.1,Nitab23g013560.1,-4.919938697678821,0.0,0.0
Nitab01g013830.1,Nitab23g015840.1,-5.906181059404649,0.0,0.0
Nitab01g015080.1,Nitab23g017140.1,-7.8282266968007805,0.0,0.0
Nitab01g023270.1,Nitab23g023800.1,-5.392263907572438,0.0,0.0
Nitab01g026540.1,Nitab02g017920.1,-4.721978683448107,0.0,0.0
Nitab01g025780.1,Nitab01g027060.1,-5.660858263052609,0.0,0.0
Nitab16g010040.1,Nitab12g007160.1,-5.75436861702846,0.0,0.0
Nitab16g010740.1,Nitab12g007910.1,-5.095642434978689,0.0,0.0
Nitab16g011430.1,Nitab12g008720.1,-5.045728567905474,0.0,0.0
Nitab16g016200.1,Nitab06g035390.1,-5.640737691549689,0.0,0.0
Nitab16g016490.1,Nitab15g011670.1,-5.4580299299685775,0.0,0.0
Nitab16g016620.1,Nitab12g015380.1,-8.41908696958351,0.0,0.0
Nitab07g015400.1,Nitab19g028940.1,-6.892375706019402,0.0,0.0
Nitab07g022740.1,Nitab19g036070.1,-4.7524327849375165,0.0,0.0
Nitab07g028340.1,Nitab14g011030.1,-9.402361474338775,0.0,0.0
Nitab07g031470.1,Nitab12g019510.1,-7.876031820215041,0.0,0.0
Nitab07g033280.1,Nitab14g006340.1,-4.6972979311481895,0.0,0.0
Nitab18g017250.1,Nitab24g010250.1,-5.529253068134865,0.0,0.0
Nitab18g018780.1,Nitab12g023340.1,-4.982756010423415,0.0,0.0
Nitab18g019550.1,Nitab12g020990.1,-7.637500347688324,0.0,0.0
Nitab18g022900.1,Nitab23g010240.1,-7.147613437889886,0.0,0.0
Nitab18g023130.1,Nitab09g008390.1,-7.084513050157339,0.0,0.0
Nitab21g006910.1,Nitab02g027850.1,-5.540831689746879,0.0,0.0
Nitab21g010300.1,Nitab17g024110.1,-7.695026435942129,0.0,0.0
Nitab17g006400.1,Nitab12g019600.1,-5.816084000633072,0.0,0.0
Nitab05g007380.1,Nitab19g020760.1,-4.684257787499866,0.0,0.0
Nitab05g011810.1,Nitab24g009020.1,-4.92518119391967,0.0,0.0
Nitab05g013290.1,Nitab12g006040.1,-5.4820341703461155,0.0,0.0
Nitab05g018840.1,Nitab24g017270.1,-5.124442912940679,0.0,0.0
Nitab05g026560.1,Nitab23g011950.1,-5.91608238758083,0.0,0.0
Nitab05g027960.1,Nitab23g005670.1,-8.151139365275451,0.0,0.0
Nitab22g029280.1,Nitab24g013080.1,-4.790747779567716,0.0,0.0
