Nitab20g023470.1	Nitab15g007070.1
Nitab08g007640.1	Nitab22g008960.1
Nitab03g030360.1	Nitab22g021640.1
Nitab10g011310.1	Nitab22g018590.1
Nitab10g021290.1	Nitab13g013650.1
Nitab01g006890.1	Nitab04g020650.1
Nitab01g025150.1	Nitab02g022290.1
Nitab16g011510.1	Nitab24g023030.1
Nitab07g020730.1	Nitab19g033850.1
Nitab04g020250.1	Nitab09g011150.1
Nitab05g009380.1	Nitab02g009830.1
Nitab09g007610.1	Nitab09g008340.1
Nitab04g029630.1	Nitab09g012950.1
Nitab21g005750.1	Nitab14g021440.1
Nitab20g021410.1	Nitab22g009040.1
Nitab11g008860.1	Nitab13g024530.1
Nitab22g026830.1	Nitab19g012260.1
Nitab01g021080.1	Nitab09g008880.1
Nitab22g030440.1	Nitab22g006770.1
Nitab20g025100.1	Nitab09g021590.1
Nitab03g034950.1	Nitab14g021780.1
Nitab17g006400.1	Nitab12g019600.1
Nitab01g006640.1	Nitab17g010400.1
Nitab18g015820.1	Nitab24g014980.1
Nitab17g008040.1	Nitab17g018950.1
Nitab08g029620.1	Nitab18g023720.1
Nitab16g006650.1	Nitab11g005420.1
Nitab16g016200.1	Nitab06g035390.1
Nitab06g029530.1	Nitab22g014250.1
Nitab16g014000.1	Nitab24g019910.1
Nitab11g020750.1	Nitab09g015210.1
Nitab06g018250.1	Nitab19g030750.1
Nitab08g020060.1	Nitab22g016630.1
Nitab01g015080.1	Nitab23g017140.1
Nitab01g019340.1	Nitab23g023100.1
Nitab01g011480.1	Nitab15g019050.1
Nitab07g028520.1	Nitab13g010050.1
Nitab05g006660.1	Nitab19g026440.1
Nitab18g023130.1	Nitab09g008390.1
Nitab01g013830.1	Nitab23g015840.1
Nitab03g014810.1	Nitab24g025100.1
Nitab03g006870.1	Nitab01g028000.1
Nitab08g024640.1	Nitab02g018390.1
Nitab08g015080.1	Nitab24g018390.1
Nitab21g007400.1	Nitab22g036590.1
Nitab22g029070.1	Nitab19g014440.1
Nitab05g007960.1	Nitab19g021070.1
Nitab22g025310.1	Nitab19g038650.1
Nitab10g015720.1	Nitab02g015490.1
Nitab05g015790.1	Nitab15g019000.1
Nitab16g005120.1	Nitab24g005660.1
Nitab03g014950.1	Nitab14g017720.1
Nitab03g016470.1	Nitab17g024390.1
Nitab11g020860.1	Nitab13g011530.1
Nitab07g031470.1	Nitab12g019510.1
Nitab08g027170.1	Nitab02g025910.1
Nitab03g029460.1	Nitab17g028020.1
Nitab06g028710.1	Nitab15g010020.1
Nitab05g005470.1	Nitab24g017440.1
Nitab06g009560.1	Nitab19g022990.1
Nitab22g028650.1	Nitab19g013790.1
Nitab01g017160.1	Nitab02g019840.1
Nitab08g029860.1	Nitab18g025640.1
Nitab06g021020.1	Nitab21g011820.1
Nitab06g012530.1	Nitab02g010470.1
Nitab05g025980.1	Nitab15g021890.1
Nitab01g022260.1	Nitab19g036950.1
Nitab11g024970.1	Nitab04g025550.1
Nitab11g024220.1	Nitab13g021340.1
Nitab01g022390.1	Nitab23g023260.1
