maker-Nitab12-augustus-gene-1189.3	augustus-Nitab12-processed-gene-667.1
maker-Nitab11-pred_gff_Mikado_loci-gene-896.0	maker-Nitab13-augustus-gene-636.1
maker-Nitab10-augustus-gene-1346.11	maker-Nitab14-augustus-gene-1104.7
augustus-Nitab01-processed-gene-1822.10	augustus-Nitab12-processed-gene-40.3
maker-Nitab16-augustus-gene-297.4	augustus-Nitab12-processed-gene-151.1
maker-Nitab07-pred_gff_Mikado_loci-gene-473.5	maker-Nitab19-pred_gff_Mikado_loci-gene-1279.15
augustus-Nitab07-processed-gene-786.19	maker-Nitab01-augustus-gene-1890.6
maker-Nitab07-augustus-gene-940.7	maker-Nitab02-augustus-gene-1173.1
maker-Nitab21-pred_gff_Mikado_loci-gene-228.0	maker-Nitab17-augustus-gene-1685.0
maker-Nitab05-augustus-gene-1497.13	maker-Nitab14-augustus-gene-1043.6
maker-Nitab22-pred_gff_Mikado_loci-gene-1574.14	maker-Nitab14-augustus-gene-77.0
maker-Nitab20-augustus-gene-1229.12	maker-Nitab04-augustus-gene-83.8
maker-Nitab10-pred_gff_Mikado_loci-gene-454.3	augustus-Nitab24-processed-gene-326.23
maker-Nitab18-pred_gff_Mikado_loci-gene-825.4	maker-Nitab21-pred_gff_Mikado_loci-gene-576.3
maker-Nitab18-augustus-gene-861.5	maker-Nitab17-augustus-gene-546.2
maker-Nitab05-pred_gff_Mikado_loci-gene-81.17	augustus-Nitab19-processed-gene-1082.27
maker-Nitab01-pred_gff_Mikado_loci-gene-116.1	maker-Nitab23-augustus-gene-685.7
maker-Nitab03-pred_gff_Mikado_loci-gene-1209.7	maker-Nitab22-augustus-gene-308.0
maker-Nitab10-pred_gff_Mikado_loci-gene-850.0	maker-Nitab12-augustus-gene-26.20
maker-Nitab08-augustus-gene-217.3	maker-Nitab19-augustus-gene-548.5
maker-Nitab17-augustus-gene-407.8	maker-Nitab17-augustus-gene-299.1
maker-Nitab01-augustus-gene-27.25	maker-Nitab15-augustus-gene-1235.6
maker-Nitab08-augustus-gene-1473.14	maker-Nitab21-augustus-gene-809.17
maker-Nitab06-augustus-gene-1442.17	maker-Nitab24-augustus-gene-468.2
maker-Nitab23-augustus-gene-271.3	augustus-Nitab23-processed-gene-158.4
