Nitab05g024350.1	Nitab15g014280.1
Nitab20g012100.1	Nitab18g016530.1
Nitab18g019060.1	Nitab09g009830.1
Nitab21g010620.1	Nitab14g016470.1
Nitab08g016420.1	Nitab02g011910.1
Nitab16g018940.1	Nitab12g013620.1
Nitab16g026230.1	Nitab09g010710.1
Nitab17g029590.1	Nitab17g029990.1
Nitab07g012920.1	Nitab23g023270.1
Nitab11g019920.1	Nitab13g012380.1
Nitab03g035610.1	Nitab03g012300.1
Nitab16g026120.1	Nitab09g010720.1
Nitab06g019710.1	Nitab21g011280.1
Nitab07g029600.1	Nitab14g010050.1
Nitab06g015670.1	Nitab04g023350.1
Nitab11g016150.1	Nitab11g007350.1
Nitab22g031180.1	Nitab08g009130.1
Nitab07g024900.1	Nitab14g009950.1
Nitab03g033810.1	Nitab03g032500.1
Nitab06g028630.1	Nitab04g007790.1
Nitab03g022500.1	Nitab15g019910.1
Nitab20g020320.1	Nitab04g008160.1
Nitab08g009940.1	Nitab17g033210.1
Nitab06g022790.1	Nitab24g016180.1
Nitab03g027330.1	Nitab17g030750.1
Nitab18g010110.1	Nitab17g011820.1
Nitab13g016300.1	Nitab04g024290.1
Nitab18g009730.1	Nitab22g018850.1
Nitab06g032180.1	Nitab04g010600.1
Nitab11g025510.1	Nitab13g006810.1
Nitab03g031570.1	Nitab03g033220.1
Nitab21g007580.1	Nitab14g020080.1
Nitab03g022780.1	Nitab17g033410.1
Nitab08g023260.1	Nitab02g016120.1
Nitab07g026770.1	Nitab14g012490.1
Nitab07g015240.1	Nitab19g028410.1
Nitab01g006460.1	Nitab23g006960.1
Nitab20g018310.1	Nitab12g017380.1
Nitab06g027450.1	Nitab04g006350.1
Nitab10g006340.1	Nitab19g013560.1
Nitab11g026720.1	Nitab19g024680.1
Nitab06g023110.1	Nitab24g018330.1
Nitab05g018990.1	Nitab04g030040.1
Nitab03g030020.1	Nitab17g013320.1
Nitab08g005220.1	Nitab22g010020.1
Nitab06g027140.1	Nitab21g018420.1
Nitab05g016700.1	Nitab02g005270.1
Nitab05g016220.1	Nitab24g005760.1
Nitab10g008080.1	Nitab02g007610.1
Nitab11g020650.1	Nitab13g011680.1
Nitab16g005490.1	Nitab23g028890.1
Nitab07g019440.1	Nitab13g016190.1
Nitab01g014120.1	Nitab23g016090.1
Nitab20g021960.1	Nitab15g008740.1
Nitab13g026770.1	Nitab13g009490.1
Nitab06g030520.1	Nitab06g030480.1
Nitab07g024890.1	Nitab15g006540.1
Nitab11g011200.1	Nitab09g016550.1
Nitab07g006420.1	Nitab17g037030.1
Nitab07g007900.1	Nitab02g019580.1
Nitab17g027540.1	Nitab23g024310.1
Nitab08g005440.1	Nitab22g013090.1
Nitab08g021540.1	Nitab24g018450.1
Nitab06g012330.1	Nitab13g007710.1
Nitab17g006110.1	Nitab15g008990.1
Nitab05g010810.1	Nitab24g012610.1
Nitab05g015640.1	Nitab05g021180.1
Nitab16g013560.1	Nitab12g010680.1
Nitab05g012490.1	Nitab02g007130.1
Nitab06g021980.1	Nitab04g017010.1
Nitab10g014730.1	Nitab02g014270.1
Nitab20g014510.1	Nitab24g018550.1
Nitab05g006890.1	Nitab04g023040.1
Nitab16g021820.1	Nitab12g018770.1
Nitab06g033280.1	Nitab15g009450.1
Nitab06g030100.1	Nitab04g009170.1
Nitab05g017680.1	Nitab09g022480.1
Nitab16g015200.1	Nitab12g016190.1
Nitab21g006620.1	Nitab17g032730.1
Nitab01g006050.1	Nitab15g023730.1
Nitab07g026990.1	Nitab14g012240.1
Nitab04g020220.1	Nitab21g011590.1
Nitab20g007080.1	Nitab24g023800.1
Nitab10g008660.1	Nitab02g008090.1
Nitab03g011560.1	Nitab13g022430.1
Nitab16g014360.1	Nitab02g011630.1
Nitab20g021600.1	Nitab15g008970.1
Nitab06g029950.1	Nitab13g014070.1
Nitab10g023960.1	Nitab02g025710.1
Nitab16g015880.1	Nitab22g021420.1
Nitab06g021930.1	Nitab04g017080.1
Nitab06g028410.1	Nitab04g007450.1
Nitab01g011030.1	Nitab23g013430.1
Nitab06g023490.1	Nitab04g013880.1
Nitab05g011710.1	Nitab24g008890.1
Nitab11g026170.1	Nitab04g015700.1
Nitab03g026360.1	Nitab17g031600.1
Nitab10g016820.1	Nitab17g016750.1
Nitab22g036110.1	Nitab19g007450.1
Nitab08g006210.1	Nitab22g013900.1
Nitab05g008800.1	Nitab24g012670.1
Nitab05g010920.1	Nitab24g012390.1
Nitab10g018700.1	Nitab02g018930.1
Nitab01g028560.1	Nitab12g005060.1
Nitab16g006910.1	Nitab23g026290.1
Nitab06g032190.1	Nitab04g010610.1
Nitab08g007690.1	Nitab17g007400.1
Nitab01g012870.1	Nitab17g018200.1
Nitab10g017100.1	Nitab02g017190.1
Nitab20g010320.1	Nitab24g019700.1
Nitab18g011680.1	Nitab22g018270.1
Nitab10g023140.1	Nitab02g024830.1
Nitab03g029780.1	Nitab17g027720.1
Nitab16g023230.1	Nitab15g013100.1
Nitab21g005700.1	Nitab14g021490.1
Nitab07g010510.1	Nitab19g021940.1
Nitab08g008450.1	Nitab04g013010.1
Nitab01g013660.1	Nitab22g010130.1
Nitab13g025830.1	Nitab11g008110.1
Nitab01g020630.1	Nitab23g020550.1
Nitab06g014520.1	Nitab02g010070.1
Nitab01g006720.1	Nitab14g007460.1
Nitab01g013460.1	Nitab17g018260.1
Nitab21g005240.1	Nitab14g021560.1
Nitab03g027610.1	Nitab17g030540.1
Nitab01g020090.1	Nitab23g019120.1
Nitab03g020550.1	Nitab17g016890.1
Nitab19g031480.1	Nitab15g016910.1
Nitab06g023220.1	Nitab04g015560.1
Nitab18g018380.1	Nitab09g011230.1
Nitab08g015500.1	Nitab22g017200.1
Nitab05g027730.1	Nitab14g018600.1
Nitab16g017000.1	Nitab12g015140.1
Nitab06g014000.1	Nitab13g008160.1
Nitab06g018460.1	Nitab04g020930.1
