Nsyl,Ntom,HEB,p_value,q_value
Nitab20g005930.1,Nitab17g037690.1,8.639238088615526,0.0,0.0
Nitab20g007780.1,Nitab09g015150.1,4.549778524002854,0.0,0.0
Nitab20g013690.1,Nitab22g021390.1,6.039651710139533,0.0,0.0
Nitab20g020260.1,Nitab04g007850.1,7.846258604587561,0.0,0.0
Nitab20g021260.1,Nitab19g034010.1,5.501986592282763,0.0,0.0
Nitab20g022660.1,Nitab21g013600.1,5.007411434375118,0.0,0.0
Nitab08g016420.1,Nitab02g011910.1,5.82420508437579,0.0,0.0
Nitab08g017310.1,Nitab09g019050.1,4.959843267591751,0.0,0.0
Nitab08g018110.1,Nitab22g022860.1,5.749229229583846,0.0,0.0
Nitab08g023140.1,Nitab21g013520.1,6.392456893097908,0.0,0.0
Nitab09g006800.1,Nitab21g020870.1,9.929869399674612,0.0,0.0
Nitab12g024390.1,Nitab12g013750.1,6.03963333763396,0.0,0.0
Nitab06g019710.1,Nitab21g011280.1,5.2161726340017065,0.0,0.0
Nitab06g022790.1,Nitab24g016180.1,6.88012377410558,0.0,0.0
Nitab06g033650.1,Nitab07g031770.1,5.212638763440448,0.0,0.0
Nitab06g035110.1,Nitab04g013330.1,5.2360272300247495,0.0,0.0
Nitab13g026010.1,Nitab14g012210.1,5.2955149670939345,0.0,0.0
Nitab13g026840.1,Nitab23g026530.1,5.609944133127195,0.0,0.0
Nitab03g008000.1,Nitab17g016120.1,5.498129987255202,0.0,0.0
Nitab03g009530.1,Nitab14g017270.1,4.995175452517578,0.0,0.0
Nitab03g025780.1,Nitab01g026640.1,4.764675094900615,0.0,0.0
Nitab03g030020.1,Nitab17g013320.1,4.5651688675277144,0.0,0.0
Nitab11g006260.1,Nitab12g018940.1,5.350691872902955,0.0,0.0
Nitab11g011200.1,Nitab09g016550.1,4.619381259516078,0.0,0.0
Nitab11g011860.1,Nitab13g022190.1,5.063696339402846,0.0,0.0
Nitab11g016740.1,Nitab02g011310.1,5.008953106350704,0.0,0.0
Nitab11g025810.1,Nitab14g014600.1,7.290769679364502,0.0,0.0
Nitab10g005850.1,Nitab02g005740.1,5.538977249978157,0.0,0.0
Nitab10g009300.1,Nitab16g009190.1,6.297897624351872,0.0,0.0
Nitab10g010540.1,Nitab02g009570.1,7.046233677802324,0.0,0.0
Nitab10g016820.1,Nitab17g016750.1,6.341246272087142,0.0,0.0
Nitab10g025470.1,Nitab13g013090.1,4.861728650949412,0.0,0.0
Nitab01g006050.1,Nitab15g023730.1,4.487596771661258,0.0,0.0
Nitab01g011060.1,Nitab13g008850.1,6.0991590533093065,0.0,0.0
Nitab01g020090.1,Nitab23g019120.1,4.575720546871325,0.0,0.0
Nitab01g023670.1,Nitab23g024350.1,5.351731039696062,0.0,0.0
Nitab19g031480.1,Nitab15g016910.1,5.129721424559909,0.0,0.0
Nitab16g007170.1,Nitab03g024740.1,4.556209580488353,0.0,0.0
Nitab16g020940.1,Nitab15g012860.1,5.492634409666338,0.0,0.0
Nitab16g023900.1,Nitab04g015280.1,4.749011537788288,0.0,0.0
Nitab16g026120.1,Nitab09g010720.1,4.461146922377991,0.0,0.0
Nitab07g007900.1,Nitab02g019580.1,4.681239150863212,0.0,0.0
Nitab07g013700.1,Nitab07g013140.1,4.5360415633814,0.0,0.0
Nitab07g015460.1,Nitab19g028560.1,5.515929471257866,0.0,0.0
Nitab07g024940.1,Nitab01g027630.1,4.697721293072532,0.0,0.0
Nitab07g030770.1,Nitab19g036010.1,6.8272188619203575,0.0,0.0
Nitab04g026140.1,Nitab04g026150.1,5.071328276861011,0.0,0.0
Nitab18g008020.1,Nitab09g017010.1,5.859412839997877,0.0,0.0
Nitab18g008560.1,Nitab08g015620.1,4.420476397279537,0.0,0.0
Nitab18g016330.1,Nitab18g017040.1,4.955742073744256,0.0,0.0
Nitab21g005340.1,Nitab03g035090.1,5.463971473417124,0.0,0.0
Nitab21g006470.1,Nitab14g020810.1,4.6731299247987215,0.0,0.0
Nitab17g025890.1,Nitab21g010860.1,7.557253720249812,0.0,0.0
Nitab05g012490.1,Nitab02g007130.1,5.279097762937226,0.0,0.0
Nitab05g018990.1,Nitab04g030040.1,5.311983710057284,0.0,0.0
Nitab14g005510.1,Nitab15g006740.1,4.948939735994715,0.0,0.0
Nitab22g031350.1,Nitab19g010210.1,5.302945797243276,0.0,0.0
Nitab22g034730.1,Nitab19g007180.1,5.647609490190524,0.0,0.0
Nitab20g013780.1,Nitab24g016340.1,4.4911738443532325,1.11022302463e-16,9.46703033427e-15
Nitab06g008120.1,Nitab18g005110.1,4.644303103110546,1.11022302463e-16,9.33369187886e-15
Nitab06g031210.1,Nitab15g009000.1,4.459886560053026,1.11022302463e-16,9.26842130628e-15
Nitab01g007140.1,Nitab15g011150.1,4.6905758865159655,1.11022302463e-16,8.95529896485e-15
Nitab01g013660.1,Nitab22g010130.1,4.7567948165979725,1.11022302463e-16,8.89519628723e-15
Nitab16g020290.1,Nitab12g019430.1,4.6720508915543135,1.11022302463e-16,8.71963320262e-15
Nitab14g005580.1,Nitab13g006210.1,4.645315248989735,1.11022302463e-16,8.38850789112e-15
Nitab22g034200.1,Nitab15g005890.1,4.451807106286258,1.11022302463e-16,8.33574997986e-15
Nitab09g020220.1,Nitab04g015400.1,4.372968638711751,2.22044604925e-16,1.6362768479e-14
Nitab16g007940.1,Nitab17g011340.1,4.412229456515612,3.33066907388e-16,2.39527273518e-14
Nitab08g023970.1,Nitab21g014270.1,4.3363033748192406,4.4408920985e-16,3.15567677809e-14
Nitab11g016760.1,Nitab04g021390.1,4.51558343129456,4.4408920985e-16,3.13700413443e-14
Nitab07g024890.1,Nitab15g006540.1,4.2622312243644584,5.55111512313e-16,3.80857542183e-14
Nitab18g022770.1,Nitab12g016400.1,4.2489311476626614,6.66133814775e-16,4.49282795525e-14
Nitab06g022150.1,Nitab04g017380.1,4.357623858109587,8.881784197e-16,5.92350501362e-14
Nitab03g005490.1,Nitab02g012500.1,4.32976725340644,9.99200722163e-16,6.55409792372e-14
Nitab10g020160.1,Nitab02g019730.1,4.401835991659053,1.44328993201e-15,9.11639958115e-14
Nitab06g028410.1,Nitab04g007450.1,4.298712967112153,2.77555756156e-15,1.69921057282e-13
Nitab10g006900.1,Nitab23g020370.1,4.17135792823501,3.5527136788e-15,2.16389264783e-13
Nitab18g022690.1,Nitab04g029850.1,4.133676599815107,4.77395900589e-15,2.89297069098e-13
Nitab10g021370.1,Nitab23g006840.1,3.9164916983588505,5.10702591328e-15,3.07917552286e-13
Nitab08g026960.1,Nitab02g027660.1,4.350958537104326,5.44009282066e-15,3.2635089494e-13
Nitab03g021140.1,Nitab22g006960.1,4.097001507056297,6.32827124036e-15,3.75855234166e-13
Nitab08g024190.1,Nitab02g018910.1,3.9809801733198333,8.881784197e-15,5.19758528156e-13
Nitab09g007250.1,Nitab21g020830.1,4.111812024995818,9.65894031424e-15,5.59749657628e-13
Nitab03g031840.1,Nitab17g021310.1,4.033484525025844,1.46549439251e-14,8.33098669416e-13
Nitab07g020860.1,Nitab22g010350.1,3.9821799645949687,1.56541446472e-14,8.85683311841e-13
Nitab16g005990.1,Nitab15g014670.1,3.9312626981330507,1.80966353014e-14,1.00952164593e-12
Nitab07g027090.1,Nitab14g012030.1,4.124272670356065,2.0872192863e-14,1.15357517777e-12
Nitab06g025710.1,Nitab22g020840.1,4.0018249297029875,2.12052597703e-14,1.16658244764e-12
Nitab06g032680.1,Nitab04g011190.1,4.0853949891904415,2.24265050974e-14,1.22250053814e-12
Nitab05g026930.1,Nitab23g010620.1,4.14013716401654,2.28705943073e-14,1.24104161291e-12
Nitab20g013000.1,Nitab24g019410.1,4.080082505286177,2.45359288442e-14,1.31941404749e-12
Nitab17g029590.1,Nitab17g029990.1,4.118142459339766,3.34177130412e-14,1.75744783386e-12
Nitab08g006210.1,Nitab22g013900.1,4.044990338984606,3.91908727693e-14,2.04305955947e-12
Nitab07g010890.1,Nitab19g012990.1,3.8905881753188254,5.93969318174e-14,3.01736413633e-12
Nitab11g009860.1,Nitab04g026790.1,4.148851563957602,9.74775815621e-14,4.82857829331e-12
Nitab10g018380.1,Nitab02g018630.1,3.9149044973690206,1.08024700296e-13,5.28524127924e-12
Nitab08g011180.1,Nitab12g006410.1,3.888126699076795,1.20681242777e-13,5.85647429378e-12
Nitab08g006630.1,Nitab04g008420.1,3.9157885367097616,1.63979940737e-13,7.79917343633e-12
Nitab20g019340.1,Nitab04g025010.1,3.842117329583602,1.67532654416e-13,7.93652709689e-12
Nitab01g014120.1,Nitab23g016090.1,3.9907546391973874,1.68309810533e-13,7.94182813496e-12
Nitab07g016000.1,Nitab19g029180.1,3.997744026059633,1.78412840057e-13,8.38540348269e-12
Nitab07g032400.1,Nitab13g006590.1,3.73692261156053,2.75224287805e-13,1.263702903e-11
Nitab10g008080.1,Nitab02g007610.1,3.8018250696531686,3.27626814567e-13,1.49854747598e-11
Nitab08g007580.1,Nitab18g025980.1,3.768607124398139,3.92574861507e-13,1.77521162753e-11
Nitab07g023660.1,Nitab19g037200.1,3.8979048551141022,4.42645919918e-13,1.99407811018e-11
