Nitab04g020540.1	Nitab04g019680.1
Nitab11g020510.1	Nitab13g016020.1
Nitab11g023810.1	Nitab14g017920.1
Nitab16g017290.1	Nitab21g014800.1
Nitab18g018860.1	Nitab24g014130.1
Nitab03g013840.1	Nitab19g017670.1
Nitab08g022100.1	Nitab04g019320.1
Nitab01g025080.1	Nitab12g006910.1
Nitab05g007960.1	Nitab19g021070.1
Nitab06g030030.1	Nitab04g009070.1
Nitab18g011160.1	Nitab09g019710.1
Nitab07g029720.1	Nitab14g009780.1
Nitab11g008860.1	Nitab13g024530.1
Nitab05g013740.1	Nitab21g013450.1
Nitab10g006490.1	Nitab17g018990.1
Nitab06g029940.1	Nitab17g029680.1
Nitab08g019870.1	Nitab23g006690.1
Nitab16g023020.1	Nitab17g024410.1
Nitab10g015220.1	Nitab23g015590.1
Nitab21g008540.1	Nitab17g035740.1
Nitab19g026750.1	Nitab19g026700.1
Nitab10g016880.1	Nitab02g017230.1
Nitab01g022710.1	Nitab15g018320.1
Nitab16g025080.1	Nitab12g022460.1
Nitab07g024850.1	Nitab09g022320.1
Nitab05g011050.1	Nitab10g010200.1
Nitab05g021770.1	Nitab15g016020.1
Nitab01g013830.1	Nitab23g015840.1
Nitab21g005220.1	Nitab14g021580.1
Nitab10g024600.1	Nitab21g016150.1
Nitab20g020800.1	Nitab15g009520.1
Nitab05g007380.1	Nitab19g020760.1
Nitab03g016470.1	Nitab17g024390.1
Nitab07g027540.1	Nitab04g028490.1
Nitab03g034500.1	Nitab17g026510.1
Nitab08g011050.1	Nitab19g015140.1
Nitab03g012870.1	Nitab14g019110.1
Nitab20g009630.1	Nitab04g012740.1
Nitab03g034190.1	Nitab17g026810.1
Nitab01g020600.1	Nitab23g020560.1
Nitab10g024140.1	Nitab02g025930.1
Nitab01g021080.1	Nitab09g008880.1
Nitab03g012060.1	Nitab17g020870.1
Nitab20g023410.1	Nitab13g006560.1
Nitab18g012560.1	Nitab04g005830.1
Nitab20g020570.1	Nitab15g009980.1
Nitab05g006500.1	Nitab24g016960.1
Nitab20g014890.1	Nitab24g005400.1
Nitab16g020900.1	Nitab13g021920.1
Nitab22g031010.1	Nitab19g010510.1
Nitab08g019200.1	Nitab22g017950.1
Nitab16g009200.1	Nitab16g009150.1
Nitab08g023650.1	Nitab21g015400.1
Nitab08g025140.1	Nitab21g016190.1
Nitab05g010960.1	Nitab24g011890.1
Nitab07g018680.1	Nitab17g035980.1
Nitab10g026460.1	Nitab02g028380.1
Nitab06g031560.1	Nitab17g007740.1
Nitab06g015710.1	Nitab19g013590.1
Nitab11g018170.1	Nitab19g037050.1
Nitab08g014430.1	Nitab22g015380.1
Nitab18g019200.1	Nitab12g021050.1
Nitab10g020040.1	Nitab02g019770.1
Nitab03g026150.1	Nitab17g031780.1
Nitab01g017920.1	Nitab13g015510.1
Nitab22g029940.1	Nitab19g015190.1
Nitab20g013850.1	Nitab04g015130.1
Nitab07g018010.1	Nitab13g023060.1
Nitab10g014790.1	Nitab18g023700.1
Nitab16g010040.1	Nitab12g007160.1
Nitab07g032230.1	Nitab19g028870.1
Nitab18g020810.1	Nitab09g011870.1
Nitab01g022580.1	Nitab19g024660.1
Nitab01g026030.1	Nitab02g017110.1
Nitab10g024610.1	Nitab02g026510.1
Nitab06g012530.1	Nitab02g010470.1
Nitab17g021490.1	Nitab14g018860.1
Nitab07g011080.1	Nitab13g006000.1
Nitab05g011810.1	Nitab24g009020.1
Nitab06g029210.1	Nitab23g008120.1
Nitab05g012510.1	Nitab24g009290.1
Nitab08g021100.1	Nitab21g010730.1
Nitab06g028090.1	Nitab23g016070.1
Nitab05g010590.1	Nitab02g011580.1
Nitab06g010760.1	Nitab13g014950.1
Nitab01g025780.1	Nitab01g027060.1
Nitab10g007790.1	Nitab23g027240.1
Nitab05g017940.1	Nitab19g010180.1
Nitab21g005520.1	Nitab17g025260.1
Nitab07g016830.1	Nitab24g019290.1
Nitab05g023170.1	Nitab15g020310.1
Nitab01g010280.1	Nitab23g012620.1
Nitab20g023810.1	Nitab14g009960.1
Nitab05g011650.1	Nitab17g007340.1
Nitab08g028800.1	Nitab21g020120.1
Nitab22g032310.1	Nitab13g021830.1
Nitab20g015260.1	Nitab15g021480.1
Nitab08g024170.1	Nitab21g015160.1
Nitab01g022390.1	Nitab23g023260.1
Nitab13g027130.1	Nitab02g012160.1
Nitab07g027180.1	Nitab14g011950.1
Nitab21g012360.1	Nitab04g020670.1
Nitab01g015690.1	Nitab22g011600.1
Nitab03g034690.1	Nitab17g026380.1
Nitab08g017250.1	Nitab04g027510.1
Nitab16g023140.1	Nitab12g020280.1
Nitab10g025990.1	Nitab02g027870.1
Nitab20g021750.1	Nitab04g009990.1
Nitab01g011480.1	Nitab15g019050.1
Nitab05g021310.1	Nitab19g030880.1
Nitab11g020820.1	Nitab13g018340.1
Nitab03g018860.1	Nitab17g037080.1
Nitab08g011800.1	Nitab22g011380.1
Nitab01g024930.1	Nitab23g025380.1
Nitab20g018820.1	Nitab12g015890.1
Nitab07g033200.1	Nitab14g006130.1
Nitab10g019670.1	Nitab02g021640.1
Nitab03g028730.1	Nitab23g027390.1
Nitab05g022840.1	Nitab15g020090.1
Nitab01g024200.1	Nitab23g024710.1
Nitab03g029920.1	Nitab12g023580.1
Nitab03g023500.1	Nitab17g032800.1
Nitab05g008000.1	Nitab24g013530.1
Nitab20g011450.1	Nitab24g015710.1
Nitab06g008180.1	Nitab04g027680.1
Nitab10g019620.1	Nitab17g038070.1
Nitab16g005120.1	Nitab24g005660.1
Nitab01g006640.1	Nitab17g010400.1
Nitab11g026370.1	Nitab19g036180.1
Nitab11g015440.1	Nitab13g018470.1
Nitab01g028360.1	Nitab01g028070.1
Nitab07g017230.1	Nitab19g029620.1
Nitab10g023570.1	Nitab02g025190.1
Nitab20g014690.1	Nitab24g018720.1
Nitab21g005580.1	Nitab19g024630.1
Nitab11g025790.1	Nitab09g008470.1
Nitab06g013670.1	Nitab13g008140.1
Nitab10g020570.1	Nitab02g022200.1
Nitab03g012260.1	Nitab17g025630.1
Nitab05g026500.1	Nitab23g012170.1
Nitab03g026300.1	Nitab14g007150.1
Nitab16g013130.1	Nitab12g012470.1
Nitab20g005490.1	Nitab15g015570.1
Nitab10g024420.1	Nitab13g012890.1
Nitab01g015080.1	Nitab23g017140.1
Nitab06g011640.1	Nitab22g005550.1
Nitab01g019290.1	Nitab19g036670.1
Nitab06g011410.1	Nitab04g029780.1
Nitab11g022270.1	Nitab02g024590.1
Nitab20g011490.1	Nitab24g015610.1
Nitab18g014210.1	Nitab09g015610.1
Nitab08g006140.1	Nitab22g013850.1
Nitab16g016490.1	Nitab15g011670.1
Nitab03g030040.1	Nitab03g030480.1
Nitab05g025980.1	Nitab15g021890.1
Nitab09g005750.1	Nitab18g025510.1
Nitab06g021660.1	Nitab04g016600.1
Nitab16g020400.1	Nitab12g019260.1
Nitab07g014050.1	Nitab13g005370.1
Nitab18g015010.1	Nitab11g006980.1
Nitab18g013980.1	Nitab09g016380.1
Nitab21g008230.1	Nitab14g009640.1
Nitab21g005500.1	Nitab14g021910.1
Nitab13g013360.1	Nitab15g013900.1
Nitab11g017780.1	Nitab11g005510.1
Nitab03g006580.1	Nitab17g011870.1
Nitab07g018500.1	Nitab19g031820.1
Nitab20g019990.1	Nitab04g005660.1
Nitab07g030860.1	Nitab22g016460.1
Nitab13g017440.1	Nitab21g018290.1
Nitab03g014810.1	Nitab24g025100.1
Nitab01g025480.1	Nitab12g006420.1
Nitab06g029910.1	Nitab21g018790.1
Nitab16g005330.1	Nitab23g029580.1
Nitab11g020550.1	Nitab24g011590.1
Nitab01g016710.1	Nitab23g018640.1
Nitab01g015580.1	Nitab23g017840.1
Nitab03g007860.1	Nitab17g028250.1
Nitab16g021620.1	Nitab12g018630.1
Nitab03g025970.1	Nitab17g031970.1
Nitab16g006650.1	Nitab11g005420.1
Nitab22g029280.1	Nitab24g013080.1
Nitab22g034420.1	Nitab19g007490.1
Nitab20g012960.1	Nitab24g007350.1
Nitab08g014240.1	Nitab22g015310.1
Nitab11g021170.1	Nitab11g008550.1
Nitab03g026680.1	Nitab23g024800.1
Nitab17g006400.1	Nitab12g019600.1
Nitab18g005620.1	Nitab18g005030.1
Nitab01g011180.1	Nitab23g013560.1
Nitab01g021300.1	Nitab23g021180.1
Nitab22g024170.1	Nitab19g016590.1
Nitab08g006080.1	Nitab04g006630.1
Nitab11g022330.1	Nitab13g010140.1
Nitab21g007830.1	Nitab17g030420.1
Nitab06g021650.1	Nitab04g016590.1
Nitab08g016620.1	Nitab22g019600.1
Nitab06g027610.1	Nitab04g024520.1
Nitab03g016040.1	Nitab15g016710.1
Nitab18g018780.1	Nitab12g023340.1
Nitab22g028650.1	Nitab19g013790.1
Nitab07g012650.1	Nitab13g005130.1
Nitab16g015090.1	Nitab23g007100.1
Nitab20g014810.1	Nitab24g019090.1
Nitab03g011380.1	Nitab02g011030.1
Nitab06g017510.1	Nitab04g021540.1
Nitab20g020730.1	Nitab15g009480.1
Nitab22g028560.1	Nitab22g005800.1
Nitab16g022850.1	Nitab12g020830.1
Nitab10g022940.1	Nitab02g024620.1
Nitab03g021480.1	Nitab17g017190.1
Nitab08g006390.1	Nitab22g014070.1
Nitab22g036300.1	Nitab23g016340.1
Nitab10g021950.1	Nitab24g021910.1
Nitab05g012610.1	Nitab02g010440.1
Nitab08g029380.1	Nitab18g024760.1
Nitab11g006590.1	Nitab23g014400.1
Nitab03g020850.1	Nitab17g035210.1
Nitab01g022210.1	Nitab19g037100.1
Nitab22g029730.1	Nitab19g031000.1
Nitab03g008050.1	Nitab02g011340.1
Nitab03g015790.1	Nitab17g023870.1
Nitab11g020710.1	Nitab13g018260.1
Nitab06g022750.1	Nitab04g018130.1
Nitab18g015110.1	Nitab09g014760.1
Nitab06g026950.1	Nitab04g005800.1
Nitab05g013540.1	Nitab15g015950.1
Nitab10g025500.1	Nitab02g027460.1
Nitab19g022600.1	Nitab19g021340.1
Nitab01g005940.1	Nitab23g006560.1
Nitab16g008290.1	Nitab23g027920.1
Nitab06g018250.1	Nitab19g030750.1
Nitab19g021230.1	Nitab04g029270.1
Nitab11g023120.1	Nitab11g005590.1
Nitab08g021800.1	Nitab21g011150.1
Nitab16g014210.1	Nitab17g019160.1
Nitab06g011280.1	Nitab04g029300.1
Nitab10g024180.1	Nitab02g025950.1
Nitab05g005470.1	Nitab24g017440.1
Nitab03g034480.1	Nitab24g007660.1
Nitab10g007550.1	Nitab02g007360.1
Nitab03g006100.1	Nitab17g010930.1
Nitab22g033540.1	Nitab19g008370.1
Nitab16g024330.1	Nitab09g009960.1
Nitab08g009820.1	Nitab22g006800.1
Nitab05g014960.1	Nitab15g018910.1
Nitab01g014820.1	Nitab23g016510.1
Nitab20g012520.1	Nitab02g027420.1
Nitab20g021410.1	Nitab22g009040.1
Nitab05g013080.1	Nitab19g017130.1
Nitab05g008010.1	Nitab24g013520.1
Nitab11g012850.1	Nitab13g019780.1
Nitab08g024140.1	Nitab21g015060.1
Nitab20g012720.1	Nitab24g019040.1
Nitab06g029090.1	Nitab15g009760.1
Nitab05g014890.1	Nitab15g018410.1
Nitab20g015880.1	Nitab13g008100.1
Nitab06g014070.1	Nitab13g014390.1
Nitab06g006440.1	Nitab13g011170.1
Nitab20g018690.1	Nitab12g016550.1
Nitab16g022960.1	Nitab09g010770.1
Nitab03g028240.1	Nitab17g030100.1
Nitab20g017360.1	Nitab12g020540.1
Nitab08g015880.1	Nitab21g017990.1
Nitab08g019740.1	Nitab22g016230.1
Nitab01g008100.1	Nitab23g008940.1
Nitab03g007240.1	Nitab17g017500.1
Nitab18g018280.1	Nitab09g012910.1
Nitab01g024800.1	Nitab23g025240.1
Nitab11g020810.1	Nitab13g011600.1
Nitab06g029530.1	Nitab22g014250.1
Nitab22g033550.1	Nitab09g018490.1
Nitab05g012750.1	Nitab13g011790.1
Nitab07g015980.1	Nitab19g031160.1
Nitab01g014560.1	Nitab23g012990.1
Nitab05g014390.1	Nitab15g016530.1
Nitab01g005160.1	Nitab23g005480.1
Nitab03g034200.1	Nitab17g026800.1
Nitab06g013180.1	Nitab04g025360.1
Nitab08g006410.1	Nitab22g014080.1
Nitab08g006790.1	Nitab04g008060.1
Nitab05g015790.1	Nitab15g019000.1
Nitab06g028710.1	Nitab15g010020.1
Nitab07g031060.1	Nitab23g029060.1
Nitab03g009040.1	Nitab17g038110.1
Nitab08g010780.1	Nitab17g009210.1
Nitab03g011970.1	Nitab17g020930.1
Nitab20g010690.1	Nitab20g010470.1
Nitab20g025100.1	Nitab09g021590.1
Nitab01g021770.1	Nitab23g020060.1
Nitab22g035810.1	Nitab18g011500.1
Nitab06g031760.1	Nitab22g010290.1
Nitab03g018440.1	Nitab14g018430.1
Nitab10g005920.1	Nitab02g005760.1
Nitab06g011840.1	Nitab19g019800.1
Nitab01g021530.1	Nitab23g021620.1
Nitab06g005000.1	Nitab19g033700.1
Nitab20g005850.1	Nitab24g024700.1
Nitab18g018400.1	Nitab12g006380.1
Nitab10g011310.1	Nitab22g018590.1
Nitab18g013110.1	Nitab09g016710.1
Nitab01g023370.1	Nitab15g013370.1
Nitab06g010590.1	Nitab15g018390.1
Nitab10g015850.1	Nitab01g027040.1
Nitab16g014280.1	Nitab22g009980.1
Nitab03g006400.1	Nitab09g020330.1
Nitab01g005030.1	Nitab23g005590.1
Nitab03g019840.1	Nitab17g015980.1
Nitab06g026690.1	Nitab09g022650.1
Nitab07g028220.1	Nitab22g007360.1
Nitab11g017460.1	Nitab04g024650.1
Nitab05g008200.1	Nitab19g021500.1
Nitab22g023500.1	Nitab14g014700.1
Nitab05g026560.1	Nitab23g011950.1
Nitab03g035420.1	Nitab17g025670.1
Nitab21g009520.1	Nitab14g018250.1
Nitab08g027170.1	Nitab02g025910.1
Nitab06g028820.1	Nitab14g015560.1
Nitab07g009100.1	Nitab19g017620.1
Nitab05g020030.1	Nitab24g006160.1
Nitab08g021850.1	Nitab04g019230.1
Nitab18g017250.1	Nitab24g010250.1
Nitab11g026240.1	Nitab14g006710.1
Nitab05g011430.1	Nitab24g008560.1
Nitab05g028180.1	Nitab23g006640.1
Nitab06g008660.1	Nitab04g026620.1
Nitab06g009340.1	Nitab04g028810.1
Nitab05g026700.1	Nitab15g022940.1
Nitab01g017100.1	Nitab23g018780.1
Nitab01g013110.1	Nitab23g014920.1
Nitab06g024220.1	Nitab12g021090.1
Nitab16g010740.1	Nitab12g007910.1
Nitab03g015890.1	Nitab17g014140.1
