Nitab05g020030.1	Nitab24g006160.1
Nitab22g032120.1	Nitab24g010520.1
Nitab20g015260.1	Nitab15g021480.1
Nitab03g034480.1	Nitab24g007660.1
Nitab03g007860.1	Nitab17g028250.1
Nitab08g017480.1	Nitab09g019410.1
Nitab03g023500.1	Nitab17g032800.1
Nitab06g027610.1	Nitab04g024520.1
Nitab01g023370.1	Nitab15g013370.1
Nitab13g013360.1	Nitab15g013900.1
Nitab01g022710.1	Nitab15g018320.1
Nitab08g014430.1	Nitab22g015380.1
Nitab03g018440.1	Nitab14g018430.1
Nitab03g034200.1	Nitab17g026800.1
Nitab06g008660.1	Nitab04g026620.1
Nitab11g006590.1	Nitab23g014400.1
Nitab22g021860.1	Nitab17g023520.1
Nitab08g026430.1	Nitab13g016550.1
Nitab07g009540.1	Nitab19g023210.1
Nitab18g018780.1	Nitab12g023340.1
Nitab07g016830.1	Nitab24g019290.1
Nitab08g006080.1	Nitab04g006630.1
Nitab18g011160.1	Nitab09g019710.1
Nitab01g019290.1	Nitab19g036670.1
Nitab16g009200.1	Nitab16g009150.1
Nitab05g015120.1	Nitab15g014970.1
Nitab20g012720.1	Nitab24g019040.1
Nitab10g019670.1	Nitab02g021640.1
Nitab07g033200.1	Nitab14g006130.1
Nitab22g036300.1	Nitab23g016340.1
Nitab06g013730.1	Nitab19g020210.1
Nitab20g021750.1	Nitab04g009990.1
Nitab01g024200.1	Nitab23g024710.1
Nitab03g019840.1	Nitab17g015980.1
Nitab22g033550.1	Nitab09g018490.1
Nitab07g028220.1	Nitab22g007360.1
Nitab03g008450.1	Nitab13g015680.1
Nitab06g006440.1	Nitab13g011170.1
Nitab03g007310.1	Nitab17g017520.1
Nitab20g023580.1	Nitab13g016470.1
Nitab08g023850.1	Nitab21g014030.1
Nitab16g020400.1	Nitab12g019260.1
Nitab01g025920.1	Nitab02g017440.1
Nitab07g015890.1	Nitab19g029010.1
Nitab16g022960.1	Nitab09g010770.1
Nitab11g020820.1	Nitab13g018340.1
Nitab16g024330.1	Nitab09g009960.1
Nitab03g018860.1	Nitab17g037080.1
Nitab20g010690.1	Nitab20g010470.1
Nitab21g005750.1	Nitab14g021440.1
Nitab08g011800.1	Nitab22g011380.1
Nitab05g012750.1	Nitab13g011790.1
Nitab18g017250.1	Nitab24g010250.1
Nitab07g024850.1	Nitab09g022320.1
Nitab11g017460.1	Nitab04g024650.1
Nitab07g020170.1	Nitab13g018550.1
Nitab05g012510.1	Nitab24g009290.1
Nitab20g014890.1	Nitab24g005400.1
Nitab01g025780.1	Nitab01g027060.1
Nitab07g011080.1	Nitab13g006000.1
Nitab11g018870.1	Nitab21g018770.1
Nitab01g005030.1	Nitab23g005590.1
Nitab22g033780.1	Nitab09g022450.1
Nitab18g018860.1	Nitab24g014130.1
Nitab10g023250.1	Nitab18g024490.1
Nitab17g019660.1	Nitab17g036690.1
Nitab05g018840.1	Nitab24g017270.1
Nitab03g010280.1	Nitab17g013610.1
Nitab06g030030.1	Nitab04g009070.1
Nitab07g031470.1	Nitab12g019510.1
Nitab05g026720.1	Nitab19g015490.1
Nitab08g011450.1	Nitab12g012730.1
Nitab06g019190.1	Nitab17g007970.1
Nitab06g029940.1	Nitab17g029680.1
Nitab03g034920.1	Nitab04g018840.1
Nitab06g017510.1	Nitab04g021540.1
Nitab08g014070.1	Nitab12g014430.1
Nitab01g011180.1	Nitab23g013560.1
Nitab20g013850.1	Nitab04g015130.1
Nitab20g005850.1	Nitab24g024700.1
Nitab01g022210.1	Nitab19g037100.1
Nitab01g021530.1	Nitab23g021620.1
Nitab01g007930.1	Nitab23g008410.1
Nitab03g005240.1	Nitab17g008950.1
Nitab06g031760.1	Nitab22g010290.1
Nitab10g025990.1	Nitab02g027870.1
Nitab07g015980.1	Nitab19g031160.1
Nitab01g021770.1	Nitab23g020060.1
Nitab05g015790.1	Nitab15g019000.1
Nitab05g017940.1	Nitab19g010180.1
Nitab01g021300.1	Nitab23g021180.1
Nitab08g016620.1	Nitab22g019600.1
Nitab22g024170.1	Nitab19g016590.1
Nitab01g014820.1	Nitab23g016510.1
Nitab10g007790.1	Nitab23g027240.1
Nitab05g014390.1	Nitab15g016530.1
Nitab03g012060.1	Nitab17g020870.1
Nitab10g006490.1	Nitab17g018990.1
Nitab07g016290.1	Nitab09g022660.1
Nitab16g023020.1	Nitab17g024410.1
Nitab11g022270.1	Nitab02g024590.1
Nitab03g026150.1	Nitab17g031780.1
Nitab20g025100.1	Nitab09g021590.1
Nitab05g013740.1	Nitab21g013450.1
Nitab16g005540.1	Nitab23g029310.1
Nitab05g028180.1	Nitab23g006640.1
Nitab06g029090.1	Nitab15g009760.1
Nitab03g031100.1	Nitab03g024890.1
Nitab21g005230.1	Nitab02g008600.1
Nitab03g008050.1	Nitab02g011340.1
Nitab10g019330.1	Nitab02g020500.1
Nitab05g011810.1	Nitab24g009020.1
Nitab06g010760.1	Nitab13g014950.1
Nitab03g011380.1	Nitab02g011030.1
Nitab01g014560.1	Nitab23g012990.1
Nitab08g007960.1	Nitab15g008980.1
Nitab01g010280.1	Nitab23g012620.1
Nitab11g026640.1	Nitab13g005460.1
Nitab20g014810.1	Nitab24g019090.1
Nitab05g025980.1	Nitab15g021890.1
Nitab22g028560.1	Nitab22g005800.1
Nitab03g012260.1	Nitab17g025630.1
Nitab11g021170.1	Nitab11g008550.1
Nitab05g008000.1	Nitab24g013530.1
Nitab22g034420.1	Nitab19g007490.1
Nitab03g020850.1	Nitab17g035210.1
Nitab06g017650.1	Nitab13g015250.1
Nitab20g011490.1	Nitab24g015610.1
Nitab03g034690.1	Nitab17g026380.1
Nitab08g024170.1	Nitab21g015160.1
Nitab03g011240.1	Nitab04g014850.1
Nitab20g018820.1	Nitab12g015890.1
Nitab13g027130.1	Nitab02g012160.1
Nitab10g022940.1	Nitab02g024620.1
Nitab20g023410.1	Nitab13g006560.1
Nitab03g014810.1	Nitab24g025100.1
Nitab01g015690.1	Nitab22g011600.1
Nitab03g021690.1	Nitab17g034230.1
Nitab17g012800.1	Nitab18g007310.1
Nitab20g022040.1	Nitab15g008660.1
Nitab16g016180.1	Nitab24g015930.1
Nitab06g009770.1	Nitab19g035420.1
Nitab01g013110.1	Nitab23g014920.1
Nitab22g036400.1	Nitab19g005210.1
Nitab20g014690.1	Nitab24g018720.1
Nitab20g023810.1	Nitab14g009960.1
Nitab06g009590.1	Nitab04g005390.1
Nitab06g028820.1	Nitab14g015560.1
Nitab08g027000.1	Nitab02g027840.1
Nitab06g011280.1	Nitab04g029300.1
Nitab22g032770.1	Nitab19g008920.1
Nitab06g005000.1	Nitab19g033700.1
Nitab16g010040.1	Nitab12g007160.1
Nitab10g024070.1	Nitab02g025860.1
Nitab08g018480.1	Nitab19g019430.1
Nitab08g006390.1	Nitab22g014070.1
Nitab16g016490.1	Nitab15g011670.1
Nitab08g020020.1	Nitab17g017130.1
Nitab22g029010.1	Nitab19g014330.1
Nitab20g005200.1	Nitab13g011020.1
Nitab17g006400.1	Nitab12g019600.1
Nitab06g029210.1	Nitab23g008120.1
Nitab06g029530.1	Nitab22g014250.1
Nitab08g019870.1	Nitab23g006690.1
Nitab11g020810.1	Nitab13g011600.1
Nitab07g025400.1	Nitab14g013480.1
Nitab10g019620.1	Nitab17g038070.1
Nitab05g011050.1	Nitab10g010200.1
Nitab08g021100.1	Nitab21g010730.1
Nitab07g027990.1	Nitab14g011210.1
Nitab03g034190.1	Nitab17g026810.1
Nitab11g012850.1	Nitab13g019780.1
Nitab20g024970.1	Nitab09g021640.1
Nitab05g007380.1	Nitab19g020760.1
Nitab03g035420.1	Nitab17g025670.1
Nitab03g015890.1	Nitab17g014140.1
Nitab01g006640.1	Nitab17g010400.1
Nitab16g020900.1	Nitab13g021920.1
Nitab05g010590.1	Nitab02g011580.1
Nitab08g011050.1	Nitab19g015140.1
Nitab10g025500.1	Nitab02g027460.1
Nitab16g025080.1	Nitab12g022460.1
Nitab05g021770.1	Nitab15g016020.1
Nitab01g024880.1	Nitab23g025320.1
Nitab03g028210.1	Nitab17g030150.1
Nitab08g014240.1	Nitab22g015310.1
Nitab07g029720.1	Nitab14g009780.1
Nitab08g008680.1	Nitab04g012680.1
Nitab07g009100.1	Nitab19g017620.1
Nitab20g015880.1	Nitab13g008100.1
Nitab20g015180.1	Nitab15g021330.1
Nitab08g010780.1	Nitab17g009210.1
Nitab07g027540.1	Nitab04g028490.1
Nitab01g017920.1	Nitab13g015510.1
Nitab03g031230.1	Nitab24g011770.1
Nitab06g031560.1	Nitab17g007740.1
Nitab08g019740.1	Nitab22g016230.1
Nitab18g015110.1	Nitab09g014760.1
Nitab06g028710.1	Nitab15g010020.1
Nitab01g026030.1	Nitab02g017110.1
Nitab22g035810.1	Nitab18g011500.1
Nitab08g028800.1	Nitab21g020120.1
Nitab06g022850.1	Nitab04g016050.1
Nitab20g010120.1	Nitab24g019960.1
Nitab03g007240.1	Nitab17g017500.1
Nitab06g014070.1	Nitab13g014390.1
Nitab03g012870.1	Nitab14g019110.1
Nitab07g031060.1	Nitab23g029060.1
Nitab03g006460.1	Nitab17g018540.1
Nitab21g011930.1	Nitab23g025160.1
Nitab10g008350.1	Nitab24g011460.1
Nitab06g020260.1	Nitab04g019020.1
Nitab08g027170.1	Nitab02g025910.1
Nitab09g007610.1	Nitab09g008340.1
Nitab05g026560.1	Nitab23g011950.1
Nitab21g005530.1	Nitab14g021940.1
Nitab21g005500.1	Nitab14g021910.1
Nitab06g021660.1	Nitab04g016600.1
Nitab22g028650.1	Nitab19g013790.1
Nitab11g023420.1	Nitab11g007940.1
Nitab01g013830.1	Nitab23g015840.1
Nitab07g012650.1	Nitab13g005130.1
Nitab16g008290.1	Nitab23g027920.1
Nitab16g016200.1	Nitab06g035390.1
Nitab10g015850.1	Nitab01g027040.1
Nitab10g015220.1	Nitab23g015590.1
Nitab07g032230.1	Nitab19g028870.1
Nitab05g007960.1	Nitab19g021070.1
Nitab11g020710.1	Nitab13g018260.1
Nitab21g008230.1	Nitab14g009640.1
Nitab10g023570.1	Nitab02g025190.1
Nitab20g011450.1	Nitab24g015710.1
Nitab03g021100.1	Nitab04g027260.1
