Nsyl,Ntom,HEB,p_value,q_value
Nitab20g005930.1,Nitab17g037690.1,11.106611005840099,0.0,0.0
Nitab20g009520.1,Nitab09g014530.1,7.8752574275654,0.0,0.0
Nitab20g010310.1,Nitab12g010990.1,8.207241865926232,0.0,0.0
Nitab20g020220.1,Nitab22g014100.1,8.890722003179247,0.0,0.0
Nitab20g021260.1,Nitab19g034010.1,6.81485243869076,0.0,0.0
Nitab08g007230.1,Nitab04g011730.1,10.380106605718705,0.0,0.0
Nitab08g016010.1,Nitab22g020560.1,6.535722302682226,0.0,0.0
Nitab08g018110.1,Nitab22g022860.1,7.71075001735643,0.0,0.0
Nitab08g021540.1,Nitab24g018450.1,7.061581129903862,0.0,0.0
Nitab08g022070.1,Nitab19g030710.1,7.149204255933155,0.0,0.0
Nitab08g023050.1,Nitab10g005180.1,8.557623340659056,0.0,0.0
Nitab08g023140.1,Nitab21g013520.1,5.878403956209825,0.0,0.0
Nitab08g026580.1,Nitab21g018130.1,6.792193249710364,0.0,0.0
Nitab09g005650.1,Nitab17g020000.1,11.63806194371188,0.0,0.0
Nitab09g006800.1,Nitab21g020870.1,8.353188530352893,0.0,0.0
Nitab09g020220.1,Nitab04g015400.1,8.183626338234452,0.0,0.0
Nitab06g014270.1,Nitab24g013800.1,7.371158576679004,0.0,0.0
Nitab06g019710.1,Nitab21g011280.1,6.307321474754693,0.0,0.0
Nitab06g022790.1,Nitab24g016180.1,8.959794405290896,0.0,0.0
Nitab06g033650.1,Nitab07g031770.1,6.249969387488973,0.0,0.0
Nitab13g016300.1,Nitab04g024290.1,8.592533654379048,0.0,0.0
Nitab13g025850.1,Nitab11g007450.1,7.778191080540168,0.0,0.0
Nitab03g008000.1,Nitab17g016120.1,6.523966472945308,0.0,0.0
Nitab03g017920.1,Nitab14g018330.1,6.13568397554228,0.0,0.0
Nitab03g027590.1,Nitab23g011880.1,8.854324056255049,0.0,0.0
Nitab03g028570.1,Nitab17g016820.1,8.857336645387477,0.0,0.0
Nitab03g031350.1,Nitab03g033420.1,8.18740533394906,0.0,0.0
Nitab03g035550.1,Nitab17g020710.1,8.380434958093344,0.0,0.0
Nitab11g016760.1,Nitab04g021390.1,6.756370006114057,0.0,0.0
Nitab11g018210.1,Nitab13g014710.1,8.219310842529723,0.0,0.0
Nitab11g021970.1,Nitab17g037620.1,8.607817918583025,0.0,0.0
Nitab11g026170.1,Nitab04g015700.1,12.075051519551787,0.0,0.0
Nitab11g025810.1,Nitab14g014600.1,7.935576356065381,0.0,0.0
Nitab10g008690.1,Nitab24g008960.1,8.665497395107963,0.0,0.0
Nitab10g009040.1,Nitab02g024030.1,6.6091285171233825,0.0,0.0
Nitab10g009300.1,Nitab16g009190.1,7.969374606228326,0.0,0.0
Nitab10g010540.1,Nitab02g009570.1,7.844673598498435,0.0,0.0
Nitab10g019340.1,Nitab02g020520.1,7.299677977376379,0.0,0.0
Nitab10g019470.1,Nitab21g016220.1,9.56677037535794,0.0,0.0
Nitab10g020790.1,Nitab12g006870.1,7.464123182334278,0.0,0.0
Nitab10g021660.1,Nitab23g025330.1,8.33421874996609,0.0,0.0
Nitab10g022500.1,Nitab13g012660.1,6.775171820135253,0.0,0.0
Nitab10g025310.1,Nitab23g026060.1,9.403367528552984,0.0,0.0
Nitab01g006270.1,Nitab15g023770.1,9.650929979826854,0.0,0.0
Nitab01g009030.1,Nitab23g018890.1,8.805341262878677,0.0,0.0
Nitab01g010630.1,Nitab23g012970.1,8.675814211679342,0.0,0.0
Nitab01g011060.1,Nitab13g008850.1,8.28975298778078,0.0,0.0
Nitab01g016160.1,Nitab23g018550.1,7.3332870529424286,0.0,0.0
Nitab01g023670.1,Nitab23g024350.1,6.6034665262020305,0.0,0.0
Nitab01g026440.1,Nitab08g009250.1,10.84282970681934,0.0,0.0
Nitab16g007940.1,Nitab17g011340.1,6.036242992145308,0.0,0.0
Nitab16g013560.1,Nitab12g010680.1,7.373705576414284,0.0,0.0
Nitab16g021030.1,Nitab12g019980.1,7.200297297658585,0.0,0.0
Nitab16g021300.1,Nitab15g013010.1,9.192295986597992,0.0,0.0
Nitab16g023060.1,Nitab12g020310.1,7.189505970067785,0.0,0.0
Nitab07g007930.1,Nitab19g034290.1,10.49137197383488,0.0,0.0
Nitab07g010190.1,Nitab24g016860.1,7.833571654635274,0.0,0.0
Nitab07g015460.1,Nitab19g028560.1,8.257170594913699,0.0,0.0
Nitab07g022030.1,Nitab19g039020.1,7.7230644794140435,0.0,0.0
Nitab07g024960.1,Nitab14g009870.1,10.668682621523505,0.0,0.0
Nitab07g026050.1,Nitab02g026280.1,10.31500557370207,0.0,0.0
Nitab07g024870.1,Nitab14g009990.1,6.821876530769264,0.0,0.0
Nitab07g030770.1,Nitab19g036010.1,8.205238252292915,0.0,0.0
Nitab07g029500.1,Nitab07g031760.1,11.078001637109304,0.0,0.0
Nitab18g018670.1,Nitab17g015440.1,6.013832726413649,0.0,0.0
Nitab17g006110.1,Nitab15g008990.1,7.7352897316016245,0.0,0.0
Nitab17g006320.1,Nitab22g010230.1,12.722442820506506,0.0,0.0
Nitab17g025890.1,Nitab21g010860.1,7.989562193487077,0.0,0.0
Nitab05g006590.1,Nitab19g026550.1,8.386729151411298,0.0,0.0
Nitab05g012340.1,Nitab02g006740.1,10.618834682532604,0.0,0.0
Nitab05g018530.1,Nitab24g021240.1,8.250183530824904,0.0,0.0
Nitab05g023310.1,Nitab17g024710.1,6.346271609412751,0.0,0.0
Nitab05g025190.1,Nitab14g019750.1,8.815774288638039,0.0,0.0
Nitab05g027500.1,Nitab12g015150.1,9.042288325534,0.0,0.0
Nitab14g005490.1,Nitab14g006590.1,10.059262929515812,0.0,0.0
Nitab23g011210.1,Nitab23g008480.1,8.62045770704984,0.0,0.0
Nitab22g034730.1,Nitab19g007180.1,8.428929729056986,0.0,0.0
Nitab08g006990.1,Nitab22g009860.1,6.0004296978083085,1.11022302463e-16,7.82437178112e-15
Nitab03g020340.1,Nitab12g007900.1,7.142395182035966,1.11022302463e-16,7.74068866046e-15
Nitab03g031840.1,Nitab17g021310.1,5.94356841362402,1.11022302463e-16,7.69951478461e-15
Nitab11g006260.1,Nitab12g018940.1,5.711341611583403,1.11022302463e-16,7.65877661114e-15
Nitab11g013150.1,Nitab04g032470.1,6.22870948606429,1.11022302463e-16,7.61846726056e-15
Nitab07g007900.1,Nitab02g019580.1,5.816647368443611,1.11022302463e-16,7.31065040155e-15
Nitab11g011860.1,Nitab13g022190.1,5.8367611962472035,2.22044604925e-16,1.41912625442e-14
Nitab17g006430.1,Nitab17g009770.1,7.4609156408924004,2.22044604925e-16,1.40534832962e-14
Nitab05g017680.1,Nitab09g022480.1,5.976627185631801,2.22044604925e-16,1.39855920725e-14
Nitab08g020730.1,Nitab04g015200.1,7.10467008583991,3.33066907388e-16,2.08775304736e-14
Nitab11g025590.1,Nitab13g014680.1,5.877274586036434,3.33066907388e-16,2.06786968501e-14
Nitab17g022660.1,Nitab23g022050.1,6.152228995470936,3.33066907388e-16,2.04836148043e-14
Nitab03g009260.1,Nitab17g025040.1,6.628649561639877,5.55111512313e-16,3.35071476738e-14
Nitab05g018990.1,Nitab04g030040.1,5.850555967820978,5.55111512313e-16,3.3352736855e-14
Nitab20g007950.1,Nitab12g010200.1,6.093644009951898,6.66133814775e-16,3.98396911791e-14
Nitab18g022770.1,Nitab12g016400.1,5.4290089472271825,6.66133814775e-16,3.94775121684e-14
Nitab18g020000.1,Nitab04g007390.1,5.611514466506179,8.881784197e-16,5.19285660809e-14
Nitab07g024890.1,Nitab15g006540.1,5.34687296252426,9.99200722163e-16,5.81588348909e-14
Nitab10g025470.1,Nitab13g013090.1,5.603148166398464,1.11022302463e-15,6.43337235336e-14
Nitab05g023870.1,Nitab15g020970.1,6.43394883371283,1.22124532709e-15,6.98359498885e-14
Nitab06g016720.1,Nitab04g022170.1,6.371102543737242,1.44328993201e-15,8.18157136243e-14
Nitab06g029110.1,Nitab15g009790.1,5.539100290290396,1.44328993201e-15,8.14615330458e-14
Nitab20g010320.1,Nitab24g019700.1,5.786513158054397,2.55351295664e-15,1.40475535564e-13
Nitab08g029810.1,Nitab21g021280.1,5.4439085920584676,2.6645352591e-15,1.4535653016e-13
Nitab18g022690.1,Nitab04g029850.1,5.326949169513513,2.99760216649e-15,1.62169033389e-13
Nitab01g008760.1,Nitab23g009230.1,6.526669719289194,3.99680288865e-15,2.11830553098e-13
Nitab11g026720.1,Nitab19g024680.1,5.409039929945833,5.21804821574e-15,2.73224548742e-13
Nitab22g036790.1,Nitab19g005140.1,5.888733801844896,5.21804821574e-15,2.72131650547e-13
Nitab16g024440.1,Nitab12g021590.1,6.00690404775583,6.55031584529e-15,3.34913796043e-13
Nitab05g016310.1,Nitab23g029610.1,5.961595171988187,7.43849426499e-15,3.7590344274e-13
Nitab18g011040.1,Nitab17g018460.1,7.071629201002271,7.66053886991e-15,3.85629752069e-13
Nitab03g031570.1,Nitab03g033220.1,5.336643828262461,7.77156117238e-15,3.86738986891e-13
Nitab06g014020.1,Nitab13g016920.1,6.58664561341952,1.0325074129e-14,5.09917865508e-13
Nitab08g006220.1,Nitab15g010200.1,5.765381842020639,1.04360964315e-14,5.11525658923e-13
Nitab06g016650.1,Nitab09g015420.1,5.9177540290342865,1.12132525487e-14,5.45516368396e-13
Nitab20g013690.1,Nitab22g021390.1,5.0756187796590515,1.57651669497e-14,7.58473235018e-13
Nitab03g023550.1,Nitab06g024950.1,5.661213920193497,1.74305014866e-14,8.35510582289e-13
Nitab07g012440.1,Nitab19g024700.1,5.373160516010643,1.76525460915e-14,8.43054563888e-13
Nitab04g026140.1,Nitab04g026150.1,5.496351017177237,1.93178806285e-14,9.12559882732e-13
Nitab07g015070.1,Nitab22g017150.1,5.213373885174197,2.29816166097e-14,1.07395812673e-12
Nitab16g013530.1,Nitab12g010700.1,6.914375128466822,2.40918396344e-14,1.12181930412e-12
Nitab03g029560.1,Nitab17g013510.1,5.306570785207523,2.88657986403e-14,1.33458256267e-12
Nitab01g020090.1,Nitab23g019120.1,5.094672334904274,3.85247389545e-14,1.72015598113e-12
Nitab14g005760.1,Nitab14g009820.1,5.038088139805821,4.04121180964e-14,1.79215372701e-12
Nitab14g005580.1,Nitab13g006210.1,5.16275981698002,4.59632332195e-14,2.02455619836e-12
Nitab05g012490.1,Nitab02g007130.1,5.210492675177309,4.61852778244e-14,2.0274870447e-12
Nitab06g016820.1,Nitab04g010890.1,5.755697301386375,4.7517545454e-14,2.07897234104e-12
Nitab08g006370.1,Nitab22g014050.1,5.072408920115269,5.184741525e-14,2.24580265791e-12
Nitab06g035110.1,Nitab04g013330.1,5.349700720640924,6.3615779311e-14,2.73736808798e-12
