Nitab20g005050.1	Nitab04g026460.1
Nitab20g005140.1	Nitab14g014680.1
Nitab20g005200.1	Nitab13g011020.1
Nitab20g005210.1	Nitab13g024140.1
Nitab20g005230.1	Nitab04g026780.1
Nitab20g005240.1	Nitab13g023960.1
Nitab20g005490.1	Nitab15g015570.1
Nitab20g005480.1	Nitab15g015580.1
Nitab20g005670.1	Nitab24g025030.1
Nitab20g005550.1	Nitab24g025090.1
Nitab20g005570.1	Nitab24g025110.1
Nitab20g005620.1	Nitab24g025060.1
Nitab20g005640.1	Nitab17g030580.1
Nitab20g005590.1	Nitab24g025080.1
Nitab20g005600.1	Nitab24g025070.1
Nitab20g005630.1	Nitab04g016440.1
Nitab20g005790.1	Nitab24g025150.1
Nitab20g005800.1	Nitab24g025160.1
Nitab20g005720.1	Nitab24g025000.1
Nitab20g005750.1	Nitab01g029070.1
Nitab20g005710.1	Nitab24g025010.1
Nitab20g005760.1	Nitab01g029100.1
Nitab20g005890.1	Nitab24g024650.1
Nitab20g005900.1	Nitab24g024640.1
Nitab20g005910.1	Nitab12g009280.1
Nitab20g005820.1	Nitab24g024730.1
Nitab20g005850.1	Nitab24g024700.1
Nitab20g005870.1	Nitab24g024680.1
Nitab20g005830.1	Nitab24g024720.1
Nitab20g005860.1	Nitab24g024670.1
Nitab20g005880.1	Nitab24g024690.1
Nitab20g006000.1	Nitab24g024580.1
Nitab20g006010.1	Nitab24g024570.1
Nitab20g006020.1	Nitab24g024560.1
Nitab20g005920.1	Nitab04g025960.1
Nitab20g005930.1	Nitab17g037690.1
Nitab20g005960.1	Nitab24g024610.1
Nitab20g005990.1	Nitab24g024590.1
Nitab20g005940.1	Nitab04g011940.1
Nitab20g005970.1	Nitab24g024600.1
Nitab20g006050.1	Nitab24g024520.1
Nitab20g006030.1	Nitab24g024540.1
Nitab20g006070.1	Nitab24g024510.1
Nitab20g006120.1	Nitab24g024430.1
Nitab20g006130.1	Nitab23g016580.1
Nitab20g006140.1	Nitab24g024450.1
Nitab20g006090.1	Nitab24g024420.1
Nitab20g006100.1	Nitab24g024410.1
Nitab20g006080.1	Nitab24g024390.1
Nitab20g006110.1	Nitab24g024400.1
Nitab20g006150.1	Nitab24g024460.1
Nitab20g006160.1	Nitab24g024470.1
Nitab20g006170.1	Nitab17g020680.1
Nitab20g006200.1	Nitab24g024490.1
Nitab20g006230.1	Nitab24g024380.1
Nitab20g006210.1	Nitab24g024500.1
Nitab20g006250.1	Nitab24g024350.1
Nitab20g006260.1	Nitab24g024370.1
Nitab20g006310.1	Nitab24g024330.1
Nitab20g006350.1	Nitab24g024310.1
Nitab20g006320.1	Nitab24g024320.1
Nitab20g006470.1	Nitab24g024200.1
Nitab20g006490.1	Nitab24g024190.1
Nitab20g006370.1	Nitab24g024280.1
Nitab20g006410.1	Nitab24g024240.1
Nitab20g006420.1	Nitab24g024230.1
Nitab20g006430.1	Nitab12g009560.1
Nitab20g006380.1	Nitab24g024270.1
Nitab20g006390.1	Nitab24g024260.1
Nitab20g006400.1	Nitab24g024250.1
Nitab20g006510.1	Nitab24g024160.1
Nitab20g006530.1	Nitab24g024150.1
Nitab20g006550.1	Nitab21g014170.1
Nitab20g006580.1	Nitab24g024130.1
Nitab20g006650.1	Nitab24g024100.1
Nitab20g006640.1	Nitab24g024120.1
Nitab20g006710.1	Nitab24g024060.1
Nitab20g006680.1	Nitab24g024080.1
Nitab20g006690.1	Nitab24g024070.1
Nitab20g006670.1	Nitab19g009940.1
Nitab20g006660.1	Nitab24g024090.1
Nitab20g006730.1	Nitab24g024050.1
Nitab20g006760.1	Nitab24g024030.1
Nitab20g006750.1	Nitab24g024040.1
Nitab20g006780.1	Nitab24g024020.1
Nitab20g006800.1	Nitab02g018730.1
Nitab20g006830.1	Nitab04g023860.1
Nitab20g006850.1	Nitab12g009710.1
Nitab20g006890.1	Nitab24g023930.1
Nitab20g006900.1	Nitab24g023910.1
Nitab20g006960.1	Nitab24g023850.1
Nitab20g006980.1	Nitab22g008560.1
Nitab20g006950.1	Nitab17g037770.1
Nitab20g007010.1	Nitab24g023780.1
Nitab20g006910.1	Nitab04g031870.1
Nitab20g006920.1	Nitab24g023890.1
Nitab20g006940.1	Nitab24g023870.1
Nitab20g007040.1	Nitab24g023770.1
Nitab20g007100.1	Nitab24g023730.1
Nitab20g007110.1	Nitab24g023740.1
Nitab20g007130.1	Nitab24g023720.1
Nitab20g007080.1	Nitab24g023800.1
Nitab20g007170.1	Nitab24g023680.1
Nitab20g007180.1	Nitab24g023670.1
Nitab20g007190.1	Nitab02g021490.1
Nitab20g007150.1	Nitab24g023710.1
Nitab20g007200.1	Nitab24g023660.1
Nitab20g007210.1	Nitab22g019610.1
Nitab20g007230.1	Nitab15g012910.1
Nitab20g007280.1	Nitab24g023650.1
