Nitab22g034730.1	Nitab19g007180.1
Nitab13g026950.1	Nitab13g009570.1
Nitab06g011300.1	Nitab24g013610.1
Nitab06g013470.1	Nitab04g028050.1
Nitab10g020280.1	Nitab02g019590.1
Nitab06g014000.1	Nitab13g008160.1
Nitab10g019550.1	Nitab21g016540.1
Nitab03g022780.1	Nitab17g033410.1
Nitab03g026250.1	Nitab17g031750.1
Nitab21g006470.1	Nitab14g020810.1
Nitab05g010020.1	Nitab02g007800.1
Nitab10g021240.1	Nitab12g006940.1
Nitab08g006210.1	Nitab22g013900.1
Nitab20g007780.1	Nitab09g015150.1
Nitab05g010920.1	Nitab24g012390.1
Nitab07g029600.1	Nitab14g010050.1
Nitab22g030740.1	Nitab17g009980.1
Nitab10g019870.1	Nitab02g021060.1
Nitab14g005580.1	Nitab13g006210.1
Nitab06g008890.1	Nitab04g028780.1
Nitab08g027180.1	Nitab21g018560.1
Nitab10g017090.1	Nitab02g017180.1
Nitab06g023110.1	Nitab24g018330.1
Nitab03g034760.1	Nitab12g005300.1
Nitab06g007210.1	Nitab04g030830.1
Nitab20g017780.1	Nitab23g005060.1
Nitab22g031180.1	Nitab08g009130.1
Nitab10g020450.1	Nitab02g020960.1
Nitab11g015340.1	Nitab23g027300.1
Nitab03g023550.1	Nitab06g024950.1
Nitab03g022500.1	Nitab15g019910.1
Nitab16g026120.1	Nitab09g010720.1
Nitab03g027610.1	Nitab17g030540.1
Nitab07g032400.1	Nitab13g006590.1
Nitab06g030520.1	Nitab06g030480.1
Nitab10g016860.1	Nitab02g017100.1
Nitab07g020860.1	Nitab22g010350.1
Nitab05g026930.1	Nitab23g010620.1
Nitab01g006720.1	Nitab14g007460.1
Nitab22g036140.1	Nitab24g007870.1
Nitab18g010110.1	Nitab17g011820.1
Nitab06g022790.1	Nitab24g016180.1
Nitab20g007770.1	Nitab12g023570.1
Nitab07g030770.1	Nitab19g036010.1
Nitab19g016100.1	Nitab19g016110.1
Nitab08g012900.1	Nitab22g012710.1
Nitab20g012100.1	Nitab18g016530.1
Nitab03g021140.1	Nitab22g006960.1
Nitab03g034560.1	Nitab17g026460.1
Nitab16g020430.1	Nitab12g019240.1
Nitab10g005850.1	Nitab02g005740.1
Nitab02g021180.1	Nitab02g019810.1
Nitab06g032190.1	Nitab04g010610.1
Nitab22g023140.1	Nitab14g014530.1
Nitab20g021390.1	Nitab15g009170.1
Nitab22g035350.1	Nitab09g021750.1
Nitab11g011320.1	Nitab13g022590.1
Nitab10g017100.1	Nitab02g017190.1
Nitab10g026420.1	Nitab02g028360.1
Nitab20g012900.1	Nitab20g013060.1
Nitab10g005500.1	Nitab04g014350.1
Nitab07g030800.1	Nitab19g012220.1
Nitab17g022730.1	Nitab17g018430.1
Nitab07g005150.1	Nitab19g021420.1
Nitab13g027220.1	Nitab23g026610.1
Nitab10g018250.1	Nitab02g018460.1
Nitab10g026020.1	Nitab23g014970.1
Nitab07g012920.1	Nitab23g023270.1
Nitab05g018990.1	Nitab04g030040.1
Nitab10g006770.1	Nitab02g006370.1
Nitab10g016820.1	Nitab17g016750.1
Nitab01g020090.1	Nitab23g019120.1
Nitab10g023140.1	Nitab02g024830.1
Nitab06g028410.1	Nitab04g007450.1
Nitab17g027540.1	Nitab23g024310.1
Nitab21g008760.1	Nitab17g015930.1
Nitab08g024190.1	Nitab02g018910.1
Nitab01g023670.1	Nitab23g024350.1
Nitab20g013780.1	Nitab24g016340.1
Nitab08g017310.1	Nitab09g019050.1
Nitab03g034330.1	Nitab03g024960.1
Nitab13g026770.1	Nitab13g009490.1
Nitab11g011200.1	Nitab09g016550.1
Nitab18g008560.1	Nitab08g015620.1
Nitab18g010210.1	Nitab17g018380.1
Nitab07g010890.1	Nitab19g012990.1
Nitab18g019110.1	Nitab18g024200.1
Nitab05g015020.1	Nitab24g005060.1
Nitab16g026100.1	Nitab12g023310.1
Nitab16g023900.1	Nitab04g015280.1
Nitab05g010810.1	Nitab24g012610.1
Nitab22g030490.1	Nitab15g014080.1
Nitab07g006620.1	Nitab24g013770.1
Nitab07g013590.1	Nitab07g013220.1
Nitab13g021050.1	Nitab04g010580.1
Nitab11g020650.1	Nitab13g011680.1
Nitab06g027450.1	Nitab04g006350.1
Nitab07g007900.1	Nitab02g019580.1
Nitab08g011180.1	Nitab12g006410.1
Nitab20g014510.1	Nitab24g018550.1
Nitab06g029950.1	Nitab13g014070.1
Nitab16g014360.1	Nitab02g011630.1
Nitab04g026140.1	Nitab04g026150.1
Nitab18g019060.1	Nitab09g009830.1
Nitab05g019980.1	Nitab23g029270.1
Nitab06g035110.1	Nitab04g013330.1
Nitab06g011450.1	Nitab04g029820.1
Nitab22g032950.1	Nitab17g020570.1
Nitab16g023980.1	Nitab17g009900.1
Nitab11g006260.1	Nitab12g018940.1
Nitab20g006830.1	Nitab04g023860.1
Nitab06g027140.1	Nitab21g018420.1
Nitab07g010230.1	Nitab19g026480.1
Nitab10g006900.1	Nitab23g020370.1
Nitab21g007110.1	Nitab14g020480.1
Nitab05g016700.1	Nitab02g005270.1
Nitab06g033950.1	Nitab04g012420.1
Nitab06g033690.1	Nitab04g012290.1
Nitab16g017000.1	Nitab12g015140.1
Nitab08g018110.1	Nitab22g022860.1
Nitab16g007940.1	Nitab17g011340.1
Nitab03g014450.1	Nitab17g039710.1
Nitab07g012100.1	Nitab19g024060.1
Nitab11g018560.1	Nitab24g010560.1
Nitab07g013700.1	Nitab07g013140.1
Nitab01g025460.1	Nitab09g011160.1
Nitab10g005950.1	Nitab02g005880.1
Nitab03g005490.1	Nitab02g012500.1
Nitab07g008550.1	Nitab19g018010.1
Nitab08g013060.1	Nitab22g012510.1
Nitab08g023260.1	Nitab02g016120.1
Nitab06g019170.1	Nitab17g007840.1
Nitab06g017290.1	Nitab04g021700.1
Nitab05g008800.1	Nitab24g012670.1
Nitab18g018110.1	Nitab21g013060.1
Nitab03g020550.1	Nitab17g016890.1
Nitab06g035150.1	Nitab15g008590.1
Nitab06g022150.1	Nitab04g017380.1
Nitab08g015440.1	Nitab05g016030.1
Nitab09g020220.1	Nitab04g015400.1
Nitab08g007690.1	Nitab17g007400.1
Nitab07g007680.1	Nitab19g020990.1
Nitab08g007710.1	Nitab17g007410.1
Nitab10g007520.1	Nitab13g011820.1
Nitab05g018300.1	Nitab16g014890.1
Nitab06g017460.1	Nitab19g024160.1
Nitab21g010620.1	Nitab14g016470.1
Nitab22g035770.1	Nitab19g006460.1
Nitab07g024900.1	Nitab14g009950.1
Nitab18g012150.1	Nitab22g017810.1
Nitab06g024480.1	Nitab24g018020.1
Nitab20g021260.1	Nitab19g034010.1
Nitab06g025980.1	Nitab04g014170.1
Nitab01g024400.1	Nitab09g014910.1
Nitab07g027280.1	Nitab22g011770.1
Nitab03g008000.1	Nitab17g016120.1
Nitab11g014330.1	Nitab12g022410.1
Nitab16g015880.1	Nitab22g021420.1
Nitab11g016740.1	Nitab02g011310.1
Nitab01g020690.1	Nitab05g025740.1
Nitab05g023490.1	Nitab15g020670.1
Nitab16g005210.1	Nitab23g029420.1
Nitab11g026910.1	Nitab19g026230.1
Nitab06g032180.1	Nitab04g010600.1
Nitab20g020240.1	Nitab15g010040.1
Nitab03g013810.1	Nitab14g016520.1
Nitab20g019340.1	Nitab04g025010.1
Nitab06g015670.1	Nitab04g023350.1
Nitab01g010370.1	Nitab23g012540.1
Nitab01g014120.1	Nitab23g016090.1
Nitab21g008260.1	Nitab23g024400.1
Nitab05g027730.1	Nitab14g018600.1
Nitab11g012300.1	Nitab13g008640.1
Nitab03g031840.1	Nitab17g021310.1
Nitab07g012560.1	Nitab23g023130.1
Nitab07g006420.1	Nitab17g037030.1
Nitab09g006800.1	Nitab21g020870.1
Nitab22g023170.1	Nitab15g006430.1
Nitab18g008020.1	Nitab09g017010.1
Nitab11g012450.1	Nitab13g008660.1
Nitab10g014730.1	Nitab02g014270.1
Nitab06g021930.1	Nitab04g017080.1
Nitab03g022310.1	Nitab17g017680.1
Nitab01g012870.1	Nitab17g018200.1
Nitab18g022690.1	Nitab04g029850.1
Nitab18g011860.1	Nitab09g017760.1
Nitab20g022660.1	Nitab21g013600.1
Nitab07g009030.1	Nitab17g023550.1
Nitab08g016420.1	Nitab02g011910.1
Nitab01g013660.1	Nitab22g010130.1
Nitab06g032680.1	Nitab04g011190.1
Nitab13g026840.1	Nitab23g026530.1
Nitab08g005440.1	Nitab22g013090.1
Nitab22g036110.1	Nitab19g007450.1
Nitab05g023840.1	Nitab15g019970.1
Nitab10g025300.1	Nitab21g018250.1
Nitab18g009730.1	Nitab22g018850.1
Nitab06g019890.1	Nitab21g011160.1
Nitab16g023230.1	Nitab15g013100.1
Nitab01g019360.1	Nitab13g010170.1
Nitab18g012050.1	Nitab09g017190.1
Nitab10g009210.1	Nitab02g008640.1
Nitab05g024350.1	Nitab15g014280.1
Nitab14g005510.1	Nitab15g006740.1
Nitab11g009860.1	Nitab04g026790.1
Nitab18g015450.1	Nitab24g021800.1
Nitab07g032200.1	Nitab14g007960.1
Nitab12g025490.1	Nitab02g009470.1
Nitab06g021980.1	Nitab04g017010.1
Nitab01g027250.1	Nitab02g018290.1
Nitab04g020220.1	Nitab21g011590.1
Nitab03g035560.1	Nitab14g021960.1
