Nitab13g026770.1	Nitab13g009490.1
Nitab11g026170.1	Nitab04g015700.1
Nitab01g006270.1	Nitab15g023770.1
Nitab01g009030.1	Nitab23g018890.1
Nitab16g025860.1	Nitab12g022580.1
Nitab17g006110.1	Nitab15g008990.1
Nitab17g025890.1	Nitab21g010860.1
Nitab05g023310.1	Nitab17g024710.1
Nitab18g018670.1	Nitab17g015440.1
Nitab10g006910.1	Nitab24g011750.1
Nitab07g019340.1	Nitab19g032550.1
Nitab06g035240.1	Nitab24g017990.1
Nitab13g016300.1	Nitab04g024290.1
Nitab18g008020.1	Nitab09g017010.1
Nitab05g006890.1	Nitab04g023040.1
Nitab10g010770.1	Nitab24g012200.1
Nitab07g030770.1	Nitab19g036010.1
Nitab18g018110.1	Nitab21g013060.1
Nitab08g016420.1	Nitab02g011910.1
Nitab05g015490.1	Nitab22g021530.1
Nitab20g020260.1	Nitab04g007850.1
Nitab07g015070.1	Nitab22g017150.1
Nitab16g024500.1	Nitab12g021740.1
Nitab20g010320.1	Nitab24g019700.1
Nitab20g018310.1	Nitab12g017380.1
Nitab20g024410.1	Nitab15g006120.1
Nitab08g025930.1	Nitab02g024130.1
Nitab11g026790.1	Nitab14g008730.1
Nitab08g023150.1	Nitab21g013560.1
Nitab06g014020.1	Nitab13g016920.1
Nitab03g005300.1	Nitab17g011260.1
Nitab21g008260.1	Nitab23g024400.1
Nitab08g022070.1	Nitab19g030710.1
Nitab03g011750.1	Nitab13g007050.1
Nitab03g021140.1	Nitab22g006960.1
Nitab07g020050.1	Nitab05g017650.1
Nitab03g017620.1	Nitab23g005390.1
Nitab03g015430.1	Nitab24g024000.1
Nitab10g008690.1	Nitab24g008960.1
Nitab13g026840.1	Nitab23g026530.1
Nitab01g019270.1	Nitab17g032070.1
Nitab10g012390.1	Nitab24g012880.1
Nitab13g021050.1	Nitab04g010580.1
Nitab03g008880.1	Nitab17g014690.1
Nitab20g021260.1	Nitab19g034010.1
Nitab10g023090.1	Nitab04g026640.1
Nitab22g024760.1	Nitab22g025080.1
Nitab20g013000.1	Nitab24g019410.1
Nitab10g019470.1	Nitab21g016220.1
Nitab16g011140.1	Nitab12g008280.1
Nitab18g021370.1	Nitab09g011510.1
Nitab07g019240.1	Nitab09g013330.1
Nitab05g006750.1	Nitab12g023980.1
Nitab18g022690.1	Nitab04g029850.1
Nitab11g006260.1	Nitab12g018940.1
Nitab12g022020.1	Nitab12g021970.1
Nitab01g024400.1	Nitab09g014910.1
Nitab06g016720.1	Nitab04g022170.1
Nitab07g007450.1	Nitab24g014090.1
Nitab05g018990.1	Nitab04g030040.1
Nitab03g010370.1	Nitab14g016370.1
Nitab20g007780.1	Nitab09g015150.1
Nitab18g019110.1	Nitab18g024200.1
Nitab03g011560.1	Nitab13g022430.1
Nitab07g007930.1	Nitab19g034290.1
Nitab03g023450.1	Nitab17g032830.1
Nitab23g011210.1	Nitab23g008480.1
Nitab07g028890.1	Nitab14g010430.1
Nitab13g025830.1	Nitab11g008110.1
Nitab06g028410.1	Nitab04g007450.1
Nitab06g022790.1	Nitab24g016180.1
Nitab07g007900.1	Nitab02g019580.1
Nitab19g031480.1	Nitab15g016910.1
Nitab01g009830.1	Nitab22g010200.1
Nitab06g018460.1	Nitab04g020930.1
Nitab10g021360.1	Nitab21g015750.1
Nitab08g018110.1	Nitab22g022860.1
Nitab18g008320.1	Nitab14g010150.1
Nitab16g026120.1	Nitab09g010720.1
Nitab06g032680.1	Nitab04g011190.1
Nitab06g023220.1	Nitab04g015560.1
Nitab16g007940.1	Nitab17g011340.1
Nitab16g013560.1	Nitab12g010680.1
Nitab11g024880.1	Nitab04g025390.1
Nitab05g017680.1	Nitab09g022480.1
Nitab06g025710.1	Nitab22g020840.1
Nitab08g006220.1	Nitab15g010200.1
Nitab08g010280.1	Nitab22g006180.1
Nitab11g016740.1	Nitab02g011310.1
Nitab10g016820.1	Nitab17g016750.1
Nitab06g029110.1	Nitab15g009790.1
Nitab20g020320.1	Nitab04g008160.1
Nitab07g021110.1	Nitab19g034570.1
Nitab10g026190.1	Nitab02g014540.1
Nitab03g005790.1	Nitab14g012950.1
Nitab03g028280.1	Nitab17g030190.1
Nitab06g016820.1	Nitab04g010890.1
Nitab08g007580.1	Nitab18g025980.1
Nitab07g010190.1	Nitab24g016860.1
Nitab05g015020.1	Nitab24g005060.1
Nitab14g005510.1	Nitab15g006740.1
Nitab09g020220.1	Nitab04g015400.1
Nitab01g006050.1	Nitab15g023730.1
Nitab11g009860.1	Nitab04g026790.1
Nitab03g009530.1	Nitab14g017270.1
Nitab08g010370.1	Nitab19g013030.1
Nitab08g006210.1	Nitab22g013900.1
Nitab10g013020.1	Nitab02g011740.1
Nitab06g021980.1	Nitab04g017010.1
Nitab10g024750.1	Nitab21g018020.1
Nitab03g005490.1	Nitab02g012500.1
Nitab05g026930.1	Nitab23g010620.1
Nitab07g015400.1	Nitab19g028940.1
Nitab10g025470.1	Nitab13g013090.1
Nitab13g020760.1	Nitab24g013510.1
Nitab11g026230.1	Nitab13g006230.1
Nitab17g021550.1	Nitab17g016070.1
Nitab08g006630.1	Nitab04g008420.1
Nitab22g036110.1	Nitab19g007450.1
Nitab22g031410.1	Nitab15g015440.1
Nitab06g030520.1	Nitab06g030480.1
Nitab06g023490.1	Nitab04g013880.1
Nitab10g016900.1	Nitab02g017340.1
Nitab11g009090.1	Nitab23g006430.1
Nitab03g028570.1	Nitab17g016820.1
Nitab08g021540.1	Nitab24g018450.1
Nitab03g008000.1	Nitab17g016120.1
Nitab22g024670.1	Nitab19g016870.1
Nitab06g028740.1	Nitab15g010010.1
Nitab03g027890.1	Nitab17g030330.1
Nitab05g027840.1	Nitab15g023940.1
Nitab08g009940.1	Nitab17g033210.1
Nitab01g012440.1	Nitab23g014410.1
Nitab01g012870.1	Nitab17g018200.1
Nitab06g034010.1	Nitab22g008000.1
Nitab05g016310.1	Nitab23g029610.1
Nitab16g023900.1	Nitab04g015280.1
Nitab07g007990.1	Nitab19g020200.1
Nitab03g030930.1	Nitab14g015840.1
Nitab04g029360.1	Nitab17g031840.1
Nitab07g030800.1	Nitab19g012220.1
Nitab11g015360.1	Nitab04g019590.1
Nitab03g009260.1	Nitab17g025040.1
Nitab06g024180.1	Nitab04g015310.1
Nitab20g021580.1	Nitab22g008720.1
Nitab16g017000.1	Nitab12g015140.1
Nitab11g010030.1	Nitab13g014430.1
Nitab13g027220.1	Nitab23g026610.1
Nitab06g033280.1	Nitab15g009450.1
Nitab20g015500.1	Nitab15g013910.1
Nitab17g029440.1	Nitab17g029190.1
Nitab06g032190.1	Nitab04g010610.1
Nitab06g025980.1	Nitab04g014170.1
Nitab06g034720.1	Nitab04g013000.1
Nitab17g029590.1	Nitab17g029990.1
Nitab06g031170.1	Nitab04g010250.1
Nitab11g006330.1	Nitab13g009090.1
Nitab16g020720.1	Nitab12g019670.1
Nitab06g035110.1	Nitab04g013330.1
Nitab01g022610.1	Nitab23g024980.1
Nitab08g011270.1	Nitab17g020610.1
Nitab08g025160.1	Nitab21g016310.1
Nitab11g018100.1	Nitab13g016870.1
Nitab07g032060.1	Nitab14g008080.1
Nitab08g017310.1	Nitab09g019050.1
Nitab22g036140.1	Nitab24g007870.1
Nitab05g012490.1	Nitab02g007130.1
Nitab16g019910.1	Nitab12g017320.1
Nitab03g031570.1	Nitab03g033220.1
Nitab08g023260.1	Nitab02g016120.1
Nitab01g010630.1	Nitab23g012970.1
Nitab05g027730.1	Nitab14g018600.1
Nitab08g011110.1	Nitab19g015310.1
Nitab01g021440.1	Nitab01g019440.1
Nitab08g022720.1	Nitab15g007900.1
Nitab14g005580.1	Nitab13g006210.1
Nitab06g023110.1	Nitab24g018330.1
Nitab03g022500.1	Nitab15g019910.1
Nitab20g013780.1	Nitab24g016340.1
Nitab06g019890.1	Nitab21g011160.1
Nitab05g016180.1	Nitab24g005800.1
Nitab08g021200.1	Nitab21g010820.1
Nitab10g016860.1	Nitab02g017100.1
Nitab11g011200.1	Nitab09g016550.1
Nitab16g021300.1	Nitab15g013010.1
Nitab10g018250.1	Nitab02g018460.1
Nitab07g028950.1	Nitab14g010340.1
Nitab01g010900.1	Nitab15g013420.1
Nitab01g006330.1	Nitab02g022770.1
Nitab06g015670.1	Nitab04g023350.1
Nitab08g005220.1	Nitab22g010020.1
Nitab03g022780.1	Nitab17g033410.1
Nitab08g022970.1	Nitab21g013750.1
Nitab20g007080.1	Nitab24g023800.1
Nitab01g013600.1	Nitab23g015420.1
Nitab01g015110.1	Nitab23g017150.1
Nitab06g032710.1	Nitab04g011150.1
Nitab06g019710.1	Nitab21g011280.1
Nitab07g015240.1	Nitab19g028410.1
Nitab08g024650.1	Nitab21g015570.1
Nitab03g027980.1	Nitab04g011210.1
Nitab01g028500.1	Nitab02g021030.1
Nitab03g031770.1	Nitab03g032850.1
Nitab06g013470.1	Nitab04g028050.1
Nitab10g014730.1	Nitab02g014270.1
Nitab03g033810.1	Nitab03g032500.1
Nitab03g023110.1	Nitab17g033050.1
Nitab06g033950.1	Nitab04g012420.1
Nitab08g007710.1	Nitab17g007410.1
Nitab16g023060.1	Nitab12g020310.1
Nitab16g023230.1	Nitab15g013100.1
Nitab10g026020.1	Nitab23g014970.1
Nitab22g023230.1	Nitab14g014660.1
Nitab09g006800.1	Nitab21g020870.1
Nitab16g005470.1	Nitab23g028940.1
Nitab17g012750.1	Nitab17g011410.1
Nitab01g020090.1	Nitab23g019120.1
Nitab07g014440.1	Nitab13g005620.1
Nitab05g018300.1	Nitab16g014890.1
Nitab11g016370.1	Nitab13g017670.1
Nitab06g029770.1	Nitab04g008810.1
Nitab21g007580.1	Nitab14g020080.1
Nitab06g031880.1	Nitab17g007300.1
Nitab06g031210.1	Nitab15g009000.1
Nitab22g022050.1	Nitab22g013250.1
Nitab03g017250.1	Nitab17g038500.1
Nitab03g018130.1	Nitab17g039230.1
Nitab08g011180.1	Nitab12g006410.1
Nitab18g015450.1	Nitab24g021800.1
Nitab06g028000.1	Nitab04g007010.1
Nitab10g007100.1	Nitab02g006840.1
Nitab06g033940.1	Nitab04g012410.1
Nitab07g019440.1	Nitab13g016190.1
Nitab06g027990.1	Nitab04g007020.1
Nitab03g023550.1	Nitab06g024950.1
Nitab22g023380.1	Nitab15g015740.1
Nitab01g020630.1	Nitab23g020550.1
Nitab07g016350.1	Nitab19g029500.1
Nitab06g032320.1	Nitab04g010770.1
Nitab07g029600.1	Nitab14g010050.1
Nitab06g027450.1	Nitab04g006350.1
Nitab08g023970.1	Nitab21g014270.1
Nitab20g006850.1	Nitab12g009710.1
Nitab05g023490.1	Nitab15g020670.1
Nitab01g010970.1	Nitab12g012660.1
Nitab22g036790.1	Nitab19g005140.1
Nitab08g026960.1	Nitab02g027660.1
Nitab10g008080.1	Nitab02g007610.1
Nitab16g013040.1	Nitab12g012020.1
Nitab07g011690.1	Nitab19g025940.1
Nitab10g026420.1	Nitab02g028360.1
Nitab16g009620.1	Nitab12g012160.1
Nitab03g034700.1	Nitab03g027100.1
Nitab01g016470.1	Nitab22g019070.1
Nitab06g017460.1	Nitab19g024160.1
Nitab20g015920.1	Nitab04g025080.1
Nitab01g028660.1	Nitab12g005210.1
Nitab06g031470.1	Nitab17g007650.1
Nitab06g031860.1	Nitab15g009160.1
Nitab01g014120.1	Nitab23g016090.1
Nitab20g007040.1	Nitab24g023770.1
Nitab06g032960.1	Nitab15g009470.1
Nitab10g009300.1	Nitab16g009190.1
Nitab07g010650.1	Nitab19g021760.1
Nitab06g024380.1	Nitab04g015170.1
Nitab11g012300.1	Nitab13g008640.1
Nitab11g021520.1	Nitab13g023620.1
Nitab10g015080.1	Nitab02g014610.1
