Nsyl,Ntom,HEB,p_value,q_value
Nitab20g023470.1,Nitab15g007070.1,-12.494262101438958,0.0,0.0
Nitab08g007640.1,Nitab22g008960.1,-7.744882201128702,0.0,0.0
Nitab03g030360.1,Nitab22g021640.1,-9.26070639722083,0.0,0.0
Nitab10g011310.1,Nitab22g018590.1,-9.01973586915344,0.0,0.0
Nitab10g021290.1,Nitab13g013650.1,-10.580479911249894,0.0,0.0
Nitab01g006890.1,Nitab04g020650.1,-8.957219729616627,0.0,0.0
Nitab01g025150.1,Nitab02g022290.1,-8.276671446018204,0.0,0.0
Nitab16g011510.1,Nitab24g023030.1,-10.827261700325678,0.0,0.0
Nitab07g020730.1,Nitab19g033850.1,-10.360505424548005,0.0,0.0
Nitab04g020250.1,Nitab09g011150.1,-8.416374404906907,0.0,0.0
Nitab05g009380.1,Nitab02g009830.1,-8.835005829750996,0.0,0.0
Nitab09g007610.1,Nitab09g008340.1,-8.394206244392059,1.11022302463e-16,6.88504808721e-14
Nitab04g029630.1,Nitab09g012950.1,-7.3900329392716,1.11022302463e-16,6.55718865449e-14
Nitab21g005750.1,Nitab14g021440.1,-7.9082280866347965,1.11022302463e-16,6.25913462474e-14
Nitab20g021410.1,Nitab22g009040.1,-7.757859525905836,2.22044604925e-16,1.19739966734e-13
Nitab11g008860.1,Nitab13g024530.1,-7.445931163039173,2.22044604925e-16,1.14750801454e-13
Nitab22g026830.1,Nitab19g012260.1,-8.083967742215558,8.881784197e-16,4.23695266905e-13
Nitab01g021080.1,Nitab09g008880.1,-7.874744051178693,1.22124532709e-15,5.40968063995e-13
Nitab22g030440.1,Nitab22g006770.1,-7.670308546908402,1.33226762955e-15,5.50803846977e-13
Nitab20g025100.1,Nitab09g021590.1,-6.943570219137797,1.66533453694e-15,6.45473258176e-13
Nitab03g034950.1,Nitab14g021780.1,-7.906921936530699,2.10942374679e-15,7.92823719134e-13
Nitab17g006400.1,Nitab12g019600.1,-6.895938200455087,3.77475828373e-15,1.33766648552e-12
Nitab01g006640.1,Nitab17g010400.1,-6.865985245357563,5.10702591328e-15,1.75951228895e-12
Nitab21g005990.1,Nitab14g021290.1,-7.542323559578255,6.32827124036e-15,2.12133914038e-12
Nitab18g015820.1,Nitab24g014980.1,-6.833840028383952,1.31006316906e-14,3.9631008502e-12
Nitab17g008040.1,Nitab17g018950.1,-7.352986187631115,1.54321000423e-14,4.55724611487e-12
Nitab21g006160.1,Nitab14g021150.1,-7.565812482728601,1.79856129989e-14,4.95723462279e-12
Nitab08g029620.1,Nitab18g023720.1,-7.346033873684852,5.36237720894e-14,1.38561592755e-11
