,TF family name,number of TFs,list of TFs
30,AFT,2,"Solyc07g055830.3.1,Solyc12g005645.1.1"
13,AP2,173,"Solyc01g005630.3.1,Solyc01g008880.3.1,Solyc01g008890.4.1,Solyc01g009440.3.1,Solyc01g014720.3.1,Solyc01g057080.1.1,Solyc01g065980.4.1,Solyc01g067540.2.1,Solyc01g079270.1.1,Solyc01g090300.2.1,Solyc01g090310.3.1,Solyc01g090340.3.1,Solyc01g090345.1.1,Solyc01g090370.3.1,Solyc01g090560.4.1,Solyc01g091760.3.1,Solyc01g095500.3.1,Solyc01g096860.3.1,Solyc01g108240.3.1,Solyc02g030210.4.1,Solyc02g064960.3.1,Solyc02g067020.1.1,Solyc02g077360.1.1,Solyc02g077370.1.1,Solyc02g077790.1.1,Solyc02g077810.1.1,Solyc02g077840.2.1,Solyc02g088310.1.1,Solyc02g090770.1.1,Solyc02g090790.1.1,Solyc02g090800.1.1,Solyc02g092050.3.1,Solyc02g093130.3.1,Solyc02g093150.3.1,Solyc03g005500.1.1,Solyc03g005510.2.1,Solyc03g005520.1.1,Solyc03g006320.1.1,Solyc03g007460.3.1,Solyc03g026270.3.1,Solyc03g026280.3.1,Solyc03g124110.2.1,Solyc03g044300.3.1,Solyc03g083110.1.1,Solyc03g093540.1.1,Solyc03g093550.1.1,Solyc03g093560.1.1,Solyc03g093610.1.1,Solyc03g095973.1.1,Solyc03g095977.1.1,Solyc03g114440.1.1,Solyc03g116610.3.1,Solyc03g117130.3.1,Solyc03g117230.1.1,Solyc03g117720.3.1,Solyc03g118190.4.1,Solyc03g119580.1.1,Solyc03g119800.3.1,Solyc03g120840.3.1,Solyc03g123430.4.1,Solyc03g123500.4.1,Solyc04g007000.2.1,Solyc04g007170.3.1,Solyc04g009450.1.1,Solyc04g012050.3.1,Solyc04g014530.1.1,Solyc04g049800.3.1,Solyc04g050750.2.1,Solyc04g051360.3.1,Solyc04g054910.4.1,Solyc04g071770.3.1,Solyc04g072300.1.1,Solyc04g072900.1.1,Solyc04g077490.3.1,Solyc04g078640.3.1,Solyc04g080910.1.1,Solyc05g009250.1.1,Solyc05g009790.1.1,Solyc05g013540.1.1,Solyc05g050790.3.1,Solyc05g050830.3.1,Solyc05g051180.3.1,Solyc05g051200.1.1,Solyc05g051380.4.1,Solyc05g052030.1.1,Solyc05g052040.1.1,Solyc05g052050.1.1,Solyc05g052410.3.1,Solyc06g035700.1.1,Solyc06g050520.3.1,Solyc06g051840.1.1,Solyc06g054630.3.1,Solyc06g063070.3.1,Solyc06g065820.3.1,Solyc06g066390.3.1,Solyc06g066540.1.1,Solyc06g068360.3.1,Solyc06g068570.4.1,Solyc06g068830.2.1,Solyc06g075510.4.1,Solyc06g082590.1.1,Solyc07g018290.4.1,Solyc07g042230.1.1,Solyc07g049490.3.1,Solyc07g053740.1.1,Solyc07g054220.1.1,Solyc07g064890.1.1,Solyc08g007230.3.1,Solyc08g007820.1.1,Solyc08g007830.1.1,Solyc08g007835.1.1,Solyc08g008305.1.1,Solyc08g066660.1.1,Solyc08g076380.3.1,Solyc08g078170.1.1,Solyc08g078180.1.1,Solyc08g078190.2.1,Solyc08g078410.2.1,Solyc08g078420.2.1,Solyc08g080290.4.1,Solyc08g081650.3.1,Solyc08g081670.3.1,Solyc08g081960.3.1,Solyc08g082210.4.1,Solyc09g007260.4.1,Solyc09g009240.1.1,Solyc09g059510.3.1,Solyc09g066340.1.1,Solyc09g066350.1.1,Solyc09g066360.1.1,Solyc09g075420.3.1,Solyc09g089910.1.1,Solyc09g089920.1.1,Solyc09g089930.3.1,Solyc09g091950.1.1,Solyc10g006130.1.1,Solyc10g009110.1.1,Solyc10g050960.3.1,Solyc10g050970.1.1,Solyc10g076370.3.1,Solyc10g076380.2.1,Solyc10g078610.1.1,Solyc10g080310.3.1,Solyc10g080650.3.1,Solyc10g083560.1.1,Solyc10g084340.2.1,Solyc11g006050.1.1,Solyc11g008560.2.1,Solyc11g010710.2.1,Solyc11g011740.1.1,Solyc11g011750.1.1,Solyc11g012980.1.1,Solyc11g045690.3.1,Solyc11g045680.3.1,Solyc11g042580.1.1,Solyc11g042560.1.1,Solyc11g061750.2.1,Solyc11g067200.2.1,Solyc11g072600.3.1,Solyc12g005960.3.1,Solyc12g008350.3.1,Solyc12g009240.1.1,Solyc12g009490.3.1,Solyc12g010490.3.1,Solyc12g013660.3.1,Solyc12g038440.1.1,Solyc12g038450.1.1,Solyc12g042210.2.1,Solyc12g044390.3.1,Solyc12g049560.2.1,Solyc12g056430.1.1,Solyc12g056590.2.1,Solyc12g056980.1.1"
23,ARID,11,"Solyc01g094820.3.1,Solyc01g100620.3.1,Solyc04g025930.3.1,Solyc04g082820.4.1,Solyc05g049960.4.1,Solyc08g081000.3.1,Solyc08g081290.4.1,Solyc09g091960.3.1,Solyc12g016190.2.1,Solyc12g049570.3.1,Solyc12g094440.2.1"
19,AT_hook,29,"Solyc01g091370.4.1,Solyc02g038760.4.1,Solyc03g007150.3.1,Solyc03g031710.3.1,Solyc03g119130.3.1,Solyc03g124066.1.1,Solyc04g007890.3.1,Solyc04g039733.1.1,Solyc04g074250.3.1,Solyc04g080310.1.1,Solyc05g051290.4.1,Solyc06g035430.3.1,Solyc07g042497.1.1,Solyc07g064560.4.1,Solyc08g006950.4.1,Solyc08g007530.4.1,Solyc08g028973.1.1,Solyc08g077030.4.1,Solyc08g079630.3.1,Solyc08g080960.4.1,Solyc09g008940.4.1,Solyc09g009710.4.1,Solyc10g054675.1.1,Solyc11g006190.3.1,Solyc11g011160.1.1,Solyc11g013590.1.1,Solyc12g005110.2.1,Solyc12g041930.1.1,Solyc12g094710.2.1"
2,B3,112,"Solyc00g011660.1.1,Solyc00g500092.1.1,Solyc00g500093.1.1,Solyc00g500219.1.1,Solyc00g500221.1.1,Solyc00g500222.1.1,Solyc01g015210.1.1,Solyc01g150129.1.1,Solyc01g034190.1.1,Solyc01g150140.1.1,Solyc01g060370.2.1,Solyc01g079560.3.1,Solyc01g081400.3.1,Solyc01g095880.1.1,Solyc01g096070.3.1,Solyc01g096790.4.1,Solyc01g103050.3.1,Solyc01g106250.4.1,Solyc01g108120.3.1,Solyc01g108130.4.1,Solyc01g108140.4.1,Solyc01g108930.3.1,Solyc01g108940.2.1,Solyc01g108950.3.1,Solyc01g109030.4.1,Solyc02g021250.1.1,Solyc02g021260.3.1,Solyc02g026080.2.1,Solyc02g032270.1.1,Solyc02g037530.3.1,Solyc02g062880.1.1,Solyc02g065310.1.1,Solyc02g065340.3.1,Solyc02g065350.3.1,Solyc02g077560.3.1,Solyc02g079020.4.1,Solyc02g081780.3.1,Solyc02g090170.3.1,Solyc02g090710.3.1,Solyc02g093660.1.1,Solyc02g094460.2.1,Solyc03g007140.3.1,Solyc03g031970.4.1,Solyc03g042500.1.1,Solyc03g036477.2.1,Solyc03g043580.3.1,Solyc03g083110.1.1,Solyc03g111410.3.1,Solyc03g111500.3.1,Solyc03g118290.3.1,Solyc04g007000.2.1,Solyc04g015500.3.1,Solyc04g064830.4.1,Solyc04g079130.2.1,Solyc04g079590.3.1,Solyc04g081240.2.1,Solyc05g004000.1.1,Solyc05g009790.1.1,Solyc05g017740.1.1,Solyc05g041100.3.1,Solyc05g047460.3.1,Solyc05g056040.3.1,Solyc06g007530.2.1,Solyc06g034140.3.1,Solyc06g073980.4.1,Solyc06g074160.3.1,Solyc06g075150.3.1,Solyc06g082520.3.1,Solyc06g083590.4.1,Solyc06g083600.3.1,Solyc07g016180.3.1,Solyc07g017470.3.1,Solyc07g019480.1.1,Solyc07g042260.4.1,Solyc07g043620.3.1,Solyc07g054630.4.1,Solyc08g006190.3.1,Solyc08g006200.3.1,Solyc08g006210.3.1,Solyc08g006220.4.1,Solyc08g006230.4.1,Solyc08g006240.3.1,Solyc08g006270.1.1,Solyc08g006280.2.1,Solyc08g006483.1.1,Solyc08g008380.4.1,Solyc08g013690.1.1,Solyc08g013700.1.1,Solyc08g029090.4.1,Solyc08g068540.4.1,Solyc08g082630.3.1,Solyc09g007810.4.1,Solyc09g010230.2.1,Solyc09g059560.3.1,Solyc09g059565.1.1,Solyc10g049815.1.1,Solyc10g053890.2.1,Solyc10g075030.3.1,Solyc10g081520.1.1,Solyc10g083210.2.1,Solyc10g086130.3.1,Solyc11g013480.3.1,Solyc11g045450.3.1,Solyc11g069190.2.1,Solyc11g069500.2.1,Solyc12g006340.3.1,Solyc12g006350.3.1,Solyc12g007300.1.1,Solyc12g017310.3.1,Solyc12g042070.3.1,Solyc12g150121.1.1,Solyc12g098460.2.1"
7,BES1_N,9,"Solyc01g094580.3.1,Solyc02g063010.3.1,Solyc02g071990.3.1,Solyc03g005990.3.1,Solyc04g079980.3.1,Solyc07g062260.3.1,Solyc08g005780.4.1,Solyc10g076390.2.1,Solyc12g089040.3.1"
12,bZIP_1,100,"Solyc01g008730.3.1,Solyc01g008980.3.1,Solyc01g009510.2.1,Solyc01g010600.4.1,Solyc01g066900.4.1,Solyc01g079480.3.1,Solyc01g080510.3.1,Solyc01g073770.2.1,Solyc01g095460.3.1,Solyc01g097330.3.1,Solyc01g100460.3.1,Solyc01g103873.1.1,Solyc01g103875.1.1,Solyc01g104550.3.1,Solyc01g104650.3.1,Solyc01g108080.4.1,Solyc01g109880.3.1,Solyc01g110480.4.1,Solyc01g111580.3.1,Solyc02g024070.3.1,Solyc02g061990.3.1,Solyc02g062950.3.1,Solyc02g083520.2.1,Solyc02g084860.1.1,Solyc02g085610.4.1,Solyc02g086930.4.1,Solyc02g089420.1.1,Solyc02g090820.3.1,Solyc02g091550.2.1,Solyc02g091810.2.1,Solyc02g091930.3.1,Solyc02g092090.3.1,Solyc03g043895.1.1,Solyc03g046440.3.1,Solyc03g065230.1.1,Solyc03g120910.4.1,Solyc04g005170.1.1,Solyc04g011670.3.1,Solyc04g150113.1.1,Solyc04g054320.4.1,Solyc04g071160.3.1,Solyc04g071510.3.1,Solyc04g072460.3.1,Solyc04g076280.4.1,Solyc04g078840.3.1,Solyc04g080740.1.1,Solyc04g081190.3.1,Solyc04g082890.3.1,Solyc05g009660.4.1,Solyc05g010516.1.1,Solyc05g015720.2.1,Solyc05g050220.3.1,Solyc05g055480.3.1,Solyc06g009640.2.1,Solyc06g048630.3.1,Solyc06g049040.4.1,Solyc06g053220.3.1,Solyc06g053350.3.1,Solyc06g059970.4.1,Solyc06g060490.3.1,Solyc06g074320.3.1,Solyc07g053450.4.1,Solyc07g056370.3.1,Solyc07g062710.4.1,Solyc08g005290.3.1,Solyc08g006110.4.1,Solyc08g006670.3.1,Solyc08g022080.4.1,Solyc08g061130.3.1,Solyc08g066500.4.1,Solyc08g074860.1.1,Solyc08g076100.4.1,Solyc09g009490.4.1,Solyc09g009760.1.1,Solyc09g057900.3.1,Solyc10g017630.3.1,Solyc10g050210.3.1,Solyc10g054010.1.1,Solyc10g055550.3.1,Solyc10g076920.3.1,Solyc10g078670.3.1,Solyc10g080410.3.1,Solyc10g080770.3.1,Solyc10g081350.2.1,Solyc10g083380.2.1,Solyc10g085700.1.1,Solyc11g006490.2.1,Solyc11g007960.2.1,Solyc11g020950.3.1,Solyc11g032040.3.1,Solyc11g044560.3.1,Solyc11g064950.3.1,Solyc11g068370.3.1,Solyc11g069470.3.1,Solyc11g072180.3.1,Solyc12g010800.2.1,Solyc12g036380.1.1,Solyc12g042590.2.1,Solyc12g044410.2.1,Solyc12g056860.2.1"
26,CBFB_NFYA,14,"Solyc01g006930.3.1,Solyc01g008490.4.1,Solyc01g087240.3.1,Solyc02g069860.4.1,Solyc02g089540.3.1,Solyc03g081240.3.1,Solyc03g081270.2.1,Solyc03g121940.3.1,Solyc08g062210.3.1,Solyc10g079150.3.1,Solyc10g081840.3.1,Solyc10g005030.4.1,Solyc11g065700.2.1,Solyc12g009050.3.1"
46,CENP-B_N,3,"Solyc01g096350.3.1,Solyc01g112190.3.1,Solyc06g084150.4.1"
51,CG-1,10,"Solyc01g057270.4.1,Solyc01g060170.4.1,Solyc01g105230.4.1,Solyc04g056270.4.1,Solyc05g015650.3.1,Solyc05g150131.1.1,Solyc05g055750.3.1,Solyc09g091010.3.1,Solyc12g035520.3.1,Solyc12g099340.3.1"
