augustus-Nitab20-processed-gene-152.38	maker-Nitab19-augustus-gene-1209.0
maker-Nitab20-augustus-gene-1256.10	maker-Nitab22-augustus-gene-180.16
maker-Nitab20-augustus-gene-1374.2	maker-Nitab15-pred_gff_Mikado_loci-gene-77.0
maker-Nitab08-pred_gff_Mikado_loci-gene-831.0	maker-Nitab13-augustus-gene-997.18
maker-Nitab08-augustus-gene-1139.3	maker-Nitab04-augustus-gene-397.2
maker-Nitab09-augustus-gene-60.12	maker-Nitab04-pred_gff_Mikado_loci-gene-888.3
maker-Nitab06-augustus-gene-1652.4	maker-Nitab04-augustus-gene-43.21
maker-Nitab06-augustus-gene-1662.7	maker-Nitab23-pred_gff_Mikado_loci-gene-524.0
maker-Nitab03-augustus-gene-809.6	maker-Nitab15-augustus-gene-325.4
maker-Nitab03-augustus-gene-1027.5	maker-Nitab24-augustus-gene-352.9
maker-Nitab11-augustus-gene-177.6	augustus-Nitab13-processed-gene-1315.10
maker-Nitab10-augustus-gene-325.3	maker-Nitab22-pred_gff_Mikado_loci-gene-627.8
maker-Nitab01-augustus-gene-213.2	maker-Nitab13-pred_gff_Mikado_loci-gene-452.0
maker-Nitab16-augustus-gene-299.3	maker-Nitab24-pred_gff_Mikado_loci-gene-979.13
maker-Nitab16-augustus-gene-473.1	maker-Nitab15-pred_gff_Mikado_loci-gene-246.4
maker-Nitab18-augustus-gene-325.11	maker-Nitab09-augustus-gene-1025.4
maker-Nitab05-augustus-gene-1595.12	maker-Nitab23-augustus-gene-85.12
maker-Nitab22-augustus-gene-1596.1	maker-Nitab22-augustus-gene-67.10
maker-Nitab01-pred_gff_Mikado_loci-gene-4.36	maker-Nitab23-pred_gff_Mikado_loci-gene-26.24
maker-Nitab08-augustus-gene-1749.5	maker-Nitab18-augustus-gene-1374.1
maker-Nitab11-augustus-gene-138.1	maker-Nitab11-pred_gff_Mikado_loci-gene-111.1
maker-Nitab03-augustus-gene-1721.38	maker-Nitab14-augustus-gene-1149.4
maker-Nitab07-augustus-gene-912.4	maker-Nitab14-augustus-gene-504.9
augustus-Nitab20-processed-gene-220.2	maker-Nitab04-augustus-gene-243.12
maker-Nitab01-augustus-gene-48.24	maker-Nitab22-augustus-gene-452.8
maker-Nitab10-augustus-gene-219.10	maker-Nitab13-augustus-gene-1131.0
augustus-Nitab01-processed-gene-941.0	maker-Nitab19-augustus-gene-942.15
augustus-Nitab22-processed-gene-1272.5	maker-Nitab23-pred_gff_Mikado_loci-gene-1258.3
maker-Nitab21-augustus-gene-17.32	maker-Nitab17-pred_gff_Mikado_loci-gene-1208.0
maker-Nitab08-augustus-gene-928.9	augustus-Nitab02-processed-gene-173.4
maker-Nitab20-pred_gff_Mikado_loci-gene-1473.5	maker-Nitab09-augustus-gene-1119.16
maker-Nitab04-augustus-gene-1147.20	maker-Nitab09-augustus-gene-631.5
maker-Nitab01-augustus-gene-1692.14	augustus-Nitab14-processed-gene-1026.9
augustus-Nitab10-processed-gene-1161.1	maker-Nitab13-augustus-gene-430.1
augustus-Nitab10-processed-gene-1219.1	maker-Nitab02-pred_gff_Mikado_loci-gene-1060.3
augustus-Nitab18-processed-gene-617.17	maker-Nitab24-pred_gff_Mikado_loci-gene-402.0
augustus-Nitab03-processed-gene-145.4	maker-Nitab01-augustus-gene-1900.12
maker-Nitab06-augustus-gene-1623.0	augustus-Nitab04-processed-gene-23.4
maker-Nitab05-pred_gff_Mikado_loci-gene-208.5	maker-Nitab02-augustus-gene-208.3
maker-Nitab03-pred_gff_Mikado_loci-gene-769.0	maker-Nitab14-pred_gff_Mikado_loci-gene-933.0
maker-Nitab19-augustus-gene-694.4	maker-Nitab19-pred_gff_Mikado_loci-gene-661.15
maker-Nitab01-pred_gff_Mikado_loci-gene-103.1	maker-Nitab23-pred_gff_Mikado_loci-gene-194.28
maker-Nitab07-augustus-gene-397.27	maker-Nitab19-pred_gff_Mikado_loci-gene-1180.37
maker-Nitab01-augustus-gene-1338.2	maker-Nitab23-augustus-gene-854.4
maker-Nitab06-augustus-gene-1425.10	maker-Nitab12-pred_gff_Mikado_loci-gene-281.4
maker-Nitab05-augustus-gene-894.4	maker-Nitab24-pred_gff_Mikado_loci-gene-168.5
maker-Nitab06-augustus-gene-1629.0	maker-Nitab04-pred_gff_Mikado_loci-gene-27.11
augustus-Nitab16-processed-gene-43.6	maker-Nitab11-augustus-gene-7.13
maker-Nitab22-augustus-gene-1955.12	maker-Nitab19-augustus-gene-45.11
maker-Nitab03-augustus-gene-1587.13	maker-Nitab22-augustus-gene-785.1
maker-Nitab07-augustus-gene-1216.12	maker-Nitab13-augustus-gene-200.20
maker-Nitab20-augustus-gene-1294.0	maker-Nitab22-pred_gff_Mikado_loci-gene-156.0
maker-Nitab21-augustus-gene-271.5	maker-Nitab17-pred_gff_Mikado_loci-gene-1168.2
maker-Nitab05-augustus-gene-1418.3	maker-Nitab22-pred_gff_Mikado_loci-gene-275.10
maker-Nitab20-augustus-gene-215.7	maker-Nitab12-augustus-gene-648.2
maker-Nitab20-augustus-gene-945.1	maker-Nitab15-augustus-gene-318.4
maker-Nitab18-augustus-gene-560.1	maker-Nitab23-augustus-gene-1290.9
maker-Nitab01-augustus-gene-512.7	maker-Nitab23-pred_gff_Mikado_loci-gene-587.1
augustus-Nitab17-processed-gene-116.1	maker-Nitab17-augustus-gene-866.0
maker-Nitab06-augustus-gene-1234.0	maker-Nitab19-pred_gff_Mikado_loci-gene-1220.0
augustus-Nitab17-processed-gene-57.4	maker-Nitab12-augustus-gene-976.6
maker-Nitab10-augustus-gene-1483.12	maker-Nitab02-augustus-gene-1248.10
augustus-Nitab17-processed-gene-401.9	maker-Nitab17-augustus-gene-294.9
maker-Nitab12-augustus-gene-1202.1	maker-Nitab21-augustus-gene-827.5
maker-Nitab03-augustus-gene-1456.0	augustus-Nitab19-processed-gene-989.4
maker-Nitab08-pred_gff_Mikado_loci-gene-78.6	maker-Nitab22-augustus-gene-152.8
maker-Nitab11-augustus-gene-121.0	maker-Nitab13-pred_gff_Mikado_loci-gene-1337.30
augustus-Nitab10-processed-gene-851.0	maker-Nitab02-augustus-gene-774.10
maker-Nitab05-augustus-gene-390.9	maker-Nitab24-augustus-gene-178.8
augustus-Nitab01-processed-gene-130.0	maker-Nitab23-pred_gff_Mikado_loci-gene-212.22
maker-Nitab11-augustus-gene-929.9	maker-Nitab21-pred_gff_Mikado_loci-gene-982.2
maker-Nitab06-augustus-gene-905.1	maker-Nitab22-augustus-gene-364.3
maker-Nitab16-augustus-gene-157.27	maker-Nitab02-pred_gff_Mikado_loci-gene-154.8
augustus-Nitab03-processed-gene-1432.4	augustus-Nitab23-processed-gene-1288.20
maker-Nitab03-augustus-gene-654.9	maker-Nitab14-pred_gff_Mikado_loci-gene-1007.0
maker-Nitab16-augustus-gene-576.16	maker-Nitab22-pred_gff_Mikado_loci-gene-189.1
maker-Nitab06-augustus-gene-1686.11	maker-Nitab15-augustus-gene-170.2
augustus-Nitab06-processed-gene-1769.1	maker-Nitab04-augustus-gene-140.9
maker-Nitab06-augustus-gene-1392.8	maker-Nitab04-pred_gff_Mikado_loci-gene-406.22
maker-Nitab11-augustus-gene-1168.7	maker-Nitab13-augustus-gene-269.1
augustus-Nitab06-processed-gene-258.18	augustus-Nitab04-processed-gene-920.14
maker-Nitab05-pred_gff_Mikado_loci-gene-62.0	maker-Nitab24-augustus-gene-93.3
maker-Nitab19-augustus-gene-912.14	maker-Nitab19-augustus-gene-856.6
maker-Nitab11-augustus-gene-1325.0	maker-Nitab17-pred_gff_Mikado_loci-gene-1164.15
maker-Nitab10-augustus-gene-68.18	maker-Nitab03-pred_gff_Mikado_loci-gene-1690.2
augustus-Nitab21-processed-gene-61.0	maker-Nitab02-augustus-gene-1233.7
maker-Nitab01-augustus-gene-35.13	maker-Nitab17-augustus-gene-247.2
maker-Nitab08-augustus-gene-277.0	maker-Nitab22-augustus-gene-279.0
maker-Nitab05-pred_gff_Mikado_loci-gene-137.23	maker-Nitab19-pred_gff_Mikado_loci-gene-846.9
