Nitab20g006780.1	Nitab24g024020.1
Nitab20g006910.1	Nitab04g031870.1
Nitab20g007280.1	Nitab24g023650.1
Nitab20g008250.1	Nitab24g022510.1
Nitab20g008350.1	Nitab19g030360.1
Nitab20g009300.1	Nitab15g006930.1
Nitab20g009590.1	Nitab12g013560.1
Nitab20g009630.1	Nitab04g012740.1
Nitab20g011490.1	Nitab24g015610.1
Nitab20g012520.1	Nitab02g027420.1
Nitab20g013850.1	Nitab04g015130.1
Nitab20g015260.1	Nitab15g021480.1
Nitab20g015430.1	Nitab15g009780.1
Nitab20g017360.1	Nitab12g020540.1
Nitab20g017570.1	Nitab12g019850.1
Nitab20g018110.1	Nitab15g012430.1
Nitab20g018300.1	Nitab19g008540.1
Nitab20g018820.1	Nitab12g015890.1
Nitab20g020080.1	Nitab04g006310.1
Nitab20g019900.1	Nitab04g014590.1
Nitab20g020740.1	Nitab22g009720.1
Nitab20g020350.1	Nitab04g008180.1
Nitab20g021310.1	Nitab04g010680.1
Nitab20g021410.1	Nitab22g009040.1
Nitab20g022040.1	Nitab15g008660.1
Nitab20g020800.1	Nitab15g009520.1
Nitab20g023410.1	Nitab13g006560.1
Nitab20g024490.1	Nitab19g014960.1
Nitab20g025100.1	Nitab09g021590.1
Nitab20g025170.1	Nitab15g006000.1
Nitab20g025230.1	Nitab14g010360.1
Nitab20g024970.1	Nitab09g021640.1
Nitab08g005080.1	Nitab22g012420.1
Nitab08g005910.1	Nitab22g013950.1
Nitab08g005920.1	Nitab04g006160.1
Nitab08g006080.1	Nitab04g006630.1
Nitab08g006580.1	Nitab23g022760.1
Nitab08g007640.1	Nitab22g008960.1
Nitab08g009690.1	Nitab17g009990.1
Nitab08g010780.1	Nitab17g009210.1
Nitab08g011050.1	Nitab19g015140.1
Nitab08g011080.1	Nitab22g005360.1
Nitab08g011320.1	Nitab22g011960.1
Nitab08g011390.1	Nitab15g021080.1
Nitab08g011450.1	Nitab12g012730.1
Nitab08g011750.1	Nitab22g010320.1
Nitab08g012510.1	Nitab22g010620.1
Nitab08g013050.1	Nitab23g024080.1
Nitab08g015000.1	Nitab22g016520.1
Nitab08g015080.1	Nitab24g018390.1
Nitab08g015960.1	Nitab04g014930.1
Nitab08g017250.1	Nitab04g027510.1
Nitab08g017260.1	Nitab08g015680.1
Nitab08g017480.1	Nitab09g019410.1
Nitab08g017880.1	Nitab13g018410.1
Nitab08g018760.1	Nitab02g009030.1
Nitab08g019210.1	Nitab15g016310.1
Nitab08g019430.1	Nitab22g017760.1
Nitab08g019700.1	Nitab22g016240.1
Nitab08g019740.1	Nitab22g016230.1
Nitab08g020060.1	Nitab22g016630.1
Nitab08g021850.1	Nitab04g019230.1
Nitab08g021860.1	Nitab15g015460.1
Nitab08g023150.1	Nitab21g013560.1
Nitab08g023650.1	Nitab21g015400.1
Nitab08g024140.1	Nitab21g015060.1
Nitab08g024640.1	Nitab02g018390.1
Nitab08g024850.1	Nitab21g015840.1
Nitab08g025870.1	Nitab21g017140.1
Nitab08g026430.1	Nitab13g016550.1
Nitab08g026640.1	Nitab21g018160.1
Nitab08g027170.1	Nitab02g025910.1
Nitab08g027810.1	Nitab13g013740.1
Nitab08g028400.1	Nitab21g020100.1
Nitab08g029380.1	Nitab18g024760.1
Nitab08g029860.1	Nitab18g025640.1
Nitab09g006570.1	Nitab04g027170.1
Nitab09g006860.1	Nitab18g024730.1
Nitab09g007610.1	Nitab09g008340.1
Nitab06g005000.1	Nitab19g033700.1
Nitab06g006180.1	Nitab04g031950.1
Nitab06g006810.1	Nitab04g031330.1
Nitab06g006960.1	Nitab04g031110.1
Nitab06g007290.1	Nitab04g030760.1
Nitab06g007350.1	Nitab04g030710.1
Nitab06g008180.1	Nitab04g027680.1
Nitab06g009060.1	Nitab06g009080.1
Nitab06g009250.1	Nitab19g020870.1
Nitab06g010590.1	Nitab15g018390.1
Nitab06g011540.1	Nitab21g012880.1
Nitab06g011840.1	Nitab19g019800.1
Nitab06g012040.1	Nitab04g029980.1
Nitab06g012530.1	Nitab02g010470.1
Nitab06g013670.1	Nitab13g008140.1
Nitab06g014110.1	Nitab22g013470.1
Nitab06g014310.1	Nitab19g021750.1
Nitab06g015200.1	Nitab02g005480.1
Nitab06g015710.1	Nitab19g013590.1
Nitab06g016180.1	Nitab13g015540.1
Nitab06g016770.1	Nitab09g015480.1
Nitab06g018250.1	Nitab19g030750.1
Nitab06g019190.1	Nitab17g007970.1
Nitab06g019420.1	Nitab12g010220.1
Nitab06g019810.1	Nitab04g019240.1
Nitab06g021020.1	Nitab21g011820.1
Nitab06g021650.1	Nitab04g016590.1
Nitab06g022750.1	Nitab04g018130.1
Nitab06g023190.1	Nitab04g015800.1
Nitab06g023900.1	Nitab09g013410.1
Nitab06g024220.1	Nitab12g021090.1
Nitab06g024600.1	Nitab22g020350.1
Nitab06g024630.1	Nitab04g014900.1
Nitab06g027260.1	Nitab04g006260.1
Nitab06g027770.1	Nitab04g006700.1
Nitab06g028090.1	Nitab23g016070.1
Nitab06g028710.1	Nitab15g010020.1
Nitab06g029350.1	Nitab22g015460.1
Nitab06g029530.1	Nitab22g014250.1
Nitab06g029920.1	Nitab13g013510.1
