Nitab01g028610.1	Nitab12g005140.1
Nitab03g025560.1	Nitab03g024810.1
Nitab11g019940.1	Nitab13g012400.1
Nitab16g017490.1	Nitab12g014460.1
Nitab20g016430.1	Nitab17g021900.1
Nitab01g022510.1	Nitab23g023350.1
Nitab07g023250.1	Nitab19g036330.1
Nitab11g024250.1	Nitab04g023430.1
Nitab10g016240.1	Nitab02g016040.1
Nitab08g028860.1	Nitab21g020180.1
Nitab18g019980.1	Nitab04g007400.1
Nitab03g014680.1	Nitab14g017640.1
Nitab07g023830.1	Nitab19g036780.1
Nitab01g013890.1	Nitab23g016610.1
Nitab06g030390.1	Nitab04g009530.1
Nitab07g014700.1	Nitab19g027980.1
Nitab13g025990.1	Nitab11g007970.1
Nitab20g011130.1	Nitab24g016260.1
Nitab07g022690.1	Nitab19g036020.1
Nitab01g008910.1	Nitab23g009410.1
Nitab20g012490.1	Nitab24g014890.1
Nitab20g009750.1	Nitab24g020450.1
Nitab20g005480.1	Nitab15g015580.1
Nitab07g011990.1	Nitab19g026220.1
Nitab08g022700.1	Nitab15g016360.1
Nitab18g007370.1	Nitab09g021580.1
Nitab01g021910.1	Nitab23g021580.1
Nitab05g009730.1	Nitab02g008810.1
Nitab03g015900.1	Nitab17g014120.1
Nitab22g031930.1	Nitab19g010000.1
Nitab12g025000.1	Nitab21g016290.1
Nitab01g009460.1	Nitab13g025270.1
Nitab03g018000.1	Nitab17g039100.1
Nitab08g027570.1	Nitab21g019090.1
Nitab16g025720.1	Nitab23g005160.1
Nitab07g006270.1	Nitab19g019210.1
Nitab18g014920.1	Nitab09g014850.1
Nitab06g030420.1	Nitab04g009500.1
Nitab05g016640.1	Nitab24g006200.1
Nitab22g028510.1	Nitab19g013660.1
Nitab16g013020.1	Nitab12g012100.1
Nitab08g024390.1	Nitab21g015330.1
Nitab10g015600.1	Nitab02g014910.1
Nitab20g008820.1	Nitab24g021780.1
Nitab22g027210.1	Nitab19g012490.1
Nitab08g005670.1	Nitab22g013560.1
Nitab16g019440.1	Nitab12g016770.1
Nitab19g019380.1	Nitab19g018020.1
Nitab06g033580.1	Nitab04g012190.1
Nitab01g011790.1	Nitab23g013950.1
Nitab16g008640.1	Nitab13g010560.1
Nitab10g022600.1	Nitab02g024140.1
Nitab16g007490.1	Nitab13g021580.1
Nitab03g006920.1	Nitab23g014450.1
Nitab20g017200.1	Nitab15g013240.1
Nitab08g029340.1	Nitab21g020650.1
Nitab09g006890.1	Nitab18g024680.1
Nitab07g015750.1	Nitab19g028640.1
Nitab10g023510.1	Nitab02g025250.1
Nitab01g024620.1	Nitab23g025060.1
Nitab20g006210.1	Nitab24g024500.1
Nitab16g011310.1	Nitab12g008540.1
Nitab07g026240.1	Nitab14g014060.1
Nitab01g027370.1	Nitab01g026730.1
Nitab18g020760.1	Nitab09g011910.1
Nitab01g016390.1	Nitab18g007670.1
Nitab16g022210.1	Nitab12g017630.1
Nitab06g014480.1	Nitab04g025700.1
Nitab22g027320.1	Nitab19g012660.1
Nitab03g017580.1	Nitab17g038780.1
Nitab07g022720.1	Nitab19g036050.1
Nitab16g016320.1	Nitab24g016100.1
Nitab22g031300.1	Nitab19g010250.1
Nitab10g024270.1	Nitab02g026060.1
Nitab10g016210.1	Nitab02g015990.1
Nitab10g015620.1	Nitab02g014940.1
Nitab10g013470.1	Nitab02g012150.1
Nitab07g033260.1	Nitab14g006100.1
Nitab11g011580.1	Nitab13g022460.1
Nitab14g005270.1	Nitab14g006030.1
Nitab07g010950.1	Nitab19g022430.1
Nitab03g026730.1	Nitab17g031060.1
Nitab08g019350.1	Nitab19g005610.1
Nitab01g010690.1	Nitab23g013060.1
Nitab10g025850.1	Nitab13g013240.1
Nitab01g015000.1	Nitab23g017050.1
Nitab11g006230.1	Nitab13g025370.1
Nitab18g019140.1	Nitab09g010530.1
Nitab22g028210.1	Nitab12g010170.1
Nitab03g024530.1	Nitab03g025060.1
Nitab08g028640.1	Nitab21g019940.1
Nitab10g005670.1	Nitab02g005560.1
Nitab07g006250.1	Nitab19g019230.1
Nitab10g008780.1	Nitab02g008180.1
Nitab07g024680.1	Nitab19g038160.1
Nitab16g018310.1	Nitab12g013550.1
Nitab07g030030.1	Nitab14g009390.1
Nitab18g016380.1	Nitab18g017100.1
Nitab06g008900.1	Nitab04g028900.1
Nitab20g007320.1	Nitab24g023590.1
Nitab05g017500.1	Nitab24g010210.1
Nitab17g005350.1	Nitab17g009400.1
Nitab11g016990.1	Nitab13g015660.1
Nitab08g010070.1	Nitab22g006320.1
Nitab09g005560.1	Nitab18g026030.1
Nitab01g026040.1	Nitab12g005760.1
Nitab11g011060.1	Nitab13g022890.1
Nitab10g006690.1	Nitab02g006320.1
Nitab16g006140.1	Nitab23g028580.1
Nitab05g020830.1	Nitab15g017210.1
Nitab21g009300.1	Nitab14g018290.1
Nitab08g018640.1	Nitab22g019240.1
Nitab10g026240.1	Nitab02g028190.1
Nitab03g015580.1	Nitab17g024720.1
Nitab06g011320.1	Nitab04g029150.1
Nitab06g025820.1	Nitab04g014330.1
Nitab05g014770.1	Nitab15g018670.1
Nitab06g007090.1	Nitab04g030950.1
Nitab11g012240.1	Nitab13g021700.1
Nitab10g025810.1	Nitab02g027720.1
Nitab01g007570.1	Nitab23g007890.1
Nitab03g016790.1	Nitab02g006260.1
Nitab14g005400.1	Nitab14g006510.1
Nitab21g010250.1	Nitab14g017290.1
Nitab05g008050.1	Nitab24g013220.1
Nitab05g026040.1	Nitab22g010730.1
Nitab13g026790.1	Nitab11g005370.1
Nitab06g029070.1	Nitab04g008140.1
Nitab10g015690.1	Nitab02g015460.1
Nitab20g013670.1	Nitab24g018170.1
Nitab03g026810.1	Nitab17g029770.1
Nitab08g025910.1	Nitab21g017210.1
Nitab10g018560.1	Nitab02g018810.1
Nitab06g007140.1	Nitab04g030920.1
Nitab07g013970.1	Nitab19g026910.1
Nitab20g011970.1	Nitab24g015250.1
Nitab10g021050.1	Nitab02g020240.1
Nitab06g011740.1	Nitab04g029840.1
Nitab03g034130.1	Nitab17g026880.1
