,HTH_psq(3),IBD(1),RHD_DNA_bind(1),MBD(31),NAM(205),LAG1-DNAbind(2),TCR(14),zf-CCCH(145),GTF2I(1),MH1(2),CSD(15),HSF_DNA-bind(52),zf-C2H2(152),RWP-RK(36),CG-1(15),CENP-B_N(9),CBFB_NFYA(27),Sigma70_r2(20),PLATZ(31),zf-C4(1),PAX(1),HMG_box(52),P53(1),GAGA_bind(16),MATalpha_HMGbox(1),Forkhead(2),MADF_DNA_bdg(66),bZIP_1(218),zf-BED(282),AT_hook(46),SAND(8),SRF-TF(102),zf-Dof(69),mTERF(76),FLYWCH(30),TBP(3),EIN3(14),C_LFY_FLO(4),ARID(19),AP2(286),zf-NF-X1(4),FAR1(118),Whirly(9),GCM(2),WRKY(160),BES1_N(22),Myb_DNA-binding(619),B3(174),zf-CXXC(1),SBP(47),RRM_1(532),S1FA(8),IRF(3),Vhr1(2),Homeodomain(193),GCR1_C(6),AFT(2),TF_AP-2(3),TCP(51),GRAS(82),DUF573(44),TEA(36),Runt(2),HPD(1),BAF1_ABF1(2),zf-C2HC(1),LOB(75),Zn_clus(7),Ets(2),Pou(15),WRC(33),GATA(62),SART-1(4),HLH(304),E2F_TDP(20),KilA-N(3),DM(7),Copper-fist(5),NDT80_PhoG(1)
1,0,0,0,0,2,0,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
2,0,0,0,4,8,0,0,25,0,0,3,2,23,3,1,1,3,0,2,0,0,9,0,4,0,0,11,34,15,5,2,8,11,5,2,2,3,0,5,20,2,14,3,0,6,3,72,25,0,5,143,0,0,0,19,0,0,0,3,8,9,3,0,0,0,0,3,0,0,1,3,7,1,23,3,0,1,1,0
3,1,1,0,0,15,0,1,14,0,1,0,11,10,5,2,1,6,2,2,0,0,1,0,1,0,0,0,17,5,1,0,5,5,1,6,0,1,0,1,25,0,6,0,0,53,0,32,11,0,0,15,2,0,0,18,0,0,0,2,9,3,2,0,0,1,0,2,3,0,0,3,5,0,15,5,0,0,0,0
4,0,0,0,1,8,0,0,10,0,0,1,2,9,0,0,0,0,0,0,0,0,2,0,1,0,0,3,18,3,1,0,3,7,11,0,0,0,1,2,11,0,3,0,0,4,2,21,5,0,2,11,0,0,0,21,2,0,0,7,7,3,3,0,0,0,0,0,0,0,1,3,9,0,22,1,1,1,0,0
5,0,0,0,3,15,0,1,18,0,0,1,8,12,6,2,1,3,3,6,0,0,5,0,2,0,0,4,26,9,1,2,6,4,2,4,0,3,0,1,11,0,4,0,0,11,0,49,8,0,6,40,0,0,1,13,0,0,0,0,7,3,3,0,0,1,0,1,2,0,0,1,5,2,11,1,0,0,0,0
6,0,0,0,0,8,0,0,4,0,1,0,0,7,6,0,2,7,3,0,0,0,0,1,2,0,0,1,10,4,2,0,1,1,1,2,0,0,0,0,20,1,5,1,0,7,0,36,3,0,0,20,0,0,0,11,0,0,2,0,4,2,5,0,0,0,0,0,0,0,0,0,2,0,11,1,0,0,0,0
7,1,0,0,0,3,0,1,4,0,0,0,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,2,5,2,1,1,1,1,0,0,1,0,2,1,1,8,0,0,0,1,18,12,0,0,18,0,0,0,7,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,4,2,0,2,1,0,0,0,0
8,0,0,0,1,0,0,4,10,0,0,4,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,1,5,1,7,0,0,2,5,0,0,0,1,3,4,0,1,2,0,3,1,11,6,1,0,36,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,5,2,1,0,0,0
9,0,0,0,1,3,0,1,3,0,0,0,3,2,1,0,0,1,1,3,0,0,1,0,0,0,0,1,4,3,1,0,0,3,4,0,0,0,0,0,10,0,0,0,0,2,1,18,9,0,2,14,2,1,0,3,1,0,0,4,2,0,6,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0
10,0,0,0,5,2,0,3,7,0,0,0,2,15,0,0,0,0,0,0,0,0,6,0,3,0,0,6,18,7,14,0,0,13,9,2,0,0,0,0,17,0,2,0,0,8,3,27,11,0,12,22,3,0,1,19,0,0,1,10,5,3,2,0,0,0,0,2,0,0,1,7,8,0,23,0,0,0,0,0
11,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,7,4,0,0,0,1,0,14,0,0,0,0,0,0,0,1,0,0,0,1,8,3,0,0,20,1,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,1,0,0
12,0,0,0,3,0,0,0,4,0,0,0,0,2,0,0,0,0,4,1,0,0,1,0,0,0,0,3,5,2,0,0,7,1,5,0,0,1,0,0,1,0,1,0,0,0,0,13,4,0,3,13,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0
13,0,0,0,2,3,0,0,14,0,0,4,1,3,1,0,0,0,0,0,0,0,2,0,0,0,0,6,4,2,4,0,1,1,6,1,1,0,0,2,4,0,0,0,0,2,0,16,5,0,0,81,0,0,0,5,0,0,0,0,1,6,3,0,0,0,0,2,0,0,0,1,0,0,3,0,0,2,0,0
14,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,1,2,0,0,0,0,0,5,0,2,0,0,3,3,8,3,0,1,4,0,0,0,1,0,0,0,5,0,0,3,0,0,0,0,1,0,0,0,1,1,0,6,0,0,0,0,0
15,0,0,0,1,4,0,0,4,0,0,0,2,5,3,1,1,0,0,2,0,0,1,0,0,0,0,0,7,2,1,0,0,7,0,5,0,3,0,0,6,0,1,1,0,7,2,16,5,0,1,15,0,0,0,5,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
17,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
