Nsyl,Ntom,HEB,p_value,q_value
Nitab20g008350.1,Nitab19g030360.1,-11.245486232295676,0.0,0.0
Nitab20g020830.1,Nitab22g009770.1,-10.836054267252342,0.0,0.0
Nitab20g022750.1,Nitab15g007920.1,-13.275416576501362,0.0,0.0
Nitab08g017880.1,Nitab13g018410.1,-10.31609922297668,0.0,0.0
Nitab08g021330.1,Nitab04g016400.1,-10.93750718503831,0.0,0.0
Nitab09g006570.1,Nitab04g027170.1,-9.747878511589398,0.0,0.0
Nitab06g027730.1,Nitab04g006680.1,-10.705950818685364,0.0,0.0
Nitab06g028090.1,Nitab23g016070.1,-11.291578487551844,0.0,0.0
Nitab03g015590.1,Nitab15g012880.1,-14.524102408626856,0.0,0.0
Nitab03g019160.1,Nitab24g013680.1,-10.677400906995032,0.0,0.0
Nitab11g009990.1,Nitab13g023850.1,-9.991170094819083,0.0,0.0
Nitab10g011310.1,Nitab22g018590.1,-10.390964156999631,0.0,0.0
Nitab01g010660.1,Nitab13g013790.1,-10.592922570312426,0.0,0.0
Nitab16g011510.1,Nitab24g023030.1,-10.125392685811667,0.0,0.0
Nitab16g013380.1,Nitab15g011660.1,-10.109982356199298,0.0,0.0
Nitab18g011280.1,Nitab09g019600.1,-12.174597400194003,0.0,0.0
Nitab05g027690.1,Nitab23g006790.1,-10.112718331848008,0.0,0.0
Nitab22g030440.1,Nitab22g006770.1,-9.871733112867929,0.0,0.0
Nitab01g005160.1,Nitab23g005480.1,-9.09660726694128,1.11022302463e-16,4.43638181746e-14
Nitab08g029620.1,Nitab18g023720.1,-9.643035083056755,2.22044604925e-16,7.88690100882e-14
Nitab11g009230.1,Nitab11g008720.1,-9.618562412834793,3.33066907388e-16,1.15106122831e-13
Nitab22g026800.1,Nitab23g024300.1,-9.51235914793713,3.33066907388e-16,1.09203244738e-13
Nitab03g034950.1,Nitab14g021780.1,-9.31335680328392,4.4408920985e-16,1.41964218159e-13
Nitab07g025850.1,Nitab14g013630.1,-9.4258155582312,4.4408920985e-16,1.38501676253e-13
Nitab20g009630.1,Nitab04g012740.1,-8.719329232958344,5.55111512313e-16,1.69005021618e-13
Nitab01g007010.1,Nitab22g015080.1,-9.398512047118391,5.55111512313e-16,1.65074672278e-13
Nitab10g009590.1,Nitab13g020450.1,-9.186093935803102,6.66133814775e-16,1.93587570217e-13
Nitab01g018300.1,Nitab19g023390.1,-9.120103700442089,6.66133814775e-16,1.89285624212e-13
Nitab21g005520.1,Nitab17g025260.1,-8.813044801874947,8.881784197e-16,2.41641222398e-13
Nitab08g018760.1,Nitab02g009030.1,-8.682515852550432,9.99200722163e-16,2.66182909048e-13
Nitab20g025100.1,Nitab09g021590.1,-8.353032939135907,1.44328993201e-15,3.69106967213e-13
Nitab19g016360.1,Nitab19g015790.1,-8.598459846187922,2.88657986403e-15,6.83531420765e-13
Nitab04g029630.1,Nitab09g012950.1,-8.187357634312711,2.88657986403e-15,6.71103576751e-13
Nitab01g023740.1,Nitab14g019440.1,-8.915372194778454,3.88578058619e-15,8.87276363493e-13
Nitab10g021290.1,Nitab13g013650.1,-8.30621393010009,6.99440505514e-15,1.54202512828e-12
Nitab10g022040.1,Nitab02g023440.1,-9.13496553737742,7.66053886991e-15,1.6602595005e-12
Nitab18g015820.1,Nitab24g014980.1,-8.045188659903086,7.88258347484e-15,1.67990991488e-12
Nitab03g006870.1,Nitab01g028000.1,-8.122422598420764,1.01030295241e-14,2.05059426229e-12
Nitab06g026950.1,Nitab04g005800.1,-8.200479483443127,1.02140518266e-14,2.04073563603e-12
Nitab05g009380.1,Nitab02g009830.1,-7.919970790234472,1.25455201783e-14,2.43059949272e-12
Nitab03g014950.1,Nitab14g017720.1,-8.464749452115937,1.90958360236e-14,3.64445455572e-12
Nitab01g008670.1,Nitab23g009120.1,-8.004995408381518,2.03170813506e-14,3.82050763574e-12
Nitab07g017230.1,Nitab19g029620.1,-8.665654220519603,2.12052597703e-14,3.87359509548e-12
Nitab01g020770.1,Nitab23g020840.1,-8.80408504347934,2.29816166097e-14,4.13895678294e-12
Nitab06g022500.1,Nitab12g010370.1,-8.435511124426045,2.63122856836e-14,4.67298884773e-12
Nitab05g017430.1,Nitab24g009170.1,-8.889576751080948,2.69784194984e-14,4.7256582209e-12
Nitab06g027080.1,Nitab04g005970.1,-8.467066441478151,2.8088642523e-14,4.85364151273e-12
Nitab16g006650.1,Nitab11g005420.1,-7.828652665379276,3.25295346215e-14,5.47309420007e-12
Nitab22g033580.1,Nitab19g006540.1,-8.834974861173436,3.93018950717e-14,6.44299143952e-12
Nitab03g030360.1,Nitab22g021640.1,-7.922575952832666,4.13002965161e-14,6.6848973614e-12
Nitab07g028520.1,Nitab13g010050.1,-8.89792780088357,5.40678612992e-14,8.64207178042e-12
Nitab20g021410.1,Nitab22g009040.1,-7.957366690651533,5.95079541199e-14,9.27961230892e-12
Nitab21g010160.1,Nitab17g024480.1,-8.09097599268182,6.88338275268e-14,1.06045560552e-11
Nitab05g024040.1,Nitab22g011820.1,-7.748093150058364,7.22755189031e-14,1.10022269073e-11
Nitab20g009590.1,Nitab12g013560.1,-8.674938635430212,7.89368570508e-14,1.18748893072e-11
Nitab20g017690.1,Nitab15g012740.1,-8.785590476482456,9.71445146547e-14,1.4278010447e-11
Nitab18g014870.1,Nitab23g024880.1,-7.419631840293021,1.49547041417e-13,2.10138243802e-11
Nitab01g015080.1,Nitab23g017140.1,-7.452379553721246,1.50324197534e-13,2.08934294986e-11
Nitab17g008040.1,Nitab17g018950.1,-7.933250810312431,1.57540647194e-13,2.12049711124e-11
Nitab06g018250.1,Nitab19g030750.1,-7.658206365802546,1.71418435002e-13,2.28325784205e-11
Nitab17g006400.1,Nitab12g019600.1,-7.4495145788197865,1.72972747237e-13,2.28020878239e-11
Nitab10g026460.1,Nitab02g028380.1,-7.732409882632659,1.74638081774e-13,2.2786705629e-11
Nitab17g012610.1,Nitab17g011290.1,-8.182870160515233,1.79523063082e-13,2.31874889659e-11
Nitab12g024900.1,Nitab21g016010.1,-7.804727708533445,2.1549428908e-13,2.7014955632e-11
Nitab03g027130.1,Nitab19g023790.1,-8.261701158104582,2.27706742351e-13,2.82687972275e-11
Nitab08g007640.1,Nitab22g008960.1,-7.317643272053041,2.62567745324e-13,3.13780725183e-11
Nitab11g008860.1,Nitab13g024530.1,-7.370116074837961,2.65676369793e-13,3.14555901902e-11
Nitab10g016880.1,Nitab02g017230.1,-7.548942515333661,6.88338275268e-13,7.65372306595e-11
Nitab05g012510.1,Nitab24g009290.1,-7.153077047076678,8.9583895857e-13,9.62612837247e-11
Nitab01g009260.1,Nitab23g009770.1,-7.157056529290232,1.03006492225e-12,1.0976200134e-10
Nitab11g018420.1,Nitab21g019540.1,-7.945835479379962,1.05870867628e-12,1.11881883005e-10
Nitab06g014110.1,Nitab22g013470.1,-7.742163241773876,1.06659125976e-12,1.11791003594e-10
Nitab16g009240.1,Nitab02g008700.1,-7.17477963792325,1.11133324765e-12,1.15533481607e-10
Nitab03g026680.1,Nitab23g024800.1,-7.8898879202712875,1.1451950499e-12,1.16219119866e-10
Nitab08g011080.1,Nitab22g005360.1,-7.655084525241988,1.28386190568e-12,1.27261567348e-10
Nitab03g012870.1,Nitab14g019110.1,-6.990241387731004,1.34647848427e-12,1.31430689911e-10
Nitab16g014280.1,Nitab22g009980.1,-7.262973765578998,1.64801505775e-12,1.54949768702e-10
Nitab06g028710.1,Nitab15g010020.1,-6.910317738465283,1.99196215078e-12,1.8592131403e-10
Nitab06g030560.1,Nitab04g009770.1,-7.4306757255752585,1.99651406518e-12,1.8499583588e-10
Nitab06g021650.1,Nitab04g016590.1,-7.612809703257544,2.08932871004e-12,1.92203210182e-10
